#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	(1) -(r)on; (2) -or	agental suffix (suf)	
M:yqAZSGvn	athranna-	to wrong, mistake (vb)	
Qwbz}Q.od3	athren	dusty (adj)	
vBEpjtUWI[	aur	(whole) day, sunlight, [N.] morning (n)	
cud0RnTgBk	auth	dim shape, spectral or vague apparition (n)	
q.KNu,g(qm	ava-	will not, do not (vb)	
l4Yr$QT=)l	avad	refusal, reluctance (n)	
PV3}G%DST|	avautha-	to ravish, seize (forcibly) (vb)	
I.Pc5!O~<r	avauthron	seizer, ravisher (n)	
l~&&!QZ61P	avauth	ravishment; seizure (n)	
Nx/V7X+q{}	avnedhor	afternoon (n)	
H%?=HxQo%.	avras	precipice (n)	
e|2ad:$?ZF	bach	jacket, coat (n)	
g]~&iF3ZbW	bain	beautiful; good, wholesome, favorable; ⚠️fair, fair-haired (adj)	
B*$6D_i;|@	bal-	*to have power (vb)	
c^7yG7oi98	baladh	worth, importance (n)	
w_-Ke:&^i	balch	fierce, ferocious; [N.] cruel (adj)	
@y,EA,^@q	balf	excitement, emotion (n)	
K69qUzkHQ^	balla-	to matter; to be of significance, worth, moment (vb)	
j[$(yjk8lQ	ball	worthy, important; ⚠️great, mighty (adj)	
Fou{|Gov}~	baltha-	to excite, rouse, stir up, agitate (vb)	
x]C8j8!9+G	balthannen	excited, agitated (adj)	
uVx|LR(3*L	balthol	exciting; excitable (vb)	
"e7P}6!%5#k"	ban-	?to go (vb)	
bmJ^&t!_t*	band	prison, custody, [N.] duress; ⚠️[ᴱN.] hell (n)	
q>`Xz$o]0F	bangad	trade, trading (n)	
nW`M`AZMFu	bangath	market (n)	
s12/Dfq|?;	bang	staff (n)	
pK!>^2Gp8`	banna-	to imprison (vb)	
pJ(U7/0oEI	bannan	prisoner, (lit.) imprisoned-one (n)	
j9pCOR1YWD	bannen	gone (adj)	
k)grwm{Z`S	bar-	to live, dwell, stay (vb)	
E~UMm9bQd`	barad	tower, great towering building, [N.] fort, fortress (n)	
Dnor+)v|Cy	baran	brown, golden-brown; [N.] swart, dark brown (adj)	
pg^f0+c5N?	bardha-	to rule, reign (vb)	
xGcRH-8iaL	bardhon	inhabitant, native (n)	
xhNfi+:-s;	bardhor	habitable (adj)	
pv>%Swa0)B	bardh	home (n)	
wOB;3:gJ0H	bardor	home land, native land (n)	
h5%JFSI^fZ	barf	armour, armor (n)	
Fk)QiT5/,.	barna-	to till (land), *cultivate; (orig.) to dwell in (a land) (vb)	
EBVLY2%!SZ	barn	safe, protected, secure (adj)	
/F<6>=e!w	baron	tilled, inhabited (adj)	
J,]HT*`KT@	barthan	dwelling-house, large building of masonry used as a dwelling (n)	
yMZD~R6,pQ	bar	house, dwelling, home (n)	
u3D&lq3AU{	bas(t)	bread (n)	
n/Dp1T~7ee	basoneth	breadgiver (n)	
Ovc[SBFddx	basta-	to bake (vb)	
F`<KD34.&r	bauch	price, cost (n)	
"t#t2=6XS?."	bauda-	to ban, prohibit, refuse (vb)	
"G5#id$JHpu"	bauglir	constrainer; tyrant, oppressor (n)	
BDhQVyPVQ^	baura-	to need, require (vb)	
HR{/1YgmQ0	baw (interj)	no, do not! (interj)	
eW744Zf:UY	baw (n)	howling (n)	
pm+^Q`J0*c	bedhril	judge (f.) (n)	
H^<gqYMz>l	belaith	mighty (adj)	
JUw/[?=x.w	beleg	great, mighty; large, big, [ᴱN.] huge (adj)	
zc,~+E=y0j	beleitha-	to extol, magnify (vb)	
m,g4+e[BJO	belen	expanded, unrolled, unfurled, set (of sails) (adj)	
m0U)*Ss4pq	belon	sail (n)	
HNt=iW)dT[	beltha-	to open out (transitive), expand, unroll, set sail (vb)	
k>V7ms9UF0	bened	chin (n)	
j((un:N>@z	bereth	queen, spouse; supreme, sublime (n adj)	
J4$b?/JLVg	berthas	adventure, bold undertaking (n)	
bfAwptppb=	berthian	challenge; daring, audacity (n)	
6?-MZ|bk&	besain	the Lady, breadgiver (n)	
D3bc:CR[9~	bess	wife; ⚠️[N.] woman (n)	
FX^}=XIz51	besta-	to wed, marry (vb)	
k;{^d|;_Wu	bestad	wedding, (lit.) a marrying (n)	
Nj5/qYlr()	bestannen	wedded, married (adj)	
e4hp[{A|u%	best	marriage, matrimony, wedlock, ⚠️wedding (n)	
m74K0~Sjvs	bethren	brother in law, kinsman by marriage (n)	
M&?a/TK*(:	bethres	sister in law, *kinswoman by marriage (n)	
l+%yB:L4y2	bethril	spouse (f.) (n)	
z3!X@F{*L7	bethron	spouse (m.) (n)	
u}aL4d[iTj	be	as, like; ⚠️in (prep)	
s$^9U]`GA8	bilebra-	to equal (vb)	
xc-ZB*2vuh	bilebren	equable (adj)	
MPPJ-j[|K&	bileutha-	to make equal, equalize (vb)	
cn4dL(;/wY	biltha-	to resemble, seem like; to seem likely, be probable (vb)	
r?cjC_*PEg	bilthadren	probable (adj)	
K7:A]AHO`Y	blabed	flapping, beating (especially of wings) (n)	
FB2{ghVTAl	blaud	pride (n)	
AzGa8N71Cz	blodren	arrogant, *proud (adj)	
e|^I[C!>KA	bloss	wheat (n)	
tScI|H>HDV	blê	fat of meat; *fatty, oily, greasy (n adj)	
"m#ou>yrx??"	blîw	oil (n)	
D|A~,V;S41	boda-	to ban, prohibit, refuse, forbid (vb)	
b6,RiVE}&{	boe	must (impersonal), (lit.) *[it] needs (vb)	
A3qG@-&*rI	bond	snouted (adj)	
h`=]}$bRKt	born (Emotion)	[stead]fast (adj)	
H)-/Yi030<	born (Sense Perception)	hot, red (adj)	
OeOV:=LZ1g	bothol	oven (n)	
hHc^m@yx(a	both	fen, marsh; [N.] puddle, small pool (n)	
"fFAG#z@vee"	bo	*on (prep)	
Q7G)fC+X_d	brach	shawl, wrap, ⚠️plaid (n)	
ooRQ=Vif4f	braetha-	to wrap, swathe (vb)	
HnQGalQo>c	bragollach	sudden flame (n)	
K5!qA*/*H)	bragol	sudden (adj)	
cX<hIWd;l[	brand (n)	steeple (n)	
L>dW0tT+K.	branna-	to scorch (vb)	
C+42b7>NxZ	brant	cooked, done; overdone (adj)	
"EJ&_#YEl}I"	brass	great cliff (n)	
D@]sVjI,4s	brasta-	to tower up, loom (vb)	
ey{t;4!?G.	brath-	to cook (vb)	
"E#|iSnl`qw"	bregol	quick, sudden, [N.] violent, *fierce (adj)	
n:8:8L*Rri	brethil (Agriculture and Vegetation)	silver-birch; ⚠️[N.] beech (n)	
qkV>Y8h.~[	brethil (Social Relations)	princess, (lit.) queen-daughter (n)	
yi8Gjk$55j	bril	glass, crystal (n)	
x.8oQX.aWE	brithon	pebbly (adj)	
Bi6vt{_$(z	brith	gravel (n)	
Ol7zR(*BeS	bronad	survival (n)	
"hWTGm7[N`#"	brond	firm, [G.] steadfast, *faithful, constant (adj)	
"p99s.h#,;!"	bronnas	steadfastness, constancy (n)	
j7,HI~>+K,	brui	loud, *noisy (adj)	
MEM_y}n^YV	brêg	lively, sudden, quick (adj)	
nr%6eE~]e[	budhulug	dragonfly (n)	
EaaJ;?r6Zr	budhu	large fly (n)	
A6g3cx0zS`	bund	snout, nose; cape [of land] (n)	
uwg0U9D`dW	bân	fair, good, wholesome, favorable (adj)	
fuG(dh].c*	bâr	house, dwelling, home; ⚠️[N.] earth (n)	
f%TdhRxSoD	bída-	to compare, liken (vb)	
"QG#*kOJmne"	bíleb	equal (adj)	
on8pj!WpIk	bîl	likeness, similarity (n)	
zP0B^RU!]i	bŷl	(single) service or favour (n)	
jwc>Gz)-]C	bŷr	follower, vassal (n)	
w`Xz>FYfy9	cab-	to leap, [G.] jump (vb)	
yk-uiO%gQS	cabed	leap (n)	
G3>f.26h{t	cadhad	dwarf (n)	
fcLHxpZK<6	cadudew	allomorph, (lit.) shaped sign (n)	
NQY$:HEke@	cadu	shaped, formed (adj)	
zE`ps(KX!)	cad	*after (adv)	
la55[UA$e^	caeda-	to lie; to lay (down) (vb)	
joR*FkwR{u	caer	[N.] flat isle on a river (n)	
B7ao8oDws_	caetha-	to make to do or be, cause, compel, induce, bring about (vb)	
bwPmcgJ9O@	caethad	reason, cause (n)	
j_4u+uKC.w	caethas	causation (n)	
"xVTSNal#<~"	caetheb	original (n)	
EddYqrbP2H	caeth	cause, reason, motive (n)	
JP1>(5)If!	cae	earth (n)	
vxy(Ja+,F/	cafor	flea (n)	
D^H(x(XHmQ	cail	fence, palisade of spikes or sharp stakes (n)	
o7IqO:+9|&	cair	ship (n)	
vx8}Z*4|6!	cai	hedge (n)	
l3nE_i0^^S	cal-	to shine (vb)	
B~,%X0=:x.	calad	light, brightness, shining, ⚠️fire (n)	
g]&,Jp`9Ut	calan	day(light) (n)	
B/ww^n<*uE	calardan	lampwright (n)	
th5[4]_>II	calar	(portable) lamp (n)	
tlR[7Qw*Z-	calen	green; †bright, [N.] bright-coloured; ⚠️[S.] fresh, vigorous (adj)	
B@va.|C2WZ	calph	water-vessel, [G.] bucket (n)	
"N6H$a#f(?"	camlann	palm of hand (n)	
mEa.Pu5g|<	camma-	to make fit, suit, accommodate, adapt (vb)	
iGWMQG*7T~	cammui	suitable, fitting, convenient (adj)	
m=&?Gt^ROm	cam	(cupped) hand, holding hand; handful (n)	
PvIH23=oKM	can-	to cry out, shout, call (vb)	
mC?+b!KP8H	canad	four (cardinal)	
yz+jkZNU+w	canath	quarter (n)	
l5Lv^XzNVm	cand	bold (adj)	
"fj$$=#n,D+"	canga-	to tangle; *to go wrong (vb)	
IahOZH:Qiq	cang	tangled, confused, mixed up, awry; tangle, confusion, mêllay (adj n)	
p8UM1@)L!}	cannas	[abstract] shape (n)	
F:Od0iugF?	canthil	square (n)	
xIh08-E0[	cant	shape; [N.] outline (n)	
k4Jm5a^ffY	car-	to do, make (vb)	
"#@Lox*}X$"	carach	jaws, rows of teeth (n)	
g%sG%Uw/jG	caraed	effective, productive, effectual, efficacious (adj)	
qPL|%yLscr	caralluin	*red-blue (adj)	
Pp/Et?/Z}s	caran	red (adj)	
w~Xl%L1cJf	caras	city, [N.] city (built above ground); [S.] (orig.) fort or dwelling surrounded by bulwarks, circular earthwall with dike (n)	
r)dvpMu%MV	carch	fang, ⚠️[N.] tooth (n)	
E%JxgDD5%T	cared	action, *doing, making (n)	
e9kt|hf0/&	carfa-	to talk, speak, use tongue (vb)	
IJNlS;!U=7	carf	tool, implement, weapon (n)	
"sh#4I10Zf/"	carnen	done, made, finished (adj)	
ec`O)q=3xM	caron	actor, agent, doer, maker (n)	
r2;z/}~1qF	carthas	activity (n)	
zJkS4oF91a	carweg	active; busy (adj)	
QHwRy^dED{	castol	helmet (n)	
GxWwvcWa9=	cast	cape, headland (n)	
L<rxnq]5j6	cathrae	tressure, *headdress (n)	
gJ4Mr%FqpB	cauda-	to get flavour of, perceive, notice; ⚠️to taste (of the taster or person) (vb)	
f%00nji0YL	caudol	tasteful, endowed with good taste; discreet, circumspect (adj)	
vDWG.tvJED	caul	(great) burden; affliction (n)	
k?0hBC*EKW	caun (Language and Music)	outcry, clamour (n)	
Ja|.`?ZMD}	caun (Social Relations)	prince, chief, head (n)	
KfDG27mg$h	caur	action, doing, making; verb (n)	
K]q)Vz.=[S	caust	savour, flavour (n)	
FbX3i(-R`K	cauth	deception, lie (n)	
qHXJS+mX.E	cav-	to receive, *accept (vb)	
y3;lVM{lO(	cavren	acceptable (adj)	
vR|aYUn[VO	caw-	to taste (vb)	
c%K6%|]S6s	caweth	sense of taste, taste, judgement (n)	
pDZ^e%j?w-	ceber	stake, spike; ⚠️[N.] ?limestone, -rock (n)	
F9z+0R:23G	cefn	of earth, earthen (adj)	
"k-#Q5~e3vk"	ceiria-	to cause, bring about (vb)	
Kg9pWO0@2@	celair	brilliant, *shining (adj)	
KZA4+k_)wK	celebrin	like silver (in hue or worth), ⚠️[G.] of silver (adj)	
Q9li/;ua1K	celeb	silver (n)	
q!8BTh4oLB	celef	deer, hind (n)	
fLu3;y[oI+	celeg	hasty; [N.] agile, swift; ⚠️[ᴱN.] lambent (adj)	
rVK9vi^KYh	celf	channel (n)	
n}Rja+V0D+	celia-	to illuminate, light up; to illustrate (vb)	
j_g}[AtiPf	celias	(artificial) light, illumination (n)	
F`l71^L)}U	cell	flowing (adj)	
sV8+iY~y+H	celu	spring, source; ⚠️[G.] rill, stream, runlet (n)	
Nlt4YvEj3r	cen-	to see, perceive, look (vb)	
dItLvI+:7V	cened (n)	looking, *seeing (n)	
v<Pmay9C@6	cened (ordinal)	four (ordinal)	
rmN{~NY7)9	cenedril	mirror, looking-glass, (lit.) looking-crystal (n)	
PWDg`:LBuT	ceredis	crafter (f.) (n)	
heD=s?^a2S	cerf	knife (n)	
qLvJb?)u:e	cerin	circular mound, artificial hill; [N.] round enclosure (n)	
"nv<DUK=dQ#"	certhas	runes-rows, runic alphabet (n)	
"c+Hw#)w+,0"	certh	rune (n)	
if4|e7wsLI	cesta-	to seek, search for, look for (vb)	
K:&FjOjGV.	cestaedas	curiosity (n)	
nOB44j@M.T	cestaed	curious, seeking, inquisitive (adj)	
n18eWhX%Ig	ceth-	to examine, search, interrogate (vb)	
mfSu_{C}}:	cethaeg	horizon (n)	
o6-_Cw*%D.	cethia-	to cause interest, to interest (oneself) (vb)	
jA(v%H7B.J	cethiol	interesting (adj)	
L=[u9</Fvn	cevemphast	earth quake (n)	
CGb%be$Zj,	ceven	*earth; Earth (n)	
EQseKeRY6_	cevorf	potato, (lit.) earth-apple (n)	
POzs&RY{=}	ce	(1) *might, maybe; (2) may(be), might (adv)	
wdcN&DR^[w	cil-	to choose, select (vb)	
bu*)u`rn!<	cilith	choice, choosing, *selection (n)	
hY|gyq~)S5	cim	blade (n)	
IUt7y%kncv	cin	you (sg. fam.) (pron)	
xVfv;w=ebn	cirbann	haven (n)	
ES;b5Oh5kt	cirias	fleet (of ships) (n)	
MC,1d&.<4<	cirion	sailor, shipman (n)	
K_[.pTta!H	cirith	cleft, ravine, defile, [N.] pass (n)	
K1+:-WP/B.	ci	thou (pron)	
C*idu~yTUA	codhon	idol (n)	
byM.y+u-2>	col-	to bear, carry, wear (vb)	
i+vUnU^t%/	colch	box, chest (n)	
C)1XjU%7+E	coleb	burdensome (adj)	
"Py2SxG#WGh"	coll (n)	cloak, mantle (n)	
kNF{K*U&3`	collorn	laburnum, *(lit.) orange-tree (n)	
uFNKV7Mj;]	colof	orange [fruit] (n)	
L^5VwE*U}J	coltha-	to bear up; to weigh, balance it on scales; to be worth, value or be equivalent to; ⚠️to endure (vb)	
s@J83qz3NB	colui	light (to carry), not heavy, (lit.) carryable (adj)	
iFX,GIx6Tn	com	bellied (adj)	
EbOXkpoNDS	condir	mayor, *(lit.) chief-man (n)	
QA`cTPjG}!	conui	commanding (adj)	
e:d9+P%Q4J	cor-	to turn sour, curdle, congeal; to make cheese (vb)	
xY>Ll;dV-V	coranor	solar year, (lit.) sun-round (n)	
Gti@(y`u7+	cordh	sour (of milk), curdled (n)	
y_Y>2j9SSq	cordof	pippin, *a type of yellow and red apple (n)	
pcUZ.P}}_m	corf	ring (for fingers) (n)	
mFVOib=Q@5	corob	skull (n)	
kb~oDTScRH	corth	curd (n)	
"l)EgD+#Sbc"	coru	cunning, wily (adj)	
"G#fcZp@Q!y"	cor	ring, circle (n)	
rz_uJ(!dK;	cotha-	to startle (vb)	
s*mZZ&BXOH	coth	enemy, foe; [N.] enmity (n)	
ETQP|0J5/u	cov-	to bow (vb)	
zPP;9X-4J=	cova-	to come together, meet; to gather, assemble (vb)	
dS`dw~dw(g	covad(a)-	to bring together, make meet (vb)	
N6s$b-NZ64	covas	community (n)	
E@hBcBeyb-	covn	empty, void (n)	
P%@;&HF~|G	covra-	to empty (vb)	
B{=);b]qC2	craban	bird of crow-kind, *raven (n)	
"nrjFo1#$:Y"	cranna-	to accomplish, finish, complete, [G.] achieve (vb)	
m&y]q^Ktg(	crannen	perfect (adj)	
l:Rh?]Qmid	crech	spittle (n)	
H>/+5$kb[.	crig	elbow (n)	
ri5oE.E|+J	crisg	sharp [edged] (adj)	
Fe^6daiJV*	criss	cleft, [N.] cut, slash, [G.] gash; ⚠️[N.] pass, [G.] gully, ravine (n)	
ux07R:`6?.	crista-	to slash, cut, slice (vb)	
oCkQ3;Uwjm	crist	cleaver; ⚠️[N.] sword; [G.] knife; slash, slice (n)	
jdL7Mki&;s	cruin	coloured (adj)	
qm3i?t`R+S	cruith	colour, complexion, appearance (n)	
nVN%sv0*^(	crui	colour (n)	
t;~mYq7Tt}	cui(w)	awake, alert, ⚠️alive (adj)	
zjgA*5)X/m	cuia-	to live (vb)	
PX:]O.rQ_$	cuida-	to bring to life, enliven, energize (vb)	
sVIE_(z)PF	cuileb	lively, ⚠️alive (adj)	
P)|5Q?P^q$	cuilvorn	lifetime (n)	
preA/a_~^@	cuina-	to be alive (vb)	
eU5&RIxz;o	cuinas	vitality, liveliness (n)	
Eck.Xs.sG;	cuithas	life (period of life); living, livelihood (n)	
K_DhQ}j_bL	cuith	[biological process of] life, the vital principle; ⚠️living body (n)	
tU_<&sYUmX	culuin	golden-red, orange (in colour) (adj)	
OY(|:5$MPO	cum	belly (n)	
"EkbsmkO#@^"	cund	*prince (n)	
whvK%XR%q/	cungan(d)	viol(in), (lit.) bow-harp (n)	
kS{g&u/`w}	curunis	witch (n)	
"i3bvi7#i/="	curunír	wizard, [N.] man of craft (n)	
xFTr,!m5/]	curu	skill (of the hand), craft, magic; [N.] cunning (n)	
c;pMkGgsHB	cáfru	?flea (n)	
fkz+w]VkTR	círdan	shipbuilder, shipwright (n)	
qHCU=8<N$g	cí	may, might, maybe, perhaps, if (conj adv)	
epu5lgX8+K	cîn	your (sg. fam.) (pron)	
piZ8/V^vX{	cîr	fresh, new (adj)	
w1?R;4FE^w	cîw	fresh, new, ⚠️renewed (adj)	
y{dVoUSHUX	côf	bay (n)	
h*P9-ZrM5c	cúron	crescent moon (n)	
w8TZF_J7^^	cútha-	to deceive, lie (vb)	
fX`|03bb-R	cûd	foe (n)	
gIaS06CK*L	cûl	load (n)	
ciPfc4B6mv	cûr	cheese (n)	
BzAD$p&_a!	cû	bow; [N.] arch, crescent; ⚠️[G.] waxing or waning moon (n)	
IQm!JH,sI_	cýra-	to renew (vb)	
zOk2RMOJTY	cýron	new-moon (n)	
e^^bb:fs~y	cŷl	*renewal (n)	
v+ckF-gdm|	cŷr	renewed (adj)	
c>[=3Mzg>l	dadhra-	to face, oppose, stand in way; to resist, thwart (vb)	
t8}^umsd;N	dadhren-	to forget (vb)	
"c.s#*gn~3u"	dadhren	opposing, facing, opposite (adj)	
"PRpg/#d]%V"	dae (adv)	very (adv)	
yA=qN(2PCj	dae (n)	shadow (cast by an object or form), [N.] shade (n)	
k&;yVpws7	dae-	dreadful, abominable, detestable (pref)	
A%I=2@yxdl	daebeth	blasphemy (n)	
Aob!xaI]c_	daedelos	horrible fear (n)	
E!LTA>$+>L	daer (adj, Emotion)	dreadful, abominable, detestable (adj)	
hIp4G.yw;:	daer (adj, Spatial Relations)	great, large (adj)	
Nd]+ea49u.	daer (n)	bridegroom (n)	
el}>*Dt^Q}	daetha-	to praise (vb)	
P$N${S,-7D	dag-	to slay, [ᴱN.] kill (vb)	
mB4sF!g42d	dagnir	slayer, bane (n)	
"E&d&[V1Ip#"	dagnis	slayer, bane (f.) (n)	
dc=vjNxd7K	dagor	battle (n)	
fvTi/pG-^>	dagrassaeb	bloodthirsty, (lit.) slaughter-hungry (adj)	
o)F6-Sq|n(	dagrassaeg	bloodthirstiness, (lit.) slaughter-hunger (n)	
x/P<)_&Iw]	dagras	slaughter (n)	
u2F~U]eo$)	dalath	plain, low lying/flat ground; [N.] flat surface, plane; [ᴱN.] vale (n)	
HdU-Q+Kj~W	damen-	to return (vb)	
FF@vFG&_).	dananna-	to give back, return [something] (vb)	
m?>98/b?T2	danbeth	*answer, (lit.) back-word (n)	
K*j4A3hKDx	dandol-	to return, come back (vb)	
MaJ3gq`|9n	dangar-	to undo (vb)	
dw8z7*l>l,	dangen	slain (adj)	
h~,Qyo+oaA	dangweth	answer, *(lit.) back-report (n)	
z-(pu<:&A/	danna-	to fall (vb)	
D?h)3s+m_(	dannad	falling (n)	
nt-PPjC/wp	dannen	ebb, lowtide (n)	
e{D1EU][pE	dannod-	to untie, undo, unloose (vb)	
s26OlL8-IR	dant	*fall (n)	
?;OVt*:zg	danwedh	ransom (n)	
C(RA<]h}`-	dan	back to, (back in return) against, down upon, back on, back again (prep)	
j0gI_IIzv<	dar-	[N.] to stop, halt (vb)	
dl|a=(Lm6{	daur	league; †stop, pause (n)	
hv-|6)`Lr%	dav- (Law and Judgment)	to judge (vb)	
O8*pl20RU;	dav- (Social Relations)	to allow, yield, permit (vb)	
J%Su_/8v$;	degil	victor, winner (n)	
QKsfz]IzE%	deloth	abhorrence, [N.] detestation, loathing (n)	
l,$q/h[j@;	delu	hateful, deadly, fell (adj)	
CtU!_?cm0u	delw	thick (of a single thing) (adj)	
svGJw_jL[,	dem	sad, gloomy (adj)	
twE{t<Z=Vv	den	?against (prep)	
n*jiZ>l5o}	dern	tough, thrawn (adj)	
GY&s;uULD!	dev-	to try, *seek opportunity, experiment (vb)	
mS$r-s1>lF	dew-	to fail, miss (vb)	
dATYgk846:	de	you (pron)	
m&;2D:|a?f	dha	there is (vb)	
e3ELA9YnX%	di (Grammar)	with (prep)	
Cottr>-aqj	di (Spatial Relations)	beneath, under; ⚠️[N.] in (prep)	
O~/3s!MFE*	dilith	friendship (n)	
gj1KwQz|$7	dim (Dwelling and Furniture)	stair (n)	
e838h{3m]t	dim (Emotion)	gloom, sadness (n)	
Pv(8vQPI?{	dirbedui	hard to utter, difficult to pronounce (adj)	
IhN2P+Kq{l	dod-	to drop, ⚠️fall down (vb)	
"g])Sq#nF~3"	dod	berry (n)	
o{[~[:z^F-	dol(l)	head, hill (n)	
bQ7BYUnEq8	dolen	hidden, [N.] secret (adj)	
D13/PQaAli	dollon	phoneme, underlying sound, (lit.) hidden-sound (n)	
FqWLX0o(2`	dolph	mole (n)	
PP53!wS9R(	dorgannas	shapes of the lands, *geography (n)	
Ii,>dfy?xp	dorgant	landscape, scene, *(lit.) land-shape (n)	
x}]C<:q%Pj	dorn	tough, stiff, thrawn, obdurate (adj)	
DA1B6a3oT`	dov-	to lie heavy (vb)	
"Ii({[:t=>#"	dovn	gloomy (adj)	
A3A5%.iH+z	drab-	to labour, work; (impersonal) to irk, annoy (vb)	
NE?o(YD>mi	drabol	labouring (adj)	
N!6NP,?@06	drab	labour, toil, irksome work (n)	
u(D&ZbsbB0	draug	wolf (n)	
c@m{jbF]0F	drautha-	to weary, tire out (vb)	
d{7lt@DIQ%	drauthas	[wearisome] toil, weariness from labour (n)	
kLnxcWMpN!	drauthiel	arduous, labourious (adj)	
K1O}8|ORx/	drauth	[G.] weary, toilworn, tired; ⚠️[ᴱN.] labour (adj)	
d9tRw;UP=D	dravn	hewn log (n)	
ML.&X01y9j	drega-	to flee (vb)	
I4kSF@L:V|	dring	hammer, *beater (n)	
mg!n_c5YTy	drinna-	to turn, twist (vb)	
Yr}D|571p	drint	twist, wrench, turn (n)	
z2:ydi=3-3	duia-	to descend, sink, set [of sun] (vb)	
"e#71DviJ9F"	duidhrad	canal (n)	
gYi4tm:f2N	duinen	flood, high tide (n)	
sR-3d1P~:9	duiniant	aqueduct (n)	
G?$Rl7lsL(	duin	(large) river; ⚠️[N.] water (n)	
IToW9=OdKe	dâd	grandfather (n)	
DF=3`fotvp	dêl	disgust (n)	
IMnVQ&|W>2	dírnaith	wedge-shaped battle-formation, (lit.) man-spearhead (n)	
"dOQ):@[#;a"	dîn	silence; silent, quiet (n adj)	
NF:CQ{oQ}w	dîr (adj)	hard, difficult (adj)	
cLVQnj:jjH	dîr (n)	man, [N.] adult male; agental suffix (n)	
k<as)w&ToT	dî	woman, ⚠️lady, bride (n)	
y9Z&&xl.0V	dôr	land, [N.] region where certain people live, [ᴱN.] country; ⚠️[G.] people of the land (n)	
Ilo]/Q(}9k	dúda-	to lower [something] (vb)	
RxMyF2D{-	dúlin	nightingale (n)	
KRZ7ip&kL0	dúnad	descent (n)	
Dt9P9nVtut	dúnen	western (adj)	
JJ!vQn2gUc	dúvad	supper, dinner (n)	
rAa.-do!9/	dûn	west (n)	
PIB6-^V?$C	dûr	dark (with evil implications), gloomy, hellish (adj)	
Lw+89D={Yz	dû	night, dimness; [N.] night-fall, late evening; ⚠️[S.] dim, dark (n)	
BV.N}A9{-u	dýgar	mistaken act; doing a wrong thing (n adj)	
CHb`-m12rr	dŷl	mistake (n)	
Q2`&+BTT{~	dŷr (adj)	mistaken, off point, not right (adj)	
i%>n`&/w[Q	dŷr (n)	successor (n)	
IviDI.Oi90	eb (Grammar)	save, except (prep)	
zo{GNR7vTr	eb (Time)	?before (prep)	
n!)M&3!)PX	echad-	to form, make, shape, cut out, [N.] fashion; [S.] (lit.) to shape out (vb)	
ymYUh<~dk,	echad	camp (n)	
iFtazw@LA}	echor	outer circle; encircling (n adj)	
v182D)S!mA	echuia-	to awaken, wake up (intr.) (vb)	
D50.5%W@b%	echuida-	to wake up (trans.), waken, rouse (vb)	
ltXN]4J1%*	echuir	early Spring, (lit.) stirring (n)	
jx8$`h):>o	echui	awakening (n)	
yqp==GA&){	ech	?you, yourself (singular) (pron)	
b!$snht]Q|	ecthelorn	spruce, fir-tree (n)	
lH9JBY*OLp	ed (prep pref)	out, out of, [N.] forth (prep pref)	
NACY=d,){%	ed (pron)	*it (pron)	
xS?8y[Th`L	edanna-	to publish, (lit.) out-give (vb)	
w=%|9/=`pY	edhellen	elvish (adj)	
zZ)e3nDUu_	edinor	anniversary day (n)	
nnH]5r4[wM	edledhia-	to go into exile (vb)	
u4&x~(_/2/	edledhron	exile (n)	
D:k[Fwc`Xw	edlen(n)	exiled (adj)	
Gdm_|%LUCU	edlonui	foreign (adj)	
lYh>2OhDVY	edlon	outsider, stranger, *foreigner (n)	
N2~W8m*x>s	edlothia-	to flower, blossom (vb)	
qn?9IDgPlR	edol	ivy (n)	
x?D!28*W4^	edra-	to open (out) (vb)	
pl!k9I(`e~	edrain	*(outer) border (n)	
Fbr~3KvS?K	edraith	rescue, saving (n)	
N=QWTeTf=V	edregol	in especial, *especially (adv)	
t?j^;?$bwC	edren	outer (adj)	
"v!n]#|J^a="	egel	other (adj)	
d`x`UaVg.~	eglan	forsaken (adj)	
yU-m-S.3,L	egleria-	to glorify (vb)	
r(P|fC6Q,0	eglin	needle (n)	
zqRjvA|4(`	egor	or (conj)	
CwGBFu%%_{	ego	be off! (interj)	
mn@H$Vt3BW	ein-	excellent, admirable (pref)	
MJj&M%{]xX	einior	elder (adj)	
mKJwjO7-!%	eirien	daisy (n)	
y@oMpb>pl!	eitha- (Physical Acts and Materials)	to prick with a sharp point, stab; to treat with scorn, insult (vb)	
ilMMHCFnc-	eithad	*insult (n)	
b3&W`_j(g?	eitheb	thorny, *(orig.) full of points; ⚠️sharp (adj)	
k2D+A}3D]v	eithela-	to spring, well forth, *issue forth (vb)	
lz!{DoDx>D	eithel	source, spring, well, [N.] issue of water, fountain (n)	
v(Nsp{~/Tt	eithor	other, another (adj)	
oAVXv8`Q)B	eithos	thorn bush (n)	
MwYFw=[>~-	eithron	*spearman, ⚠️[ᴱN.] warrior (n)	
c0`I&cOG2L	eithro	*also (adv)	
C/sB%1-*_/	elanor	pimpernel, small golden star-shaped flower, (lit.) sun-star (n)	
u~x+GD?`pc	elchith	nebula, star cloud (n)	
H0K3`UEIVh	eleg	other, else (adj)	
wh;}iD0G5t	elia-	to cause to prosper, bless (a work), help one (vb)	
K42:AY?T7G	eliad	blessing (n)	
K-y;&;yhJ,	elias	blessedness (n)	
M?W}:/K>{8	elloth	single flower (n)	
