#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
yW205lT_U(	fëa	(indwelling or incarnate) spirit; soul (n)	
nk~`^*`.L>	finwa; formaitë; fínëa	dexterous (adj)	
y3+KQd=Lhz	fínë	dexterity (n)	
MOhxe&?5Td	fírima	mortal; *(lit.) able to die (adj)	
b^DozDM(((	fírië	death (of Men); *natural death (n)	
7Dcj(9+4N	fó	nay; no (interj)	
uIG]rQS_FB	föalócë	*breath-dragon (n)	
na$=0L:VX<	hac-; yanga-	to yawn (vb)	
"s/@f#{dK:="	hac-	to squat (vb)	
nQJbVec]v9	hacca	buttocks; the hams (n)	
iZ:otoY6U0	haila	far beyond (adj)	
"frME]V#GlB"	hailë	distancing; removal (n)	
e&:,5V26Ei	haimelëa	cultural (adj)	
p<1^t%)axH	haimelë; ohaimestië	culture (n)	
P6(E0_.{.p	haimëa; sitina	habitual (adj)	
B:r~p:I~zF	hairië	distance; (lit.) farness (n)	
"vc$BXPj#1U"	haita-	to remove; (lit.) to make distant (vb)	
J1TU6;A&4z	hala (Physical World)	cast shadow; *shade (n)	
e4}[%V+]G&	halda; halla; tunda; tára	tall (adj)	
"A<$o#$*B+m"	hamna	(artificial) mound; heap; pile (n)	
MJOKS{THV%	hampa	delayed; kept; restrained (adj)	
QmesMEf0~<	hampë	clothing; garment (n)	
Np4]<.laDy	han-	*back as an answer or return by another agent (pref)	
L;B}a6LhoO	hando	big brother; ‘big bro’ (intimate) (n)	
"f7XTi#%KyD"	hanno	brother (diminutive) (n)	
QF-SyU[hJW	hanquenta	answer; *response (n)	
H2hdn8A-lb	hanquet-	to answer; to *respond (vb)	
P1y[n)T[uJ	hanta-	to give thanks; to thank (vb)	
e{Jey*%=cv	hantalë	thanksgiving (n)	
Itr7jTafy4	hanustar	monk (n)	
saN$a*{xD%	hanusta	monastery (n)	
jT$/w5y=Z	hanwa (n)	seat; *chair (n)	
B(-caN,l0%	han; lá	beyond (prep)	
fr(-s1T4~.	hanúrë	manliness; masculinity (n)	
o*0X:&7?xL	hanúva	doughty; *manly (adj)	
u2c>iNd}uF	hanúvië	doughtyness; manhood (n)	
zr0MRIvDCq	hapta-	to ejaculate; to eject (vb)	
i>U%oq=*80	hapya-	to delay; to keep (temporarily); to retain (vb)	
Qp`Jwih5VL	haranyë	century (100 years) (n)	
FHf4XihV>.	harivë	closely; nearly (adv)	
t<ex0e+-g3	harnalassë	malicious enjoyment derived from observing someone else’s misfortune; schadenfreude; (lit.) wound-joy (n)	
k!?iVK$ESX	haru-	to sit down; to take a seat (vb)	
Hi|}tNtchu	haruni	grandmother (n)	
uA)zJO>e$]	haru	grandfather (n)	
dErfI&:4gq	harya-	to have; to possess; to *hold (vb)	
wxf4YPZrN?	hasa- [þ]	to (help to) cure; to make easy; to treat (medically); to treat kindly (vb)	
oa0`4cTyqy	hasaino [þ]	patient; (lit.) medically treated one (n)	
QS,w/x+6P8	hasarëa [þ]	medical (adj)	
K^E%9`|BC:	hasiëndë [þ]	a process of treating medically; therapy (n)	
f}zRO2C$P?	hassë (hass-)	little brother; ‘lil bro’ (intimate) (n)	
qmDW]Y`.go	hasta-	to mar (vb)	
Q*jPU=@v&Z	hatal	*javelin (n)	
"M#fE(GWtFS"	hatar	thrower (of spears and darts) (n)	
kb8jbaaQW3	hatta	missile (n)	
"E-A#TZA]m}"	hauro	cupboard; piece of furniture used for storing; wardrobe (n)	
G6HSdOu9.I	hausta	nest (n)	
bl4:8YC<hn	havarcë	cookie (n)	
GewRyRH4^t	havar	a loaf or cake of [unleavened] bread (n)	
w{dW}!}v6W	heca	be gone!; stand aside! (interj)	
"gKEx#S-Sg4"	hecilë	one lost or forsaken by friends; outcast; outlaw (f.); waif (n)	
iavp_EfeDw	hecilo	one lost or forsaken by friends; outcast; outlaw (m.); waif (n)	
sI*Wau%;op	hecil	one lost or forsaken by friends; outcast; outlaw; waif (n)	
D{?4q5z+TI	hecima	special (negative) (adj)	
lu?)@Z5k})	heconna	bastard; child born out of wedlock (n)	
"qTfgZwGn4#"	hehta-	to exclude; to forsake; to leave out; to put aside (vb)	
CQdlg9^+NN	hehtar	renegade (n)	
Cu076e=-cO	hel-	to freeze (of water) (vb)	
kvNnK6JosH	helca	ice-cold; icy (adj)	
iM8lQ8,%?d	helcelmë	glacier; (lit.) frozen flow (n)	
wiVXsKlRHn	heldassë	nakedness (n)	
o;CnItIF[X	helet (helets-)	fur; fur-coat (n)	
A$Ujgo+vhy	helexë	hail (n)	
v%Q>+Q)n4-	helillos [þ]	wisteria; (lit.) purple cluster (n)	
CTKG[q+E`C	helina	frozen (adj)	
p|mzRWPXON	helinillëa	*violet [colour] (adj)	
Q&$A=S,;LM	helinillë	violet [flower] (n)	
mS){b{QsQt	helinquila	mauve (n)	
gLLQEmNX7W	helinwa	(of colour) a blue-violet; of pansies (n)	
f8tf7,>Og9	helin	pansy (n)	
KoCaIde`av	helissar	amethyst (n)	
"L+HTC`W#Q9"	helmolpë	wine-skin; (lit.) skin-bottle (n)	
f)%f/Q`D/&	helmunquë	wrinkle; (lit.) skin-hollow (n)	
r)haH]I7xV	helquir (helquirm-)	ice cream (n)	
ef&f~`UNH<	helta-	to bare; to denude; to despoil; to peel; to strip (vb)	
"JtnLU#P+%T"	hempa	cord (n)	
vmoiE+0OCg	hen (hend-)	eye (n)	
i1)baADNRu	hencalcat	eye-glasses; spectacles (n)	
p9|z[P~hfn	henca	rare (as opposite of dense) (adj)	
zPq(^AwY:.	hencúnë	eyebrow; (lit.) eye-arch (n)	
b7/{%JIN-+	hendelúpëa cecet	peafowl; (lit.) eye-plumed pheasant (n)	
xOd/N8))3;	hendumaica	sharp-eye[d] (adj)	
NM&Rwkt`<l	henta-	to examine; to eye; to read; to scan (vb)	
Qp$_vw0v&N	hententa-	to spot with eye (vb)	
A&oYM,BonE	hentië; tengwië	reading (n)	
HfoiY-<sQ3	hentópa	eyelid (n)	
wUL!vTU,JH	auta-; hep-; öa-	to keep (vb)	
GB2LV<PB-!	hequa	except; excluding; leaving aside; not counting (prep adv)	
tRM4p(CL&v	heren (Quantity and Number)	order; *association (n)	
zj,,fG*tjf	heri	lady (n)	
bfik(Agq!J	heru-	to be master of; to lord it over; to own; to rule (vb)	
NK)P:78WV-	herulatsë	domain; estate (n)	
B=gOpp0ut^	heru	lord; master (n)	
gV^u_BVZ+;	hes (hest-)	*sibling (n)	
L%d@*DV.pb	hessa	withered (adj)	
d8+C&RKC~2	hesta(lë)	the nearest consanguinity (n)	
bHD+fy},!h	hesta-; hwirya-	to wither (vb)	
nMG!$ss>/T	hexan (hexamb-)	lavatory; toilet (n)	
LI2{KK)0+^	hilmë	offspring; *descendant (n)	
keT*ar[%vp	hilyalë	dynasty; succession (n)	
ht)${D;e%/	himyalë	connection (n)	
o@k/Tk-pg2	himítië	compliance (n)	
wvPqGo(+4M	himítë (himíti-)	chronic; clinging; persistent; sticking; (lit.) able to stick on (adj)	
jlCOh;wyC)	hinta-	to adopt (vb)	
LAmGtb^W|m	hir-; tuv-	to find (vb)	
jo*W,PK;F,	hirdë	bowels; entrails (n)	
N%s/hYA|Zz	hiuma	clue; hint (n)	
"F2h(j3N#fU"	hlaimar (hlaimard-)	hospital (n)	
"gSC#@,a*0A"	hlaiwa	ill; sick (adj)	
jmypqd`}f1	hlapil	flag (n)	
kd:G`z~=}e	hlappo	dress; (lit.) flying cloth (n)	
JUm^e6Hs:C	hlapu-	to blow; to fly or stream in the wind (vb)	
GJf3,u5tl+	hlar-; lasta-	to hear (vb)	
lnG|Fw|4r_	hlaraitë	able to hear (adj)	
nzQ=<b/2kb	hlarindo	hearer (n)	
O+Xd*AB2W_	hlarië; lasta	hearing (n)	
mbptFkYdw;	hlarma	earpiece; receiver (n)	
KZq`bLW/r?	hlas (hlar-)	ear (n)	
i*%ec/CNAC	hlimbë	gliding; sleek; sliding; slippery (adj)	
ev!o/,EBy=	hlintë (hlinty-)	down; fluff; soft stuff (n)	
t~}&;!!d*!	hlit-	to dash; to hurtle; to race; to speed swiftly (vb)	
D]j-!fo7+t	hloima	poison; poisonous substance (n)	
m&{eCu(=HP	hloirëa	venomous; *poisonous (adj)	
G(1bYNXv&T	hloirë	poison; poisonousness; venom (n)	
gsmzz{ZL)^	hloita-	to envenom; to fill with poison; to poison (vb)	
uVI}4S[mD^	hlonda-	to bang; to boom; to make (loud) noise (vb)	
"BZj8UgM!1#"	hluc-; undulav-	to swallow (vb)	
BX&=l|M+XV	hlunco (hluncu-)	gullet; pharynx (n)	
cWA.I(UI8(	hlussa-	to whisper (vb)	
A=|wF62!%a	hlussë	whispering sound; *whisper (n)	
pO&s!Lx{=.	hlívë	sickness; *disease (n)	
g:zw+4J+9<	hlócë (hlóci-)	reptile; serpent; snake; worm; *lizard (n)	
NuH3{uR;u|	hlón(a) (hlon-)	noise; sound; speech sound; *phone (in linguistics) (n)	
sO|}d[<Wj^	hlónemma	phoneme (n)	
x5RqIdoDBO	hlöa	fenland; flood (n)	
ubj5%f/9Zc	hollo	cock; cockerel; rooster (n)	
AF&pb=O5G@	hollë; yello	shout (n)	
xCrnM<7g&3	holmo	from the middle; heartily; sincerely; *(lit.) from the heart (adv)	
PL0%e@niS_	holtu-	to call out; to *shout (vb)	
Ca!Q+AJO{e	holyë; porocë	hen (n)	
nFE?U*1(Qd	homanca-	to buy (vb)	
vr-Tl{mkls	hondacil	belladonna; (lit.) heartsbane (n)	
ww5;I($%qe	honda	hearted (adj)	
p|t~(M/-f@	hondo	(seat of the) deepest feelings; [metaphorical] heart (n)	
jJN_5{OFbu	hontompa	heartbeat (n)	
r&=Z0(;R3i	hontossë	loud sneeze (n)	
lsD(auj.2%	hont (n)	sneeze (n)	
F8YVWVhb`}	horna	rough; rude; uneven (adj)	
CPZH*0/hx*	hornië	roughness; rudeness (n)	
"z:<#fi?b<&"	hosta-	to assemble; to gather (hastily together); to pile up (vb)	
elgL5~oh2H	hostaitë	able to gather (adj)	
t!bF.MI)8e	hototyossë	a cough and a sneeze (n)	
zywH`X1P<k	hotsë	army; band; troop (n)	
"qOH#;hPsxA"	hotya-	to sneeze (vb)	
jp>vU<H5*A	hrai(a)	awkward; difficult (adj)	
iQl_><qkqW	hrai-	hard; *difficult (pref)	
NLpzhQO1qm	hraitasta	detail (n)	
f[5Raf(],w	hrai	awkward; difficult; stiff (adj)	
u4^_^?.H()	hrambundo	bison; buffalo (lit. wild ox); gaur; wisent (n)	
FG^LyIBq-S	hranga-	to thwart (vb)	
qsLo:B>Qp3	hranga	awkward; difficult; hard; stiff (adj)	
s!5L/q.zV4	hrangwë	difficulty; problem (n)	
G+MeNC}B]n	hravanda	wilderness (n)	
vOYd(V,P,U	hravan	wild beast (n)	
t5f_.S+YEc	hresta	beach; shore (n)	
C[UW/z3s/F	hrissë	fall of snow (n)	
xa4(uGgL^V	hristil	snow (?peak) (n)	
r]lh{v.XeB	hritya-	to accomplish; to achieve (vb)	
gm7xltlJob	hruhirdië	dysentery (n)	
cd<+FWwb<m	hruo	*wickedness (n)	
CFh>)lIkz/	hrupuhto	fornicator (n)	
<0|_1?%VO	hráva	savage; untamed; wild (beast) (adj n)	
c)P$|6^F_O	hrávëa	carnal; fleshly (adj)	
g>YoaF[xn8	hrávë	flesh (n)	
"Myt&X#NZ^X"	hríma (n)	border; edge; hem (n)	
uv>Z>!!g=M	hrívë	winter (n)	
tw.VeMq*t7	hró-; orró-	east (pref)	
l7?(%T)%rP	hróta	artificial cave or rockhewn hall; dwelling underground (n)	
BszKCN0H,)	hröafelmë	*body-impulse (n)	
ry%cct6s5}	hröaloica	cripple (n)	
fooPhl!<t:	hröangolmë	lore of the body and arts of healing (n)	
DQ01^s&*a{	hröava	bodily; corporeal (adj)	
o/T5~9EWh(	hröa	bodily form; body (n)	
LrYgNroyB(	hrú(y)a	evil; wicked (adj)	
HOJCkFm6NW	hrúcen	envy; (lit.) evil-sight (n)	
B/%}Q@5-FU	hrúfinta-	to cheat (vb)	
s9jHSMoxV=	huarda	pack (of dogs, wolves) (n)	
FNKByEqjl@	huar	jackal; wild dog (n)	
"k~c~(O>LC#"	huinë	(unrelieved) darkness; deep shadow; gloom; nightshade (n)	
PcNX?t_~Ms	huiva	murky; *(nearly) lightless (adj)	
vPlQr{+cn:	hundo	thunder (n)	
yh[`F@ZK+b	huolë	litter (of pups, cubs, etc.) (n)	
tOFlg*0MuP	hwandasar (hwandasarn-)	pumice; (lit.) sponge-stone (n)	
OQyi!ala}Q	hwarrissë	blizzard; (lit.) blowing fall of snow (n)	
zX6Y,Lb54C	hwermë	gesture-code (n)	
B${SLT;ZFU	hwesta sindarinwa [hwesta þindarinwa]	Grey-elven hw (n)	
MsK9`}VCNm	hwesta	breeze; puff of air (n)	
"zz*|#tmzlT"	hwinda	crazy; mad (adj)	
kB2>az^hT8	hwindë (Agriculture and Vegetation)	birch (n)	
HL;4;$J^{d	hwinquetë	confused talk; nonsense (n)	
f7-kekvTl*	hwinta-	to confuse; to mix; to stir (vb)	
G3^cvPV<`A	hwinwaiwa	whirlwind (n)	
edA60&.uq	hyal-	to resound; to ring (vb)	
N@vX(<&8y	hyalin	paper (n)	
k^P=;qOj<;	hyallë	another way; differently; otherwise (adv)	
oU?jtox+>=	hyalta-	to [with dative] make a phone call to; to make ring; to ring; to strike (vb)	
"r>r)[Wpm#&"	hyam-	*to pray (vb)	
"ex_i-w#-N?"	hyan-	to injure (vb)	
Lk[{ko.E5%	hyando	cleaver; hewer (sword) (n)	
ftoK~eqA$;	hyano	rather (adv)	
IQJ-2Em|wC	hyapallë	slipper; (lit.) little shoe (n)	
LA@p7r2T4T	hyaqui	or else; otherwise (conj)	
rHk,!RQea+	hyar- (pref)	left-hand; south (pref)	
Kih!bfH*XZ	hyarehtë	halberd (n)	
bFSL.@wCAW	hyarma; hyarmen	left hand (n)	
Pv-*qm^_lO	hyarmen	south; (lit.) left-hand direction (n)	
hm<*{}g)7_	hyarmenya	southern (adj)	
xT=>U0I`7}	hyarnúmen	southwest (n)	
E[.IV%n.%e	hyarnúna	southwestern (adj)	
2E`85=@%~	hyarrómen	southeast (n)	
uN?0$DZMU|	hyarróna	southeastern (adj)	
pu!n&8;(?R	hyar	plough (n)	
K{q44F%hB^	hyassë	rushing noise; *rustling (n)	
c%nE.+v{I]	hya (pron)	other thing (pron)	
fU**|aV$O:	hyuxo	hiccup (n)	
bw>6X~dHez	hyólamo	trumpeter (n)	
pzN=2y-=<b	hácala	yawning (adj)	
w/Daz>UOFC	háno; toron (torn-)	brother (n)	
vr=hcX}RMl	háva	[unleavened] bread (collective) (n)	
"l.SkXVA#1^"	héramat (héramatt-)	main course; (lit.) chief meal (n)	
Pb}SYwi4}x	hérincë	*little lady (n)	
HOrm19[C5e	hérosto	capital city (n)	
"l]Fx#~z{cQ"	hérë	lordship (n)	
M]XG2^T+W(	híma	sticky; viscous (adj)	
xq.HNvy{H`	hísilanya [þ]	grey elvish rope; mist thread (n)	
yj,P,h8OHp	hísië [þ]	mist; mistiness (n)	
lTg]oUQh@g	hísë (hísi-) [þ]	fog; haze; mist (n)	
tbG+3hJ3M8	hísëa	misty (adj)	
"QF#C?9H)+:"	hó (Animals)	owl (n)	
xW|Pz08bqe	hó-	away; from; from among (pref)	
DbebO[5W1U	hócilmë	outtake; representative item; selection (n)	
s[=bLT!Wxg	hócir-	to cut off (so as to have or use a required portion) (vb)	
ien](5Vhqd	hón (hom-)	heart (physical organ); heart (physical) (n)	
v`Wf9rGP3)	hórista	citation; quotation; (lit.) something cut out (n)	
"m+qBj+#[Rz"	hótul-	to come away (to leave a place and go to another) (vb)	
Pt$j/gL4tU	höahan (höahán-)	big brother (informal/familiar) (n)	
Ioc*TvsqU`	höanet (höanés-) [þ]	big sister (informal/familiar) (n)	
cex-:E!n8i	höassë	size (n)	
F}icM~ms$9	húna	accursed; cursed (adj)	
fPVd`Hp>XJ	húni	bitch; *female dog (n)	
A3]1Xi!3R{	iasintë; linquelos [þ]	hyacinth (n)	
u_le1/g|FP	il-	every; *all (pref)	
eD:Y@7s7~!	ilca-	to gleam (white) (vb)	
lisx0YN]!A	ilcaxo	ivory; (lit.) gleam bone (n)	
"qq#V2Hu|xh"	ildomë	everywhere (pron)	
Q8I.<02zD|	ilimba	milky (adj)	
n->IH[]~3e	ilin (ilim-)	milk (n)	
BhB<3mEW4q	illangiéla	nevertheless; (lit.) all-having-been-bypassed (adv)	
f)T3RQ>P[<	illi; ilqua; ilu	all (n)	
q]K}nZ~fH(	illië	public (n)	
W3@dF4RrQ	illómëa	nightly (adj)	
l]vs,T5]~r	illöa(va)	annual; per annum (year as item); yearly (adj adv)	
"rdM#R8tedE"	ilquen	everybody; *everyone (pron)	
"c#(mKy*Z<a"	ilquárëa	general (adj)	
"C#nCG9)Y`)"	iltana-	to demonstrate; to prove (vb)	
pSje*tlF}I	iluasta	omnipresence (n)	
"h#&fi..^`M"	ilucara	omnificent (adj)	
cLey,w3)wM	iluisa	omniscient (adj)	
JSvIi7{!Z|	ilu	the whole; universe; world (n)	
gVNkp@V]L4	ilvan(y)a	perfect (adj)	
Og3FwP%|Cb	ilya (Time)	all (of a particular group of things); each; every; the whole (adj)	
h.H%f-<a[v	ilyë	all (adj)	
ky;U{RQ-BH	ilúvala	omnipotent (adj)	
nV>}=iuh&T	ilúva; rísima [þ]	universal (adj)	
rr)u=g4H{{	ilúvë	Heaven; allness; the all; the whole; universe; world (n)	
ro>k3Rbko`	im-	same; self (pref)	
yndnFJ?r[^	imbacindë	harlot (n)	
D*874Fe5;X	imbalandë	equality (n)	
FW;ZRL44e:	imba	same; self-same (pron)	
QcD;y-%q0G	imbilat; tumbalë	*deep valley (n)	
"h7`tREu7x#"	imbë (n)	(wide) ravine; deep vale; deep valley; dell; glen; (lit.) tween-land (n)	
jzxE&Go5LW	imbë (prep adv)	among; between (prep adv)	
"p)oIH|SJ#H"	imli; imlë	yourself (polite) (pron)	
jK-~et_Ov.	imma	same; same thing; self-same (pron)	
O|0Gxm_Ye%	immenwa	automobile (n)	
tN/,oDcHT*	immolaitië	self-praise (n)	
vt7>1v@nFH	immoquanta	egotistic; full of him/herself; narcissistic (adj)	
E<y;q*hchK	immotuntië	conscience; (lit.) self-perceiving (n)	
tJ&xVt/V{)	immoturië	self-control (n)	
uk<:>](E+d	immo	same one (person); self (pron)	
DJJL5n9xh=	immë	ourselves (exclusive) (pron)	
n01o/4?t&h	imnetyala	hypocritical; (lit.) self-adorning (adj)	
sf>~?02<SY	imnetyalë	(lit.) self-adornment (n)	
"o!V=U+8AA#"	imnetyando	hypocrite (n)	
O<uVx(ceKl	imyalë	sameness (n)	
rk2Xy(_iZ-	imya	identical; same; self-same (adj)	
EpgcC*fFdj	incánussë	mind mastership (n)	
n+wHSX3B<;	incánu	mind master (n)	
w9*H-*ww0[	indemma	mind-picture (of apparition in dream) (n)	
jrpL:9SX~X	indil	lily; other large single flower (n)	
Qh*$*]YgPC	indis (indiss-)	bride; *fiancée (n)	
E:Or,zy|Yn	indosatië	resolution (n)	
bLR13J?soQ	indo	(inner) thought; (state of) mind; heart; mood; resolve; will (n)	
h!zGvsAQ3o	indu-	to do on purpose; to will (vb)	
He-fgRzurc	induinen	purpose (n)	
tFkg$gk9)Y	indyarin	blazon; device; escutcheon (n)	
oS2.wuXY3*	indya	device; engine; machine (n)	
thb.9e^KRS	indyel	small bell (n)	
bJt6Sp?0:x	indë	yourselves (pron)	
"wn^gGO|#vR"	indómë	settled character; will of Eru (n)	
O:%R%Q&,eL	ingaran	high-king (n)	
kb1`o2*dNL	inga (n)	highest point; top (n)	
IZ)%stc+I%	ingolmo	loremaster; one with very great knowledge; wizard; *scientist (n)	
C9c-rGCNof	ingolë	deep lore; lore; magic; philosophy; science (n)	
dMvK>Ke]bg	ingor	summit of a mountain (n)	
c~pcG!(Pm&	ingëa	top (adj)	
E%N5z2K?Jn	inimë	femininity; womanliness (n)	
PkY)YiX!>U	nisítë; nizítë	womanly (adj)	
zg^aI;AFH:	inquë	thou-and-I (emphatic inclusive dual); we (pron)	
Q0l)|-Puny	insa	itself (pron)	
xlv]EWx<n+	insë	herself; himself (pron)	
"Na?F#DOk^{"	intu	themselves (dual) (pron)	
w6{M8^]3Sh	intyaitë	fantastic; fantasy (adj)	
BvG?a8IvX	intyë	yourself (familiar) (pron)	
xqN){oS]S%	intë	themselves; they (emphatic) (pron)	
Iw9~TV^dr/	inwalmë	mood of mind (n)	
tLN!5Dvn7x	inwirya-	to change one’s mind (vb)	
g+4F_NY9N^	inwis (inwist-)	change of mind/mood (n)	
PnXwIyXku	inwissar (inwissarn-)	opal; (lit.) mood-change stone (n)	
Li>W>M6_E>	inwista-	to convince; to persuade (vb)	
G84,!m7-Uq	inwë	ourselves (inclusive) (pron)	
uTH+k<:A_@	inyë	I (emphatic) (pron)	
G;hH9hX37B	ipsin; lia	fine thread (n)	
r.r/:{&|&`	iqu-	to beg; to ‘pray’ [ask earnestly] (vb)	
:>zy:1;xd	iquindo	beggar (n)	
"jh}]#~WNE:"	iquirya-	to ask for; to request (vb)	
h%QD<;[?tm	iquis (iquist-)	requirement (n)	
APlACxcFN|	ir-	to shudder (vb)	
"zJ5hG#Hvw$"	irta-	to peck (vb)	
r]:3I:vqb(	irtë (irti-)	peck; pinprick (n)	
cyv3&sa=z(	isilmë [þ]; silmë	moonlight (n)	
f6>tLoO+%v	ista-	to know; to learn (vb)	
k+5.]c)Ukz	istalë	information (n)	
D/L0M|wKMT	istanómë	academy; school (n)	
Cz:8mVQP!5	istima	having knowledge; knowledgeable; learned; very well informed; wise (in sense knowing very much) (adj)	
VD-eQt[]n	atintila-; ita-; tintila-	to sparkle (vb)	
PRaS&s?cql	itan	in order to; so that (conj)	
cji1B>+,HV	itas	in that case (adv)	
b=I(.eTm-k	itisin [þ]	itching (adj)	
tTFTw2TO-v	itisya- [þ]	to irritate; to itch (vb)	
e^O4{eOuRi	itis [þ]	fly bite; *itch (n)	
KsF,<IC*qM	la-	in-; no; none; not; not any; un- (pref)	
QS[VT@,U0L	lacalima	not possible to be kindled (made to shine) (adj)	
sA}gr<FRJf	lacaraitë	*inactive (adj)	
"v9#}Hg!#y%"	lacarina	incomplete; undone; *unfinished (adj)	
ij@TWjn`Ka	lacarë	inaction; (lit.) not-doing (n)	
kx2;wy<QCs	lacenítë	blind; unseeing (adj)	
Cw*yHHm1p.	lahlaraitë	deaf; (lit.) unable to hear (adj)	
JGMbC7[1df	lahtalë	passover (n)	
yDn+~^$h[a	laicalassë	green as leaves; green-leaf (adj)	
"hdn2qb/w#u"	laicelumir (laicelumír-)	malachite (lit.) green-flowing-jewel (n)	
y6pw3<YINd	lailinquë	beryllium; (lit.) fresh-liquid light (n)	
K>qAyJbXhI	laimamatta	vegetable food; (lit.) plant food (n)	
i2y_!!h^=t	laimamatya	herbivorous; vegetarian; (lit.) plant-eating (adj)	
dSOH-mhV^+	laima; olva	plant (n)	
gbub_Ee}fm	laiquelis (laiqueliss-)	rue (plant) (n)	
u<=u*T%WT1	laiquë	herb (n)	
OUNb3h+u=n	lairelossë	species of tree in Númenor; summer-snow-white (n)	
H(7I;peB[-	lairemo; maitar	poet (n)	
nt,B?%6Slr	lairemírë	daisy; (lit.) meadow-jewel *(or summer-jewel) (n)	
O|Wmo;Af(<	lairus (lairust-)	verdigris (n)	
Ia0&p7*b]t	lairë (Time)	summer (n)	
"F(J5Y0|o#R"	laista	ignorance; (lit.) not-knowing (n)	
"mqGqxpD#(-"	laistima	secret; unknowable (adj)	
v+KKKLK=az	laita-	to bless; to praise; to ?live (vb)	
lSKCn2:jlW	laitalë	praise (n)	
"g#+Y7FB@~G"	laitima	praiseworthy (adj)	
he!a>R&`Sz	laitië	honour; praising (n)	
mmInFf[K].	laivelyávë	(water)melon (n)	
"IsO#]o0%GZ"	lai	very (adv)	
qd!%Hp@TX&	lala-	to laugh (vb)	
fkIC}&,~|s	lalamma-	to babble; to chatter (vb)	
e)Pn:~VOM[	lalammamo	babbler (n)	
lyZ<gE6}/Y	lalammië	babble (n)	
b:vWv4wo:b	lalda	laugh (n)	
u^(X,`s<!@	lalevítë	lame (adj)	
zT3I4|wPW&	lalil	chuckle (n)	
oI^a*8e,%*	lalië-malina	daffodil; (lit.) yellow laughter (n)	
g*hEVCbK;;	lalië	laughing; laughter (n)	
j3=LD1Tt,y	lalta-	to make laugh (vb)	
oYi@@Wj5[V	laltaula	funny; (lit.) apt to make laugh (adj)	
Ox3W:q$D9~	laman (lamn-)	animal; tame beast (n)	
O3f[x%poqw	lamanwa	beastly; stupid (adj)	
r.u|K3Uq*1	lamatë	a fast; fasting (n)	
LuDBA<1mZe	lamba	(physical) tongue (n)	
Q(s<K-LIqO	lambelanga-	to translate (generally, between languages) (vb)	
C-_tP<yL;/	lambelanga	translation (n)	
vw-w@p(K)*	lambengolmë	linguistics (n)	
e{$;0Y]S:h	lambina	of tongue; spoken with tongue (adj)	
Ka{*=q(!/O	lambë	dialect; language; tongue (n)	
CB<Sv|1<9=	lamma-; nallamya-	?to echo (vb)	
HXmE%/U9A^	lamnarë	flock; *herd (n)	
L%Kq[o^;Fy	lamélima	unlovable (adj)	
cBJS=O1>=G	lancanta-	to transform; to turn into (trans.) (vb)	
llwA,I.;L{	lanca	sharp edge (not of tools); sudden end (n)	
L?3F?!-NGJ	lancöa	tent; (lit.) cloth shelter (n)	
HHIgE.Y>Bm	landa; yonwa	boundary (n)	
A.SlGIhNq1	lanë (lani-)	hem (n)	
G=-YN9)a.I	langandë	stringed instrument with a neck (lute, guitar, etc.) (n)	
b.~u?7gW$G	langa	bridge; crossway; ferry; ford; thing that crosses (n)	
nYaLxrN+Z2	langë	extremely; superlatively; surpassingly (adv)	
Kp%}Z7MG7o	lanna	(to a point) beyond; athwart; *across (adv prep)	
z1!ECse+5=	lanotoitë (lanotoiti-); únótima	innumerable (adj)	
nf`K)dZ3@(	lanquet-	to converse; to debate; to *discuss (vb)	
yN,jlU?vo)	lanquetta	conversation; debate; interchange of words (n)	
z%zc81Ju(d	lanquinga	crossbow (n)	
nsixNK+/Q{	lanquit-	to darn a knitted garment; (lit.) to cross/over-knit (vb)	
iuAz=E^;|q	lantalca	boundary post or mark (n)	
"e}iM#7aC.P"	lantanna	banner; standard (n)	
iiD]fzEfjg	lantanwa	*fallen (adj)	
A6IYL)7.q%	lantasírë	waterfall; (lit.) falling river (n)	
sFQ~UUT!4M	lanta; lantë	fall (n)	
e%WeY5x*76	lanwa (adj)	(well-)defined; finite; limited; within bounds (adj)	
cBIay`Y}nl	lanya- (Social Relations)	to bound; to enclose; to mark the limit of; to separate from (vb)	
ebA8}J^f]v	lanya	thread; warp (n)	
"eT#@nfbzvk"	lan	*while (conj)	
uwp<.l[|T&	lanéya	not long ago; recently (adv)	
MMjRi)8BT{	lap-	to fold (vb)	
F?h*-X7[EE	lapa-	to hop; to swathe; to wind; to wrap (vb)	
"uiHi=QD1d#"	laparotsë	sleeve; trouser leg; (lit.) wrap-tube (n)	
G3JCK:A?U6	lapil	flowing cloth; swathe (n)	
KkFjk-!}HK	lappa	end of rope; hem of robe; loose-end (n)	
Ezu8PEB`?f	lapselunga	pregnant; (lit.) baby-heavy (adj)	
J0ZBMNpx7G	laptë	gluttonous eating (n)	
tr|^TJ27/;	laqui	unless (conj)	
K8k`F-*&%]	larma (Clothing and Adornment)	raiment (n)	
x*6_.jBmVp	larmo	listener (spy or scout) (n)	
Q,/croxb)e	larnelta	mile; *(lit.) league third (n)	
lq?Zw|%v6[	laru	grease (n)	
J}u:;ta<pl	larúva	greasy (adj)	
nvGYlvPClU	lasselanta	(late) autumn; October; (lit.) leaf-fall (n)	
