(be)bilfir|conscience (n)
fad|enough (adv)
faf-|to blow; to pant; to puff (vb)
fafli|bladder (n)
fag-|to cut (vb)
fagin|cut (adj)
faidwen|freedom (n)
faiglim; faiglion|having long hair (adj)
faigli|hair; long tresses (n)
faigri|cruelty (n)
faig|cruel (adj)
failtha-|to go pale (vb)
failthi|pallor (n)
fail|pale; pallid (adj)
faina-|to get free (vb)
fairtha-|to release; to set free (vb)
fairthos; faith|liberty (n)
fair|free; unconstrained (adj)
faithir|Saviour; liberator (n)
falas|beach (n)
falchon|great two-handed sword; twibill (n)
falchor; falchos|cliffs (n)
falc|cleft; cliffs; gash; ravine (n)
falin; falon; hulc|naked (adj)
falm|breaker; wave (n)
falos|beach; coast; edge; fringe; line; margin; sea-marge; surf (n)
falt; fôl|bare (adj)
faltha-|to despoil; to make bare; to rob; to strip (vb)
famfa-|to maul (vb)
famfolc|fat-bellied (adj)
famp|appraising; assay; caressing; feeling; fingering; handling; stroking; touching; ‘fuss’ (n)
fam|fat belly; paunch (n)
fanc; tôb(a)|cut (n)
fang|(long) beard (n)
fann; lath|year (n)
fant|bent; bowed; crooked (adj)
far(o)n|different; separate; strange (adj)
far-|to depart; to divide; to leave; to separate; to sever (vb)
farc|crack; division; quarrel; split (n)
farn|boundary; mark; shore (n)
faronwed|foreign (adj)
faronweg|foreigner (m.) (n)
faronwin|foreigner (f.) (n)
faroth|boundary (n)
fartha-|to divide (tr.) (vb)
far|however; yet (adv)
fas-; puibra-; puidra-|to wash (vb)
fasc; glan; puig; sôn|clean (adj)
fasca-|to sprinkle (vb)
fass; fath|tassle (n)
fast (Physical Acts and Materials)|cleaning; wash (n)
fast (Spatial Relations)|holder; stand (n)
fathli|tasselled fringe (n)
fathrin; fathwed|tasselled (adj)
fath|legality; possession; property; rights (n)
fau-|to give off a smell; to smell (vb)
faug; golog; golw|stinking (adj)
fauglas; fuglos|tobacco (n)
faug|wood smoke (n)
faust|odour (neither pleasant nor unpleasant); smell (n)
fautha-; fôtha-; nictha-|to snow (vb)
fech; olch; ulc; ulch|bad (adj)
fectha-|to destroy; to ruin; to spoil (vb)
fecthi|baddish; less bad; naughty (adj)
fedhin|ally; bound by agreement; friend (n adj)
fedhirweg|lawman; lawyer (n)
fedhir|(properly) bond; agreement; convention; law (n)
fedhra-; gofedhra-|to unite in a band (vb)
fedhril|one bound by oath [f.] (n)
fedhrog|one bound by oath (n)
fedhwed|lawful (adj)
fedhwen|treaty (n)
fegla; feigien|worse (adj)
fegrin|free (adj)
felcha-; felegra-|to equal (vb)
felectha-|to equalize; to make equal (vb)
felegrin|equable (adj)
feleg|equal (adj)
feltha-|to be probable; to resemble; to seem like; to seem likely (vb)
feltha; gofeltha|like; similar (adj)
felthadrin|probable (adj)
felu-; ol-|to seem (vb)
felweg; gofelweg|one’s fellow or equal; rival (n)
fel|(as av.) as; like (prep adv)
fem|poison in general; venom (of snakes) (n)
fengvain|quiver (n)
fengwathil|arrow feathering (n)
feng|arrow; war arrow (n)
fenlug; fent; lingos; lûg|snake (n)
fenog; fenwed|venomous (adj)
fesca-|to irritate; to itch (vb)
fesc|irritating; itching (adj)
fess|itch; itching (n)
festa-|to breath[e] (vb)
fest|breath; breathing (n)
feth|one breath (n)
fi-|2nd-person singular; you (pron)
fidhrad|hairy; hirsute (adj)
fidhra|collective hair (n)
fidhrin|haired (adj)
fien; fuin|worse (adv)
filc; fileg|fern (n)
fimli; finwi; sôn|skill (n)
fimlios|skilfulness (n)
fim|clever; right hand (adj)
finc; finig|trick (n)
findel; fingl; finnil|tress (n)
fingli|narrow place; pass in mountains; sound; straits (n)
fing|narrow (adj)
fini(o)s|larch (n)
finn|lock of hair (n)
fintha-|to cheat; to deceive; to take in; to twist (vb)
fintha|thine (pron)
finthi|idea; notion (n)
finweg|craftsman; man of skill (n)
fiont(ha)|later (adj)
fiont|least (adj)
fion|bowl; goblet (n)
fir|less (adj)
fith (fidh-)|single hair (n)
fladwen; fladweth|grassland; meadow (n)
flad|grass; sward (n)
flantha-|to scorn; to utterly despise (vb)
flanthog|scornful (adj)
flant|expression of scorn; leer; sneer (n)
flan|scorn (n)
flass|foam; fringe; margin; ragged margin; sea-marge; surf (n)
flathnir; flathwin|foam fay (n)
flathrin|foamy; tasseled (adj)
flathwi; flathwing|scud; spindrift; spray (n)
flidhra|graceful; ‘willowy’ (adj)
flig-; pelectha-|to hew (vb)
flinc|chip (n)
floss; thloss|breaker (n)
fluim|(black) smoke; reek (n)
fodra-|to bring to an end; to come to an end; to end; to finish (vb)
fodra|endmost; latest; the last (adj)
fod|bottom; butt; end (n)
fofri; fofru|folly (n)
fofrin|foolish (adj)
folc|evil-smelling (adj)
foltha-|to emit smoke; to reek; to smoulder (vb)
forog|enemy (n)
fost; narth; nûth|odour (n)
fostrin|odorous (adj)
fo|a clan (n)
fring|carcanet; necklace (n)
fripthon; thrimp|stalk (n)
fuctha-|to smoke (over a wood fire) (vb)
fufril|moth (n)
fufuin; fuis; fund; fô(tha); fûn|hoard (n)
fug-|to smoulder (vb)
fugla-|to smoke (a pipe) (vb)
fuglas|tobacco; *(lit.) smoke leaf (n)
fuglathrod; ross|pipe (n)
fugri|smother (of smoke) (n)
fuin; furion; furn; mugwen; ruim|secret (adj)
fuin; morn|dark (adj)
fuin|hoarded (adj)
fuior|deadly nightshade (n)
fuitha- (Spatial Relations)|to hide (tr.) (vb)
fuitha- (Time)|to fall (of night); to grow dark (vb)
fuithlog; fuithlug|dragon (who guards treasure) (n)
fui|night (n)
func|smoke (n)
fung|dark (esp. of colour) (adj)
funt|elephant (n)
fur-|to conceal; to lie (vb)
furion|concealed; hidden (adj)
furn|concealed (adj)
fwegli|brush (n)
fwegra-|to sweep (vb)
fweg|broom (n)
fwi-|fem. patronymic prefix (pref)
fwion|nephew (n)
fwîr|niece (n)
fâ-; gôtha-|to have; to hold; to possess (vb)
fêg|bad; poor; wretched (adj)
fîr|late (adj)
fô; glui|snow (n)
fôf|fool (n)
fôl; nil|empty (adj)
fôl|leafless (esp. of trees) (adj)
fôr|gap; gulf (n)
fôs; soth|bath (n)
fûr|lie (n)
ga-|more; very (pref)
gab-|to bark; to bay (of dogs) (vb)
gach|milch cow (n)
gad(a)|isthmus; joint; link; small lane; track (n)
gada-|to connect; to unite (vb)
gadorwen|society (n)
gados; gadros|association; fellowship; union (n)
gadren|kinsman by marriage; *brother in law (n)
gadres|kinswoman by marriage; *sister in law (n)
gadron|associate; fellow (n)
gadr|joint; link of chain (n)
gadu|connected; joined (adj)
gadweth|joining; union (n)
gadwi; hethgadwi; hethgedwi|twins (n)
gagron|bullock; yoke ox (n)
gag|jaw (n)
gaib; gaiw|pregnant (adj)
gaibra-|to impregnate (vb)
gaid; gantha|more (adv)
gaigin|arms (n)
gaig|tool; weapon (n)
gail|star (n)
gaisin|of steel (adj)
gaista- [ng-]|to cause great grief to; to oppress (vb)
gaist|oppression; torment (n)
gais|steel (n)
gaithrin|like steel (adj)
gal(a)|daylight; light (n)
gal-|to shine (golden, as the Sun) (vb)
galdon; orn|tree (n)
galoth|window; *(lit.) light hole (n)
galtha-; tanga-; tantha-; tusta-|to kindle (vb)
galt|yoke (n)
galwed|shining (adj)
galwen|brilliance (n)
gam(m)a-|bring in revenue; gain; increase; interest (on moneys); profit; to be profitable; to gain (n vb)
gama-|to call; to shout to (vb)
gandos|morose temper (n)
gand|dark and gloomy; gloomy of temper; harsh; ill tempered; morose; sour (adj)
ganos; gwinwen; gwioth|youth (n)
ganothrin; laibrin|youthful (adj)
ganthan|adult; grown big; grown up; waxen; [originally?] large (adj)
gant|greater; larger; more; (lit.) increased (adj)
gar(th) (gardh-)|district; place (n)
garob|cloak; outer garment (n)
garth; melon; meltha|beloved (adj)
gartha-|to admire; to have affection or respect for (vb)
garw|sown-field; tilled (n adj)
gath|neck (n)
gaudhwen|fever (n)
gaul; gûm|burden (n)
gaul|light (n)
gaust|corn; crop (espec. of cereal) (n)
gauth|heat (esp. of body) (n)
gav-|to bear fruit; to produce; to yield (vb)
gavon|harvest (time) (n)
gavos|crop; produce; yield (n)
ged; nosied|kinsman (n)
gedfel|affable; amiable; friendly (adj)
gedren|second cousin (m.) (n)
gedres|second cousin (f.) (n)
gedrin|akin; sib (adj)
gedweth; gwais; nothri|kinship (n)
gentha-|to grip; to lay hold of; to seize (vb)
gen|closed hand; grip (n)
gerd(h)olm; gersauth; gersoth|mine (n)
gerin|metallic (adj)
ger|metal; ore (n)
geth (Social Relations)|clan; folk; kindred (n)
gethlir|friend (n)
gethli|friendship (n)
geth|ore of metals (esp. raw iron) (n)
gil-|to gleam; to shine pale and silver (as of the moon) (vb)
gilm|moonlight; silver light (n)
gilt; tinc|a gleam (n)
giltha|white metal (n)
gima-|to hear (vb)
gimli|(sense of) hearing (n)
gimra-|to hearken to; to listen to (vb)
gimriol|audible; noticeable (adj)
gimri|attention; hearkening (n)
gintha-; intha-|to add; to add to; to increase; to join to (intr.) (vb)
giol; giwl; giwol|conceiving; fecund; having conceived; just pregnant (adj)
gioth; giwth|embryon; foetus; germ (n)
giothra-|to be conceived; to germinate (vb)
giothrin|embryonic (adj)
glaib|dripping wet (adj)
glaimri|fair weather; serenity (n)
glaim|clear; fair (espec. of weather); serene (adj)
glair|meadow (n)
glais|sweetness (n)
glamog; thancol|loathsome (adj)
glamra-|to abominate; to detest; to loath (vb)
glamri|bitter feud (n)
glant(hi)|cleanness (n)
glantha-|to cleanse; to purge; to purify (vb)
glanthin; glanwethrin|cleanly; pure (adj)
glanweth|cleanliness; purity (n)
glan|(originally) bright; pure (adj)
glar(os)|blaze; glare; splendour (n)
glarossiol|dazzling (adj)
glarosta-; glartha-|to dazzle (vb)
glarw(ed); glaur|bright; light (adj)
glass; glâs|brilliance; clarity (n)
glastrin|marble (adj)
glast|marble (n)
glathrin|lucent (adj)
gledhrin; glen(d)rin; glen(n); thlind|slender (adj)
gledhrinios; glen(d)rinios|slenderness (n)
glen(n)|fine; thin (adj)
glent; glenweth|thinness (n)
glest [ng-]; lest|assembly; concourse; gathering; moot (n)
glesta-|to gather (vb)
glib; siriol|liquid (adj)
glib|drop of water (n)
glimri|sheen (n)
glim|shimmering (adj)
glingon|chant; chanting (n)
glingrin|musical (adj)
gling|music (n)
glint; sincli|crystal (n)
glin|sound; utterance; voice (n)
glis; gur; gûri|sweet (adj)
glisca-|to have a sweet tooth; to like sweet things (vb)
glisc|flattering; fond of saying sweet or flattering things; fond of sweets; suave (adj)
glissith; glist|sugar (n)
glith|dale; hillslope (n)
glo(r)nethlin|buttercup; meadowgold (n)
glod|gullet; throat (n)
glonta-|to devour; to gulp; to swallow (vb)
glonthen|dandelion; (lit.) eye of the day (n)
gloss|clear white; white (adj)
glost|whiteness (n)
glum; lum|cloud (n)
glumri|moroseness; sadness (n)
glum|(over) burdened; dull; heavy; sad (adj)
glâm|fierce hate; hatred; loathing (n)
glâ|daytime (n)
glóna-|to dawn (vb)
glô; orosaura; orost|sunrise (n)
glôrin|of gold (adj)
glôriol|like gold (adj)
glôr|gold (n)
glôs|acme; best of anything; blooming time; floruit; flower (n)
glô|daybreak (n)
go-; gwa-|in one; together; with (pref)
gobli|dell (n)
gobos|haven (n)
gob|hollow of hand (n)
gochest; gwachest|brother and brother; brother and sister; etc. (n)
gochestri; gochethri; hestri; hethri|consanguinity (n)
godaithion; godaithri(o)n; taithion|educated (adj)
godaithri(o)n|learned (adj)
godaithrinwed|grammatical (adj)
godaithri|education; erudition; grammar (n)
godra|joined; joint; united (adj)
gofedhin|allied; united; ‘friends’ (adj)
gofedhrog|ally (n)
gofel; gofil; gwafel|exactly alike (adj adv)
gofelthi|exact similarity (n)
gogail; gogel; gogìl; mem|mouth (n)
gol-|to stink (vb)
golairin|rhyme; rime; riming poem (n)
golaudri|deluge; flood (n)
golc; golod|stench; stink (n)
golesta-|to gather (intr.) (vb)
golma|ancient lore; lore; wisdom (n)
golweg; gulweg|*Gnomish man (n)
golwin; gulwin|*Gnomish woman (n)
gomaithri|government (n)
gomintha|together (adv)
gomod; gwamod|community; companionship; fellowship; living together (n)
gomodril|associate; companion; fellow (f.); nun (n)
gomodron|associate; companion; fellow; monk (n)
gomol|the teeth; two rows of teeth (n)
gond|stone (n)
gonn|(great) stone; rock (n)
gonothri(n)|of same kindred (adj)
gontha; nogin|boy (n)
gontha|memorial; pillar; stele (n)
gonthos|great rock (n)
gonwed|rocky (adj)
gor- [ng-]|all; altogether; quite (pref)
gor-; lith-|to die (vb)
goredhin [ng-]|akin; related; sib (adj)
goredhnir; goredhwin|cousin (f.) (n)
goredhweg|cousin (m.) (n)
goredin; redhin|*related (adj)
gorin; gwarin|circle of trees (n)
gorn|dung (n)
gorthin|fane; temple (n)
gort|idol (n)
gothfeng|(war-)arrow; a great arrow; an arrow sent as a summons to war (n)
gothnir; gothwin|amazon (n)
gothriol|warlike (adj)
gothri|warfare (n)
gothwen; macha; magru|battle (n)
gothwilm|armistice (n)
goth|strife; war (n)
govedhwen; hauthwais|matrimony (n)
goveg|just like (adj)
govin(d)riol; govinra; nochinra|long-acorned (adj)
govron; gronoch; nocha|acorn (n)
grail|circlet (n)
grand; ost|town (n)
grann|city; fort; strong place; walled town (n)
gratha-|to fray; to rub; to scratch (vb)
graug; grôg|demon (n)
graus|sow; *female pig (n)
grendi|cousinship; family (in a wide sense) (n)
gresta-|to aid; to help; to succour; to support (vb)
grest|salvation; succour (n)
gretha-; reth-|to preserve; to rescue; to save (vb)
grethron|saviour (n)
grileg|hooped shape; ringed (adj)
grilthi|finger-ring (n)
grim; hoth; lî|folk (n)
grim|host (n)
grind; grinn|ankle; wrist (n)
grintha|*red (adj)
grith (grith-)|affection; attention; care (n)
grith-|to attend to; to care; to care for; to mind; to tend (vb)
grithonwed|careful; thoughtful; unselfish (adj)
grondolas; grontholas|oakleaved (adj)
grondos; gronthorn; gronthos|oaktree (n)
grondrui|oakwood (n)
gronduru|oakwood (mat) (n)
grosgen; groth|soil (n)
grothorf; podod|potato (n)
groth|earth (n)
gruigarm|angry or violent act; vengeance; *deed of horror (n)
gruithodwen|barbarity; ferocity (n)
gruithod|ferocious wrath (n)
gruithog|ferocious; mad with wrath (adj)
gruith|angry or violent act; deed of horror; vengeance (n)
grui|ferocity; horror (adj)
grôn|oak; oaktree (adj)
grûd; rodos|cavern (n)
grûda|cave (n)
gudh-|to be hot (intr.) (vb)
gudhrin|burning hot; inflamed (adj)
gudhriol|inflamed; inflammatory (adj)
gudhri|conflagration; inflammation (n)
guig|piece of property (n)
guin (adj, Possession and Trade)|held; own; possessed (adj)
guin (adj, Time)|ready (adj)
guin; gwein|*woman (n)
guinir|slave (n)
guinog|chattel (n)
guinoth|property (n)
guira-|to possess (vb)
gui|already; just; just now; only just (adv)
gul-; ulna-|to ooze (vb)
gulin|enduring; long suffering; patient; (lit.) burdened (adj)
gulta-; ultha-|to pour out (tr.) (vb)
gultha-|to balance it on scales; to be worth; to bear up; to endure; to value or be equivalent to; to weigh (vb)
gum-|to lade (vb)
gumlaith|depression; grief; weariness of spirit (n)
gumriol|burdensome (adj)
gumri|burden (metaphoric); trouble; worry (n)
gund; gwelaith; gweleth; hunn|boil (n)
gund; hunn|pus (n)
gunn; lingwir; ulug|?dragon (n)
gurmir|drink of the Valar; *(lit.) sweet wine (n)
gurth(u); urthu|death (n)
gusta-; husta-|to burn (tr.); to destroy (vb)
gw-; u-|negative prefix (pref)
gwada-|to roam; to travel (far); to wander (vb)
gwadath(wen)|journey; wandering (n)
gwadhra|habitable (adj)
gwadhril|inhabitant (f.) (n)
gwadhron|inhabitant (m.) (n)
gwaidhin|web (n)
gwaidhi|a rime (i.e. the 2 actual rhyming words) (n)
gwaid|companion; kinsmen; relations (n)
gwailtha-|to air; to expose to air (vb)
gwail|air (n)
gwais|relation (n)
gwaith (gwaith-)|semen (n)
gwaith; gweith; gwiaith; hoth; nos|people (n)
gwalest|concourse; folkmote; moot (n)
gwalir|rime (n)
gwaltha-|to bless; to send good luck to (vb)
gwaltha; gwalwed|fortunate; happy (n)
gwalthi; gwalweth; gwalwen|fortune; happiness (n)
gwalt|any providential occurrence or thought; good luck (n)
gwam|gust of wind (n)
gwandra; gwanin|beautiful (adj)
gwandreth; gwanthi; gwanwen; gwanweth|beauty (n)
gwanos|birth; heredity (n)
gwanthi|a fair face; fairness; pretty (n)
gwant|beautiful; fair; loveliness (adj n)
gwar(e)dhir|comrade; f. companion (n)
gwar(e)dhon; gwardhos|comrade; m. companion (n)
gwar-|to guard; to watch (all senses) (vb)
gwarestrin; tirin|watch-tower (n)
gwarest|-ship; cousinhood (n)
gwareth|guard; vigilance; ward; watch (n)
gwarieg|warden; watchman (n)
gwarth|dead (only of persons) (adj)
gwassiol|loud; noisy; rushing; rustling or splashing (adj)
gwass|noise of rushing; rush; rushing (n)
gwast; rû|dwelling (n)
gwavwed|windy (adj)
gwe-|2nd-plural pronoun; you (plural) (pron)
gwectha-|to generate; to impregnate (vb)
gwed-|to bend (intr.); to turn; to wind (vb)
gwedhweg|intricate; meandering; twisting; winding (adj)
gwedhwin|bend; loop (n)
gwedhwion|bending; looping (adj)
gwed|small river; *brook (n)
gwef|louse (n)
gwegrin|masculine (adj)
gwegri|manhood (time or state) (n)
gwegwed|male (adj)
gwegweth|male sex; manhood (state) (n)
gwegwin|hermaphrodite (n)
gweg|male of the Elda; man (n)
gweithiad|folk; nation (n)
gwel-|to boil; to bubble (intr.) (vb)
gwelaith; gwelc; gweleth|bubble (n)
gweleb|cool; fresh (esp. of water) (adj)
gweltha-|to press; to squeeze (vb)
gwelwi|spring of water (n)
gwem; terch; tereg|worm (n)
gwembel; gweml(i)|weevil (n)
gwen(n); gwent|big; fine; large (adj)
gwenedh|womanly? (adj)
gwenithli|maidenhood (n)
gwenniniol|girlish; maiden(ly) (adj)
gwennin|girl (n)
gwent|brook; small river (n)
gwer-|to bend (tr.); to turn; to weave; to wind (vb)
gwerb(e)lin|top; whirligig; *(lit.) wind-unwind (n)
gweron|cylindrical; rounded; spun (adj)
gwert; lûgi|a twist (n)
gwes-|to greet; to welcome (vb)
gwesol|affable (adj)
gwest; gwîs|entertainment (n)
gwesta-|to entertain (vb)
gwest|greeting; salute; welcome (n)
gwethlir|song of welcome (n)
gwethli|little girl; maiden (n)
gwethra-|to bloom; to flourish (vb)
gwethrin; gwethriol; maiwethrin|welcome (adj)
gwethrin; gwethriol; tuvrin; tuvriol|acceptable (adj)
gwi-|bi-; di-; twi- (pref)
gwiaith|men (n)
gwidh-a-ging|cobweb (n)
gwidh-|to weave (tr.) (vb)
gwidhin|woof (n)
gwidhon|woven (adj)
gwil-|to float; to sail (vb)
gwilbrin; gwilvrin|butterfly (n)
gwilbriniol|like a butterfly (adj)
gwilb|full of peace; peaceful; quiet (adj)
gwilith|breeze (n)
gwilm|cessation; peace; quiet; rest (n)
gwiltha-|to cease; to leave off (vb)
gwilthi; gwîl; rim|peace (n)
gwilw|peaceful; quiet (adj)
gwimla-|to twinkle; to wink (vb)
gwimpel|scintillation; sparkling (n.) (n)
gwim|spark; wink (n)
gwinc; sint; tim|spark (n)
gwindod|elder tree; elderberry (n)
gwineth; gwinwed|female (adj)
gwingil|foam maiden; mermaid (n)
gwingli|loom (n)
gwing|crest; foam; wave-crest (n)
gwiniel|lady (n)
gwiniol|feminine (adj)
gwinios|womanhood (time or state) (n)
gwinlaith|womanhood (time) (n)
gwinn; gwith|net (n)
gwinta-; thê-|to see (vb)
gwintha-|to face (vb)
gwint|face (n)
gwinweth|female sex; womanhood (state) (n)
gwin|female; woman (n)
gwiog; gwion; gwiw; gân|young (adj)
gwionert|deed of valour (n)
gwir-|to look (at) (vb)
gwirith|countenance; expression; fixed look; look (on face); regard (n)
gwirn|unwelcome; unwished for (adj)
gwirtha-; uir-|to mean not to; to not mean to; *to not to wish (vb)
gwirthol; uirol; uthairiol|reluctant (adj)
gwirth|reluctance; unwillingness (n)
gwir|lord; master; possessor (n)
gwista-|to be ignorant of; to not to know (vb)
gwist|weft (n)
gwithadr; gwithant|shuttle (n)
gwâd|foreigner; stranger; traveller (n)
gwâs|juice (n)
gwâ|wind (n)
gwîl|cessation; leaving off; quiescence; quiet; rest (n)
gî(laith)|in past; once (adv)
gîrin|ancient; belonging to former days; bygone; former; old; olden (adj)
gîr|yesterday (n)
gôbi|large hound (n)
gôf|fruit (esp. of tree) (n)
gôf·clochiol|stone-fruit (n)
gôg|clumsy; left (hand) (adj)
gôl|daylight (n)
gôma-|to nickname (vb)
gôma|by name; nicknamed (adv)
gôm|call; nickname (n)
gôr|all; each (adj)
habach|big shoe; clog; sabot (n)
habin|shoe (n)
hacha|buttocks; the hams (n)
had-|back; for-; in return for; instead of (pref)
hada-|to aim at; to throw at (vb)
hadang; hadung|javelin; (lit.) hurling iron (n)
hadha-|to (+ dative) to wait on; to abide with patience; to cleave to; to cling; to wait for (vb)
hadhol|abiding; constant; enduring; faithful (adj)
hadra-|to face; to oppose; to resist; to stand in way; to thwart (vb)
hadra|equivalent; facing; opposing; opposite (adj)
hadron|opposite (prep adv)
hadruithog|thirsting for vengeance (adj)
hadruithol|vengeful (adj)
had|(c. allative) against; as; facing; for; in return for; instead of; opposite; over against (prep)
hag-|to sit; to sit down (vb)
hagra|seated (adj)
hai (adv, Grammar)|there (by him) (adv)
hai (adv, Time)|early; in good time; punctually (adv)
hai (interj)|away; begone; hence; go! (interj)
haid; haig|path; road; way (n)
haidra|in good time; punctual; timely (adv)
haidri|after breakfast; forenoon (n)
haim; haithin|departed; gone; lost (adj)
haimadri|elevens; food in morning; lunch (adj)
hair|in good time; punctual; timely (adj)
haitha-|to fare; to go; to hie (vb)
haiva|(as av.) away; be off; begone; hence; off; hence! (interj adv)
hal(a)-|to drag; to draw; to pull (vb)
halcha-|to drag on ground (roughly) (vb)
halm|draft; draught; drawing (of fishes etc.) (n)
halthi|sheath (n)
hamra-|to abase; to abash; to humble oneself (vb)
hamra|base; lowly; lowlying (adj)
ham|ground; level of Earth’s service [surface] (n)
hant (adv)|thither (adv)
hant (n)|cast; throw; turn or move in games (n)
hantha-|to aim at; to direct; to fling; to hurl (vb)
harach|she-wolf (n)
hara|flesh meat; meat (n)
harc|flesh (on a living body) (n)
harog; harw; ulug; urc|wolf (n)
has-; hath-|beside; by; close to; touching (pref)
hasta-|to pause; to stay; to stop; to tarry; to wait (vb)
hast|pause; rest; stop; wait; waiting (n)
hau-|to lie (vb)
haugrin|humble; lowly; mean (adj)
haug|low (adj)
haus|bed (n)
hautha-|to lay; to lay flat on ground; to stretch out (vb)
hauthwaid|consort; wife or husband (n)
hauthwais|conjugal rights (n)
heb-|to bind; to bind round (vb)
hebon|(also) bounded; bound; surrounded (adj)
hebrim|bound(ary) (n)
hebwirol|circumspect (adj)
heb|around; round about (prep)
hel-; heltha-|to freeze (vb)
helc; heleg|ice (n)
helc; helw|cold; ice-cold; icy (adj)
helfileg|etc.; frost on panes (n)
helfin(n); helfingl|icicle (n)
helon|frozen (adj)
heloth; hîl|frost (n)
heltha-|to congeal (tr.) (vb)
hemp|a band; bond; cord (n)
hen; thed|eye (n)
hent|eyesight (n)
herma|lordship; protection; sway (n)
hermin|tutelage (n)
hermon; hiron; hiros; indor; innor; malc|lord (n)
hesc|chill; chilled; dead; withered (adj)
hest|brother or sister; *sibling (n)
hetheglon|daisy (n)
hethir|sister (n)
hethos|brother (n)
hethren|first cousin (m.) (n)
hethres|first cousin (f.) (n)
hethrin|consanguine; of the same family (in a close sense) (adj)
heth|pallid; wan; white (adj)
hilming|heritage; inheritance (n)
hilmir|heir (m. or f.) (n)
hilm|offspring; one’s descendants; posterity; progeny (n)
hiltha|youth (more often masculine) (n)
hiril; turinthi|princess (n)
hirilwen|anxiety (n)
hiriol|anxious (adj)
hiron; hiros|guardian; master; overseer (n)
hirtha-|to care; to care for; to mind; to reck; to tend (vb)
hirthol|attentive; careful (adj)
hista-; hitha-|to hearken; to listen; to listen to (vb)
hist|attention; listening (n)
hith|listen! hark! (interj)
ho(n)-|grandson of (pref)
hodhir; ûna|hope (n)
horoth|age; eld; oldness (adj)
hortha-|to grow old (vb)
horweg|an ancient; old man (n)
hosta-|to collect; to gather (vb)
hothri; hothrim|army (n)
hothron|captain (n)
hugin|young pig (n)
huil|bitch; *female dog (n)
huir|foggy (adj)
huith; usb; usc; usg|fog (n)
huitha-|to it is misty (vb)
hum(i)los; humethla; humloth|(red) poppy (n)
hum-|to drowze; to sleep (vb)
humiol|drowzy; sleepy (adj)
hum|(right) down; (lit.) to bottom (adv)
hunc|pig (n)
huniol|bony; rawboned (adj)
hunt|nose; nostrils; snout (n)
hîr|anxiety; care; heed (n)
hôm|base; bottom; ground; seabed (n)
hôr|aged; ancient; old (adj)
hôth (hôdh-)|expectation; hope (n)
hûbi; saur|hound (n)
hûm; lorwen|sleep; slumber (n)
hûn|bone (n)
hûs|crowd; heap; pile; very great number (n)
hû|dog (n)
hŷr|sun (n)
ictha-|to agitate; to arouse; to egg on; to excite (vb)
idhr(a); ind(r)|a long time; long (adv)
idhraluin; in(d)raluin|long ago (adv)
idhril; idhwin|*Man (f.) (n)
idhrog; idhweg|*Man (m.) (n)
idhruglin|the language of Men (n)
idra-|to prize; to value (vb)
idra|dear; precious; valued (adj)
idreth|dearness; value (n)
idril; melethli|sweetheart (n)
idrisaith|excessive love of gold and gems and beautiful and costly things (n)
idri|jewel; thing of great worth; treasure (n)
igin|agitated; excited (adj)
igli|small fry; young of fish (n)
igol|excitable; exciting (adj)
ig|ado; excitement; fuss (n)
il(d)rim|disease; disturbance; unquiet (n)
il-|the opposite; the reversal (pref)
ilbar|the uttermost region beyond the world (n)
ilbrant; ilvrant|rainbow (n)
ilbrin|fat; greasy; oily (adj)
ilgioth|sterility (n)
ilm|fat; grease; oil (n)
ilrimog|uneasy (adj)
ilt(h)a-; ilt-|to yoke (vb)
ilta-|to prick; to prod; to stick in (vb)
iltanc|unsteady (adj)
ilwi(n)|heavens (n)
ilwint|heavens; (lit.) face of god (n)
im; ni-|I (pron)
im|fairy (n)
in(d)ra|long (also used of time) (adj)
in(d)wed|at home; domestic(ated); homely; indoors (adj)
in-|house of (pref)
inc; migin; pinig|little (adj)
inco|the identical; the same (pron)
ind; inn|abode (n)
indor; innor|master (of house) (n)
ing|fish (n)
inna; int|in home; to its house/its right place (adv)
inni|at home; home; in right place (adv)
int; rada|path; track; way (n)
intha-|to fare; to go (indefinite); to proceed (vb)
inthi|less (adv)
inthorn|eagle’s nest; eyrie (n)
inweg|*fairy (male) (n)
inwin|*fairy (female) (n)
in|go; move; occasion; turn (n)
iolinc|lambkin; little lamb (n)
iol|lamb (n)
ioroth; thorn|eagle (n)
irm|a wish; intention; resolve (n)
irn|desired; wished for (adj)
irtha-|to peck (vb)
irtha|her (pron)
irthod|intent; intention; will (n)
irthol|intentional (adj)
irt|beak (of small birds) (n)
ir|dative and allative (prep)
ista-|to be aware; to feel; to know; to perceive (vb)
ist|feeling; notion; sensation (n)
ith; itheg|anything (n)
ithog|any (adj)
ithrin; ithriol|of any kind (adj)
ithweg|anyone (n)
ithwin|anyone (f.) (n)
ith|fine snow (n)
ivogodron|walnut tree (n)
ivrin|fertile (adj)
i|the (article)
laboth|a hare (n)
labra|flapping; lax; loose; weak (adj)
lactha-|to (tr.) gather together; to amass; to collect (vb)
lada-; lôda-|to beguile; to caress; to smooth out; to soothe; to stroke (vb)
ladinios|equity (n)
ladin|equitable; fair; level; smooth (adj)
ladog|tin (n)
ladwen|flatness; heath; levelness; plane (n)
lad|a flat; a level; fair dealing (n)
laf|end of rope; hem of robe; loose-end (n)
lag-|to gather up; to get; to pick up (vb)
laib; laibrin; laug|green (adj)
laigos|greenness; verdure (n)
