(a)cainu-; vesta-|to wed (vb)
har(e)|near (adv)
hara(nda)|flesh-meat (n)
haranwa|carnal; fleshly (adj)
hari-; moc-; teve-|to hate (vb)
hari; vísi|blood (n)
haruni|grandmother (n)
haru|grandfather (n)
hata-|to fling; to hurl (vb)
hatsea|rapid; rushing (adj)
hatse|headlong movement (n)
haura|aged; ancient (adj)
hea|it (emphatic) (pron)
helca|ice-cold (adj)
helce; yalca|ice (n)
helilocte|(lit.) purple cluster; wisteria (n)
helinillea|*violet [colour] (adj)
helinille|violet (n)
helinquila|mauve (adj)
helinwa|(of colour) a blue-violet; of pansies (adj)
helin|pansy (n)
hempa; serma|cord (n)
hen; sinda; sé (hend-)|eye (n)
henuva|poisonous; venomous (adj)
hepe-; lim-|to bind (vb)
herendo; heréro; hes; hestaner; hestanoinu; hestanu|brother (n)
heresse; hes; hestani; hestanoini; hestaquin|sister (n)
heri; heruni; tári|lady (n)
heritse|an Inwe (n)
herivesti; veri; veruni; vesse; vestin|wife (n)
heru-; vard-; varda-|to rule (vb)
heru; malco|lord (n)
heruvesto; veru; veruner|husband (n)
heruvesto|(lit.) lord husband (n)
hes (hest-)|*sibling (n)
hesin; yelin|winter (n)
hessa; il(l)oite|dead; withered (adj)
hesta-; narqua-|to wither (vb)
hesta; hestale|the nearest consanguinity (n)
hestanoina|bearing the nearest consanguinity (adj)
hetl|bond (n)
hie; síse; síte|3rd sg. fem. pronoun (pron)
hie|she (emphatic) (pron)
hilc-|to freeze (vb)
hilmie|offspring (n)
hilmi|family; offspring (collective-noun)
hir (hird-)|inside; interior; inwards (n)
hista-|to fade (vb)
histe-|to hiss (vb)
histe|dusk (n adj)
hiswa|dim; fading (adj)
hi|3rd sg. fem. pronoun; she (pron)
hohye|fluff (n)
holle; rambe; ranwe; yáma|shout (n)
holtȯ-|to call out (vb)
holwe|stench (n)
holále; hulále|babble; chatter; conversation (n)
hon; ondo|rock; stone (n)
hont (honty-)|sneeze (n)
hontosse|a loud sneeze (n)
horinel (horinell-)|pine-needle (n)
horma|horde; host (n)
hos(se) (host-)|folk; people; tribe (n)
hos(t); rú (host-)|dwelling; hamlet (n)
hosse (Warfare and Hunting)|army; band; troop (n)
hosse; ossa|wall and moat (n)
hosta-|*to gather (vb)
hosta; hostar (Warfare and Hunting)|walled tower (n)
hosta; lie; nosse (Social Relations)|folk (n)
hostalca|able to gather (adj)
hostar|tribe (n)
hototyosse|a cough and a sneeze (n)
hotyo-|to sneeze (vb)
hualque; tolcea|eighteen (cardinal)
hualquenya; hualquetya; hualtya; tolcaiya|eighteenth (ordinal)
hucaiya|nineteenth (ordinal)
hue; olme(t)|nine (cardinal)
huecainen|ninety (cardinal)
huest(y)a; huetya|one ninth (adj)
huesto; huetto|one ninth (fraction)
huiva|murky (adj)
hui|dark; evening; fog; murk; night (n)
hum-|*to sleep (vb)
humetya|*thousandth (ordinal)
hunda|low; lowly (adj)
hunto|elephant (n)
hur-|to speed (vb)
hus-; usta-|to burn (tr.) (vb)
hu|3rd sg. masc. pronoun; he (pron)
hya (pron)|this by us (pron)
hya-|*her; *their; 3rd pl. fem. possessive; 3rd sg. fem. possessive (pref)
hya; ta (prep)|by (prep)
hyal-|to resound; to ring (vb)
hyalin|paper (n)
hyalme|loud ringing noise (n)
hyalta-|to make ring; to strike (vb)
hyan-|to injure (vb)
hyanda (Agriculture and Vegetation)|blade; share (n)
hyanda (Possession and Trade)|damage; harm (n)
hyanda-|to cleave; to mow (vb)
hyapa; patinca|shoe (n)
hyar-|to plough (vb)
hyar; hyarma (hyarm-)|plough (n)
hyasse|rushing ?hence (?noise) (n)
hyasta-|to rush; to rustle (vb)
hyecca|jerk (n)
hyelle; lalle; tolot|pebble (n)
hyuxo|hiccup (n)
hyá-|to stand (vb)
hyá|here by us (adv)
hyúne; lúne|deep blue (adj)
hére; malcasta; maxilis|lordship (n)
híse|bleared; dusk; haze; mist (n adj)
hóre (hóri-)|pine; stone pine (n)
hô|owl (n)
húcea|nineteen (cardinal)
húme; maite; tuxa cainen; tuxainen (maisi-)|thousand (cardinal)
húme|†great number (cardinal)
húro|storm (n)
húta-|to whoop (vb)
hútatyosta|whooping cough (n)
húya|ninth (ordinal)
húyo; túto|3rd sg. masc. pronoun (pron)
húyo|he (emphatic) (pron)
i (pron)|*those; whom (pron)
i-|3rd sg. fem. pronoun; she (pref)
i; in (article)|the (article)
ice; ni; qui; quinda; si; sinda; táma (iki-)|this (adj)
ici|look! (what I have) (interj)
icto; ixo|reflexive 3rd sg. (pron)
ielúme; yúye|long ago (adv)
ie|ago; †long ago (adv)
il(l)aica|blunt (adj)
il-|negative prefix; un- (pref)
ilc-|to seem (vb)
ilcala|*nighttime; darkness (n)
ilcarna|unfinished (adj)
ilca|reflexive 3rd sg. pl. adj. (adj)
ilce|appearance (n)
ilco|reflexive 3rd sg. pl. (pron)
ile; necte|honey (n)
ilimba|milky (adj)
ilin (ilim-)|milk (n)
ille (illi-)|crowd; throng (n)
illia|in multitudes (adj)
ilma; lin; linde; súye (Physical World)|air (n)
ilma; millo|oil (n)
ilqua|glossy; oily; smooth (adj)
ilsa|(mystic name of) silver (n)
ilt-|to come in; to thrust home (vb)
iltanca|unsteady (adj)
ilt|dig; stab (n)
iluin(do); ilumar (iluind-)|dwelling beyond the stars for the blessed (n)
iluquinga; uccu|rainbow (n)
ilu|ether (n)
ilweran(ta)|bridge of heaven; rainbow (n)
ilwe|heavens; sky (n)
imbe; nierwe; nierwes|hive (n)
imbile|flock; swarm (n)
imbilinc|sparrow (n)
iminqua; inquavíca|exactly alike; identical (adj)
imi|in; inside (adv)
indo; mar; os; san|house (n)
indoite|at home; domestic; homely; indoors (adj)
indolis|domicile (n)
indor|master of house (n)
indositsina|domestic(ated) (adj)
ingwe (ingwi-)|fish (n)
ingwil(in) (ingwiling-)|eel (n)
inqua|same (adj)
inquile|sameness (n)
inta-|to fare; to go (indefinite); to proceed (vb)
int|inwards (adv)
inwetelumbe; telumbe|(lit.) fairy-canopy; mushroom (n)
inwilitse|little fairy (n)
inya; titta|tiny (adj)
inye-|to imitate; to make like (vb)
io; miru|wine (n)
iqu-|to beg; to ‘pray’ [ask earnestly] (vb)
iquis (iqist-)|requirement (n)
iquista-; iquisya-|to ask for; to request (vb)
iquista|a request; if you please; please (n)
ir (ird-)|centre; inner parts; interior; inwards (n)
irin; pelle|town (n)
irmin|the inhabited world (n)
irt (irty-)|peck; pinprick (n)
irty-|to peck (vb)
irya; voine|wish (n)
is (iss-)|light snow (n)
iscane|pallor (n)
isca|pale white (adj)
isqua; istaléra; iswa; tengenwa|wise (adj)
isquale|cleverness (n)
isse|knowledge; lore (n)
ista-; tenge-|to know (vb)
istaléra|*knowledgeable (adj)
itisin|itching (adj)
itisya-|to irritate; to itch (vb)
itis|a fly bite (n)
itse|small fly (n)
ixa|reflexive 3rd sg. adj. (adj)
iye; luin|ago (adv)
lac (laq-)|snare (n)
lahta-|to ‽ (vb)
laica; laiqua; tuilenda|green (adj)
laica|keen; sharp (adj)
laicelastea; lastalaice|sharpsighted (adj)
lailexe; tasarin; tassarin|willow (n)
laiquasse|greenness (n)
laira-|to break up; to wear out (vb)
laisi; laito|new life; vigour; youth (n)
laivar|ocean (n)
laiwa; malwa; níva|pale (adj)
lala-; lalla-|to babble; to chatter (vb)
lalar (lalard-)|babbler (n)
lalta-|to smooth out; to stroke (vb)
lalta; lilt; liltie; tantare|dance (n)
lamandar|herdsman; shepherd (n)
lamanwa; laminya|animal-like; beastly; stupid (adj)
lama|animal; beast; head of cattle or sheep (n)
lambe|tongue of body but also occasionally of land or even = speech (n)
lampa-; panta-; tanga-; tump- (Physical Acts and Materials)|to beat (vb)
lampa-|to hit (vb)
lamáre; lámarin|flock (n)
lango|neck; throat (n)
lanqu-|to find; to get by lot or luck (vb)
lanqua|hap; happen; lot; luck; piece of fortune (n)
lant-|to drop; to fall (vb)
lanta-; suqu-|to fall (vb)
lanta|fall; fallen; falling (n adj)
lapa-|to swathe; to wind; to wrap (vb)
lapatl|leveret (n)
lapatte (lapatsi-)|rabbit (n)
lapil|flowing cloth; swathe (n)
lappa|end of rope; hem of robe; loose-end (n)
lapta-|?to relax; to loosen (vb)
laqua-|to catch; to snare (vb)
larmavoite; larmea|roomy; spacious (adj)
larma|area; room; space (n)
laruce; pingwa; pulpa; pulwa; pyúva; silc(in)a|fat (adj)
laru|fat; grease (n)
lar|place; region (n)
larúva; lisiva; piule|greasy (adj)
lassea|leafy; with leaves (adj)
lasselanta|Autumn; the Fall (n)
lasse|leaf; petal (n)
lasta; sie|sight (n)
lat (latt-)|flap; lid; small hinged door (n)
lata-|to be able to (used of opportunity; to permission) (vb)
latsina|level; smooth (adj)
latta; lúmen; rin|year (n)
lattin; lattulis|window (n)
latucenda|of tin (adj)
latwa|glossy; smooth (adj)
latúcen|tin (n)
lauce (lauki-)|plant (species); vegetable (n)
laucien (laukiend-)|vegetable or kitchen garden (n)
laule; lauste|mode of life (n)
laulema|inhabiting (adj)
laulemo|inhabitant (n)
laulemuine|people of the neighborhood; population (n)
laulesta-; lausta-|to gain a living; to lead a life (vb)
laulesta|livelihood (n)
laumea|dark; stormy (adj)
laume|overcast sky; storm (n)
laupe|shirt; tunic (n)
laure (lauri-)|(mystic name of) gold (n)
lausimatl|vegetable food (n)
lausimatwa|vegetarian (adj)
lausiva|living (of plants) (adj)
lausta- (Physical World)|to roar; to rush [making a rushing sound] (vb)
lausto|*noisily (adv)
laute (lausi-)|(esp.) vegetable; living thing (n)
lava-; sulp-|to lick (vb)
la|before; than (prep)
le (prep)|with (accompaniment) (prep)
le (pron)|you (plural) (pron)
lea-|*your; 2nd pl. possessive (pref)
lea|slippery; smooth (adj)
lecte-|to dovetail; to fit in; to join together; to splice (vb)
lehe-|to ride (vb)
lehesta|raid; ride; riding (n)
lehta-|to move (tr.); to ride (vb)
lehtasta|ride (n)
lelco|2nd pl. pronoun; you (emphatic) (pron)
lelya|*your; 2nd pl. possessive emphatic (adj)
lemillume|*five times (adv)
lemincainen|fifty; twenty three (cardinal)
lemincaiya|fifteenth (ordinal)
lemincea; lencea|fifteen (cardinal)
lemindea|quintuple (adj)
lemindóra|*five million (cardinal)
lemindóre|*quintillion (cardinal)
leminto; lemintya|one fifth (fraction)
leminya|fifth (ordinal)
lemin|(lit.) half the fingers; five (cardinal)
lempe (cardinal)|five (cardinal)
lempe (fraction)|one half (fraction)
lempe (n)|crook; hook (n)
lempea|decimal; half (adj)
lempessea|tenfold (adj)
lemya; lenya|half (adj)
lenc (lenq-)|limb (n)
lenca|dull; left (hand); slow; stiff (adj)
lenquelénu|(daddy) long-legs (n)
lenu-|to stretch (vb)
lenuva; sangwa|tight (adj)
lenwa|long and thin; straight (adj)
lep-; map-; mapa-|to take (vb)
lepsa|liver (n)
lepsile; liante (lepsily-)|tendril (n)
lepta; let; tenge; tenna (lept-)|finger (n)
lepta|hooked (as a tendril) (adj)
lequet; oxa (leqett-)|joint (n)
lerendi|association; brotherhood; college (n)
lese-|to come together; to gather (intr.) (vb)
lesta-|to collect (tr.) (vb)
lesta|assembly; gathering (n)
letinwesse|constellation (n)
leuce (leuki-)|ill; pallid; sick; wan (adj)
leume; quáme|sickness (n)
lev-; tulu-|to move (intr.) (vb)
li(n)-; ola-; olli-|many (pref)
lia(r); limba; olli|many (adj)
lia-|to entwine (vb)
liantasse; liante|vine (n)
lia|twine (n)
licinda-|to blow a trumpet (vb)
licinda; tumbe|trumpet (n)
licinde; licinne|blowing of horns (n)
licin|curled horn; horn (n)
lie; liende; nosse|people (n)
lielesta|folk moot (n)
liende|the folk (n)
lilda; lildo(s); olda (Quantity and Number)|more (adj)
lilt-|to dance (vb)
liltie|dancing (n)
limbelu|*long (adv)
limbe|a number (n)
limil|chain (n)
limna|sheaf (n)
limpa(pa)lasse(a); limpalassea|much roaring (adj)
limpalasse|much roaring (n)
limpelis|*fairy-drink (n)
limpe|drink of the fairies; elfwine; fairy-drink (n)
lin; linde (lind-)|melody; musical voice; tune (n)
lin; lingo; lingwe; lóce; oqui|snake (n)
linda (Emotion)|gentle; kind; soft (adj)
linda; lindea (Language and Music)|singing (adj)
lindea|*musical (adj)
lindelea|melodious (adj)
lindele|music; song (n)
lindelin|melody; tune (n)
lindelocte|(lit.) singing cluster; laburnum (n)
lindo|singer (n)
lindórea|singing at dawn (esp. of birds) (adj)
linga-|to hum like the string of a harp (vb)
lingwe; vembe; vembil|worm (n)
lingwilla|coil; spire (n)
linquea|watery (adj)
linque|flowing; stream; water; wet (n adj)
lint (linty-)|down; fluff; soft stuff (n)
linta(ta)sarind(e)a; lintasarindea|having many willows (adj)
linta-; sutya-|to soothe (vb)
lintitinwe|having many stars; many-starred (adj)
lintu(tu)lussea; lintutyulussea; lintyulussea|having many poplars (adj)
lintuilinda|many-swallows of autumn (adj)
lintuilindórea|of autumn; when many swallows congregate and sing at dawn (adj)
linya-|to run or flow smoothly (vb)
lipil|a tiny (fay-)glass (n)
lipsa|*liver (n)
lipte-|to drip (vb)
lipte; litl|tiny drop (n)
liquilitl|*(lit.) clear drop; icicle (n)
liquilla|(clear) pool (n)
liquilta|pellucid (adj)
liquin(a); nenda; sihta; úqua|wet (adj)
liquis (liqist-)|clarity; limpidity; transparence (n)
liquistea|transparent (adj)
liri-|to sing (vb)
lirilla|lay; song (n)
lirit(ta)|lay; poem; written poem (n)
lis (list-)|blessing; grace (n)
lisce|reeds; sedge (n)
lise (lihy-)|butter; grease (n)
listea; listevoite|blessed; full of grace (adj)
listya-; salistya-|to bless (vb)
lititinwe|many-starred (adj)
locta-|to bud; to put forth leaves or flowers; to sprout (vb)
locte (loksi-)|(flower) cluster; blossom (of flowers) (n)
loima|dry; parched (adj)
loimea; loire|thirsty (adj)
loime|thirst (n)
loista-; loita-|to refresh (vb)
loite; tuilenda|fresh (adj)
lom-|to hide; to lurk (vb)
lon(de) (lond-)|loud noise (n)
londa-|to bang; to boom (vb)
lopeta-|to amble; to lop (vb)
lopo-|to gallop; to run (of animals) (vb)
lopo; lópa|horse; mare (n)
lopsi|mare (n)
loquo-|to run (of human beings) (vb)
lor-; muru-|to slumber (vb)
lorda|drowsy; slumbrous (adj)
losille|rose (n)
lossa; ninque|white (adj)
losse|(white) flower; rose (n)
lotarwa; tarva; tarwa|garden (n)
lotella|floret (n)
lotórea|flourishing (adj)
lotóre|best time; blooming; flower; flowering (n)
loxe (loksi-)|cluster (n)
loyo-|to be thirsty (impers.) (vb)
luc-|to pull (vb)
lucta-; lúta-|to have time pass (vb)
lucta; lúmen|period (n)
luhtu|magic; spell (n)
luina|ago (adj)
lumbo|dark lowering cloud (n)
lunde|(lit.) period; (lunar) month (n)
lunga(na)-|to bend (down); to hang heavy; to lean; to sag (vb)
lunga; lungo; talca|heavy (adj)
lur-|?to be dark (vb)
lusta-|to bathe in warm water (vb)
lusta|warm water (n)
lut-; sala-; salta-; vil-; vili-|to sail (vb)
lutl|gum; paste; sticky matter (n)
lutta-; vil-; vili-|to float (vb)
lutto-|to swill (vb)
lutu-|to float; to sail (vb)
luvu-|to brood; to hang; to lower (vb)
luxima|fading; fleeting; temporary (adj)
luxo (luksu-)|mud (n)
luxor|bog; swamp (n)
lu|dual 2 (pron)
láta-|to extend; to lie (of country); to spread (vb)
lávear (láveard-)|glutton (n)
lá|heath; moor; open space (n)
lé-|to approach; to be sent; to come (vb)
lé|a sward; glade (n)
límen|band; thong (n)
líneneldora|having many beeches (adj)
líne|cotton; thread (n)
líse; sutya; suxa|sweet (adj)
lísele|sweetness (n)
lóme (lómi-)|darkness; dusk; gloom; shadow (n)
lómea|*gloomy (adj)
lómina|shadowy (adj)
lómin|shade; shadow (n)
lótea|full of blossom (adj)
lótequilna|broidered with flowers (adj)
lóte|bloom; blossom; flower (n)
lóto-|to bloom (vb)
lúce; sutl|slime (n)
lúcima|slimy (adj)
lúlea|sapphirine (adj)
lúle|blue stone; sapphire (n)
lúme (lúmi-)|time (n)
lúmia|pertaining to time; temporal (adj)
lúne; ninda; ninwa; ninya (lúni-)|blue (adj)
lúnelinque|*blue-water; flowing (adj)
lúrea|dark [of weather]; overcast (adj)
lúre|bad weather; dark weather (n)
lúsina|affectionate; glowing (of things); hearty (of people) (adj)
lúto|flood (n)
lúvin(a)|dark; overcast (adj)
lú|24 hours (n)
ma (adv)|*interrogative particle (adv)
ma (prep)|*by (prep)
ma-; so-; va-|together (pref)
ma-|in one (pref)
mac-; macta-|to slay (vb)
maca-|to die; to slay (vb)
macca|slaughter (n)
macil; malt|broadsword (n)
macta-|to slaughter (vb)
macte; mahte (maksi-)|grip; hold; possession; power (n)
macte; má|hand (n)
mactya-|to kill (vb)
mai (Mind and Thought)|do?; if (adv)
mai; máye (Quantity and Number)|too much (adv)
maica; olirdea; ulird(e)a; valca|cruel (adj)
mailina|beautiful (adj)
maira|excessive; strong (adj)
mairo|*horse (n)
mairu|(horse) mane; charger; flowing hair (n)
maisilanda|sycamore (n)
maisinto; maisintya; maisitto; maisitya|one thousandth (fraction)
maisinya; tuxainenya|thousandth (ordinal)
maita|maimed (adj)
maite (adj)|handed (adj)
maite (n)|maple (n)
maivoine|great longing (n)
maivoita-|to long exceedingly after (vb)
mal-|to crush; to squeeze (vb)
mala- (Physical Acts and Materials)|to ability); to be able to (used of capacity (vb)
mala- (Possession and Trade)|to hurt; to pain (vb)
malaqua|etc.); soft; substances; tender (of meat; yielding (adj)
malasta; malda|tender (adj)
malcane; valcane|torture (n)
malcasta|province (n)
malca|giving pain; hurtful (adj)
malco (malku-)|sir (n)
malcor|castle (n)
malcuvoite|lordly; noble (adj)
mald-|to crush; to pound (vb)
malda (Emotion)|best; better (adj)
maldor; qualme|agony (n)
malenca|left handed (adj)
malicon (malikond-)|amber (n)
malicondea|of amber (adj)
malin(d); malina|yellow (adj)
malle|road; street (n)
malo (malu-)|moth (n)
malo|rust (n)
malu-|to devour (vb)
malwa|yellowish (adj)
mal|best; better (adv)
manca|few (adj)
manda-; mara-; vasta-|to dwell (vb)
mande; vande|well (adv)
mandu|abyss; hell (n)
mane (mani-)|good (moral) (adj)
mange (mangi-)|grease (n)
mange|lack; shortage; want (n)
manimo|holy soul (n)
manta|eaten (adj)
mantele|gauntlet (n)
mantl|glove (n)
manwa-|to prepare (vb)
manwa|ready (adj)
manya; mingwe; telpe; úle|butter (n)
manya; vanya (adj)|good (not evil) (adj)
man|who (pron)
mapalin|plane [tree]; sycamore (n)
maptale-lehesta|(robbing) raid (n)
maptalesse|rapine (n)
maptale|forcible seizure and carrying off; rape; ravishment; robbery by violence; seizure (n)
mapta|(usually =) rape; ravishment; seizure (n)
maqua; maqualea|handy; skilled (with hands) (adj)
maquale; maquile|legerdemain; sleight (n)
mar (mard-)|coarse grain or powder; grit (n)
mar (mas-)|-land; dwelling (of men); home; the Earth (n)
mar-|to come to ripeness; to get mellow; to get ready; to get ripe; to grow up (vb)
mara- (Dwelling and Furniture)|to live (vb)
mara-; masta-|to linger; to tarry (vb)
marcirya|ark (n)
marc|moisture; ooze; ripe juice; sap (n)
mard(a)-|to grind; to pulverize (vb)
marda|world (n)
mardo|dweller (n)
maricta|wrist (n)
marilla|pearl (n)
marin(a)|mature; ripe (adj)
marinde; marinne|fruit tree (n)
marin|(ripe) fruit (of apple type) (n)
marma; tyusse|sand (n)
marqua|juicy; moist; oozy (adj)
mart-|to happen (impers.) (vb)
marta-|to chance (vb)
marto|fate; fortune; lot; luck (n)
mart|a piece of luck (n)
maru|pulp (n)
mas-|to bake; to cook (vb)
masca|dusky; misty (adj)
masce|dusk (n)
mastacorne|[bread] loaf (n)
masta|bread (n)
masto; ruella; rú; vasto|village (n)
maswa|cooked; ripe; soft (adj)
mat (matt-)|meal; meal time (n)
mat-; mata-|to eat (vb)
matl; matso; nes|food (n)
matsa|good to eat; nice (adj)
matsile|bear (n)
matsima|edible (adj)
matu|the mouth (inside) (n)
maule|crying; weeping (n)
mauya-|to cry (vb)
mavar(do); moar(do)|shepherd (n)
mavoisi|chestnut (n)
mavoite (mavoisi-)|having hands (adj)
maxa-|to cook (vb)
maxar|cook (n)
maxella|mesh (n)
maxeta-|to enmesh (vb)
maxe|net (n)
maxilistea; maxima|having possession of or authority over; powerful (adj)
me (pron)|1st pl. exclusive pronoun; we (pron)
me; men (prep)|?with; in(to); on (prep)
mea-|*our; 1st pl. exclusive possessive (pref)
mear (mearn-)|blood; gore (n)
mecilwa; tóle; tólea|central (adj)
mecta|centre (adj)
mecte-|to aim at (vb)
mecte; metl; tóle|centre (n)
mel(i)na; santa|dear (adj)
mel-|to love (vb)
meles(se) (meless-)|love (n)
melie|*love; loving (n)
melin (melind-)|beloved; dear (adj)
melitsa|beloved; favourite (adj)
melitse|darling; sweetheart (n)
mella; ven(di)|girl (n)
melmo|1st pl. exclusive pronoun; we (emphatic) (pron)
melpo|gooseberry (n)
melwa; vane|fair; lovely (adj)
men (mem-)|beak; nose (n)
mente|peak; tip (n)
menya; quenya|*our; 1st pl. exclusive possessive emphatic (adj)
meoi; yaule|cat (n)
mequa; tóle; tólea|middle (adj)
meril|flower (n)
mesta|bye (n)
met (mekt-)|aim; mark; object (n)
mi(e)-; mice-; mici-|diminutive (pref)
mice|a (little) bit; diminutive; little (adv)
mie (Physical World)|drizzle; mist (n)
mie (Spatial Relations)|bit; small piece (n)
milc(i)-|to have; to keep; to possess (vb)
mild(i)-|to pound (vb)
mildi|pease (collective-noun)
mile; ore (mili-)|seed (n)
milin|grain of seed (n)
milnar(wa)|sown field (n)
milt|semen (n)
mimbe|flesh (n)
min (mind-)|bit; piece (n)
min yucainen; minya yucainen; yucainen min|twenty one (cardinal)
min-yucainen(ya); minya yucainen(ya)|twenty first (ordinal)
minda-|to diminish; to fade; to lessen; to vanish (vb)
mindl|piece of flesh (n)
mindon|tower; turret (n)
mindorinya; mindóranya; mindóratya|millionth (ordinal)
mindoritto; mindórinto; mindórintya|one millionth (fraction)
mindóra; mindóre; sóra|million (cardinal)
minga|waning (adj)
minquellume|*eleven times (adv)
minquenya; minquetya|eleventh (ordinal)
minquest(y)a; minquesto; minquetto; minquetya|one eleventh (fraction)
minque|eleven (cardinal)
minti|memory; mindfulness; remembrance (n)
minty-|to (impers.) it reminds me = I remember; to remind (vb)
mintya|reminding; ‘memoryful’ (adj)
minu-|to alter for worse; to decrease; to make less; to spoil (vb)
minwa; pinilya; pínea|small (adj)
minya (adj)|fine; slender (adj)
minya (ordinal)|first (ordinal)
minyallume|firstly (adv)
min|one (in a series); the first (cardinal)
miqu-|to kiss (vb)
miquele|kissing (n)
mique|kiss (n)
miquilis|gentle or soft kisses (n)
miquilitse|little or tender kiss (n)
mirc; mirt (mirty-)|grin (n)
mirde; quosse|mist (n)
mire; mirin|smile (n)
miri-|to smile (vb)
mirilla|faint smile (n)
mirmila|rippling (adj)
mirmile|ripple of laughter (n)
mirtya-|to grin (vb)
mirucarne (mirukarni-)|wine-red (adj)
miruvor|drink of gods (n)
miruvóre (miruvóri-)|drink of the Valar; nectar; sweet drink (n)
mir|one (cardinal)
mirúva|like wine; winy (adj)
mis (mist-)|urine (n)
mitta (n)|bit (of indeterminate size); piece (n)
mitta (prep adv)|in; into; inwards (prep adv)
mitta-|to enter (vb)
mitya|little (in quantity) (adj)
mi|*in (prep)
moa; sauve|sheep (n)
moalin|sheepfold (n)
moica|gentle; soft (adj)
moile|tarn (n)
moina|safe; secure (adj)
mordo|hero (n)
morinda|nightly; of the night (adj)
morna; morqua|black (adj)
morquilea|of the hue of night (adj)
moru-|to conceal; to hide; to lurk (vb)
morwa|unclear (adj)
mucta-|*to empty bowels; to cacare [Latin] (vb)
mui; yaxe; yaxi|cow (n)
mul (muld-)|fine powder (n)
mul(u)-|to grind (vb)
mulda; mulina|powdery (adj)
mulmar|miller (n)
mulma|fine flour (n)
mulmin|mill (n)
munqua; muqua|filthy (adj)
munta|nothing (n)
mure (mury-)|close weather; heat (n)
murmea|slumbrous (adj)
murme|sleep; slumber (n)
murya|close; muggy (adj)
mut (mukt-)|dirt; filth (n)
mu|dual 1(a) (pron)
máca|each; every (adj)
málea|able (adj)
mále|ability (n)
málos; taure; taurie; tavar|forest (n)
mána; narca; qualin; qualna; varda|dead (adj)
máne|spirit of the air (n)
mára (adj)|excellent; good; mighty; power[ful]; useful (of things) (adj)
mára (n)|*world (n)
máwar|*shepherd (n)
máwe (máwi-)|gull; seamew (n)
mírea|smiling (adj)
mírien|mirth (n)
móle; tarca|root (n)
móre (móri-)|black; dark; darkness; night (n adj)
mórilanta|nightfall (n)
móriva|nocturnal (adj)
móro|ink (n)
múco|*manure; dung; muck; stercus [Latin] (n)
múna|?without (prep)
nac (naq-)|a theft; anything stolen (n)
naca-|to bite (vb)
nahta-|to slay cruelly (vb)
nahúa; nauva; orc; ulban|giant (n)
naica (adj)|sick; stricken ill (adj)
naica (n)|dagger (n)
naice; narwe; ongwe (naiki-)|pain (n)
naicelea|agonizing (adj)
naicele|anguish (n)
naice|would [that] (adv)
naico; noico|*sickly (adv)
naiqua|painful (adj)
naique|?sword (n)
naira|dire; grievous (adj)
naista-|to cause great grief to; to oppress (vb)
naitya-|to abuse; to damage; to hurt; to put to shame (vb)
nai|might; remoter possibility (particle)
nal; umbe|dale; dell (n)
nala-|to sing or ring (vb)
nalba; nalda|dale (aj.); lowly; valley (aj.) (adj)
nalie|playing of tunes; ringing of bells (n)
nalle|dell (n)
nan (nand-)|*land; woodland (n)
nandin|dryad (n)
nang-|to I have a cold (vb)
nanquete|speaking down the nose (n)
nanwa|being (adj)
napsa; naus; navillo (naust-)|suspicion (n)
naqua-; pili-; rauta-|to steal (vb)
naquar; pilmo; pilu|thief (n)
nar (nard-)|an odour; fragrance (n)
nara-|to quarrel; to snap (vb)
nara|strife (n)
narca|ill-tempered; snappy (adj)
narc|snap of a dog; spiteful remark (n)
narda-|to smell sweetly (vb)
nardilea|perfumed (adj)
nardile|fragrance (n)
narqua|faded; shrivelled (adj)
narquele|fading; withering (n)
narte; píqua; valca; vilcin (narti-)|bitter (adj)
narwa|fragrant (adj)
narwe|(sweet) lily (n)
nasa-|to dislike; to mislike; to taste nasty (impers.) (vb)
nasta|being; creature; existence (n)
naswa|nasty (adj)
nat; natto; neta; vil(de) (natt-)|thing (n)
natto; vil(de) (nattu-)|affair (n)
nauca|dwarf (n)
nauma|clue; hint (n)
naustavilte|to *innocent; to free from suspicion (vb)
nauta-|to guess (vb)
naute; parma|skin (n)
navillo|hint; innuendo; malicious comment; rumour; whisper (n)
naxa|sour (adj)
naya-|to it grieves (impers.) (vb)
na|for (prep)
nea|it is; yes (adv)
necca; pelma; tenca|pen (n)
nectele|honeycomb (n)
nehta; pi(pi)nectar; tarasse|hawthorn (n)
neite|wax (n)
nel(de)cainen|thirty (cardinal)
nelcaiya; nelceanya; nelceatya|thirteenth (ordinal)
nelce(a)llume|*thirteen times (adv)
nelceast(y)a; nelceasto; nelceatto; nelcesto; nelcestya|one thirteenth (fraction)
nelcea|thirteen (cardinal)
nelde tuxe|three hundred (cardinal)
nelde; ole|three (cardinal)
neldellume; nellume|*three times (adv)
neldenelqua|quadrilateral; square (n)
neldest(y)a|one third (adj)
neldesto|one third (fraction)
neldorin|beech-tree (n)
neldorion|beech wood (n)
neldor|beech (n)
neldóra|three million (cardinal)
neldóre|trillion (cardinal)
nele; nyat|tooth (n)
nelma|needle (n)
nelqua|cornered (adj)
nelt|corner (from outside) (n)
nelya|third (ordinal)
nel|thrice (adv)
nemba|thread (n)
neme-|to sew (vb)
nemya|*needle (n)
nen; ninda (nend-)|river; water (n)
nen; súma (neng-)|nostril (n)
nendo|water mead (n)
nenyuvar; nénuvar|pool of lilies (n)
nenyu|yellow water-lily (n)
