(a)larca|rapid; swift (adj)
melmë|love (n)
men-|to intend; to mean; to wish (vb)
mena-|to be making for; to be on way to (vb)
menel|firmament; sky; the heavens (n)
menestë|intention (n)
mennai|until (conj)
mentë|end; point (n)
men|spot (n)
mer-|to desire; to want; to wish (vb)
merca; verca|wild (adj)
merca|untamed (adj)
meren(de) (merend-)|feast; festival (n)
meryalë|holiday (n)
merya|festive (adj)
mestanyatsë|suffixion (n)
metta; tyelma|ending (n)
metya-|to put an end to (vb)
milca|greedy (adj)
milmë|desire; greed (n)
milya-|to long for (vb)
milya|gentle; weak (adj)
min; minë|one (cardinal)
minda|conspicuous; prominent (adj)
mindo; mindon|(isolated) tower (n)
minna; mir|into; to the inside (prep adv)
minquetyarmë|accentuation (n)
minquë|eleven (cardinal)
minta; mitta|inwards; (?into) (prep adv)
minya|first (ordinal)
miquilis|kiss (n)
miril (mirill-)|shining jewel (n)
mirilya-|to glitter (vb)
mista-|to stray about (vb)
mistë; rossë|fine rain (n)
mitsa; míwa|small (adj)
mitta-|to come in; to insert (vb)
mittandë|infixion; insertion (n)
mitya|interior (adj)
miulë|mewing; whining (n)
miuë (miuy-)|cat (n)
mi|in; within (prep)
moina|familiar (adj)
morco|bear (n)
mordo|[dark] stain; dimness; obscurity; shadow; smear (n)
morimaitë|*black-handed (adj)
morna|gloomy; sombre (adj)
morë (mori-)|black (adj)
motto|blot (n)
muilë|secrecy (n)
muina|hidden; secret (adj)
mun-|to dislike; to not like (vb)
mundo (mundu-)|cape [of land]; nose; snout (n)
má; quár(e)|hand (n)
mál|grit (n)
mára|fit; good (of things); useful (adj)
má|land; region (n)
ména|region (n)
më|us; we (pron)
mírë|jewel; precious thing; treasure (n)
míwa|frail; tiny (adj)
mí|small fly (n)
móla|enslaved (adj)
mólomë|burden; hard work (n)
mól|slave; thrall (n)
mórë (móri-)|blackness; dark; night (n)
móta-|to labour; to toil (vb)
na-súrima|aspirate (n)
nac-|to bite; to hate; to kill; to slay (vb)
naham-; tulta-|to summon (vb)
nahamna|summoned (adj)
nahta (cardinal)|eighteen (cardinal)
nahta (n)|bite (n)
nahta-|to slay (vb)
nahámë|summons (n)
nai (adv)|*may it be (adv)
nai (interj)|alas (interj)
naicelëa|painful (adj)
naicelë|*anguish (n)
naicëa; nwalca [ñ-]|cruel (adj)
naicë|sharp pain (n)
nairëa|sorrowful (adj)
nairë|lament; sorrow (n)
nalláma|echo (n)
namba-|to hammer (vb)
namárië|farewell (interj)
nan- (pref)|backwards (pref)
nan- (vb)|to go back (vb)
nanda- [ñ-]|to harp (vb)
nandaro [ñ-]|harper (n)
nanda|water-mead; watered plain (n)
nandellë [ñ-]|little harp (n)
nandelë|harping; *repetition (n)
nandë [ñ-]|harp (n)
nangwa|jaw (n)
nan|again; but; on the contrary; on the other hand (conj adv)
napanna|additional letter (n)
naraca|harsh; rending; violent of (?sounds) (adj)
narca-|to rend (vb)
narda; nútë|knot (n)
narta-; tinta-|to kindle (vb)
narwë|sign; token (n)
nassë|spike; thorn (n)
nasta-|to sting (vb)
nasta|gore; spear-head; spear-point; triangle (n)
nasto|animal; beast (n)
natsë|net; web (n)
nat|thing (n)
nauco|dwarf (n)
naulë [ñ-]|wolfhowl (n)
nauro [ñ-]|werewolf (n)
nauta|bound; obliged (adj)
nau|*under (prep)
nehtë|honeycomb (n)
nel-|tri- (pref)
neldë|three (cardinal)
nellë|brook (n)
neltil (neltild-)|triangle (n)
nem-|to appear; to seem (vb)
nemestëa|apparent (adj)
nemestë|appearance (n)
nenemma-|to keep on (re-)appearing (vb)
nengwetanwa|nasal-infixed (adj)
nengwetehta|nasal sign (n)
nengwë (nengwi-); nin (ning-)|nose (n)
nengwëa|nasal (adj)
nertë|nine (cardinal)
nessa; vinya|young (adj)
nessima|youthful (adj)
nessë; nésë [þ]; vén; vírië|youth (n)
neuma|snare (n)
neuna; nyûna|second (adj)
neuro|follower; successor (n)
ngolfinë; nolfinë [ñ-]|magical skill (n)
ni; nyë|I (pron)
nil (nild-)|blue-bell; harebell (n)
nilda|friendly; loving (towards) (adj)
nildo|friend [m.] (n)
nildë; sermë|friend (f.) (n)
nin (ning-)|beak (n)
nindari|nymph; river-maid (n)
nindë; teren; terenë|slender (adj)
ninqueri|*white (female thing or personification) (n)
ninqueru|white (male thing or personification); white male swan; white man; white ship (n)
ninquinta-|to grow pale (vb)
ninquissë|whiteness (n)
ninquita-|to make white; to shine white; to whiten (vb)
ninquitárë|whitening; whitewashing (n)
ninquë (ninqui-)|white (adj)
ninya|my (pron)
niquë|snow (n)
nirwa (adj)|scarred (adj)
nirwa (n)|bolster; cushion (n)
nirwë|scar (n)
nis (niss-); nissë|woman (n)
nis (nix-)|minnow; ‘little fish’ (n)
nixë|little fish; minnow (n)
nië; nírë|tear (n)
niëninquë|snowdrop; (lit.) white tear (n)
no; nu|under (prep)
nolwë [ñ-]; nólë [ñ-]|wisdom (n)
nolwë [ñ-]|(secret) lore (n)
norno|oak (n)
nornëa|*of oak (adj)
norta [ñ-]|horrible (adj)
norto [ñ-]|horror (n)
nossë|clan; family; ‘house’ (n)
not-|to reckon (vb)
nov-|to form idea; to imagine; ?to think (vb)
nucumna|humbled (adj)
nui|lament (n)
nulda|secret (adj)
nulla|dusky; hidden; obscure; secret (adj)
numbë|foundation; root (n)
nuquerna|inverted (adj)
nur-|to grow/be dark (vb)
nuru [ñ-]; unqualë|death (n)
nusta-|to smell [something] (vb)
nut-|to tie (vb)
nwalma [ñ-]; sút|pain (n)
nwalmë [ñ-]|torment (n)
nwalya- [ñ-]|to pain; to torment (vb)
nwara- [ñ-]|to erode; to gnaw; to wear away (vb)
nwë [ñ-]|*we (inclusive) (pron)
nyar(a)-|to recite (in sing-song voice); to relate; to talk; to tell (vb)
nyarië|talking (n)
nyarna; nyárë|saga; tale (n)
nyarro|rat (n)
nyello|singer (n)
nyellë|bell (n)
nyárula|apt to talk (adj)
nyë|me (pron)
ná(n)|but; on the contrary; on the other hand (conj adv)
ná-; ye-|to be (vb)
né; yá|ago (adv)
némë|leave; *permission (n)
nén (nen-)|water (n)
nér (ner-)|adult male; man (n)
nítë (*níti-)|dewy; moist (adj)
ní|female; woman (n)
nó (nów-)|conception; thought (n)
nóla [ñ-]|learned; wise (adj)
nóla|knoll; round head; round hilltop; summit (n)
nólöa|yesteryear (n)
nón [ñ-]|groan; growl (n)
nóna- [ñ-]|to groan (vb)
nórë|clan; country; folk; kindred; land; race; region where certain people live (n)
nótë|number (n)
nó|yester-; *after (prep)
nöa|conception (n)
númen; númë|west (n)
númenya|western (adj)
nún|down below; underneath (adv)
núra; tumba; tumna|deep (adj)
núro|servant (n)
núrë|night (n)
núta-|to set; to sink (of Sun or Moon) (vb)
o-; va-|together (pref)
ocamna; samna|diphthong (n)
ohta|war (n)
oi-|to live; to pass one’s days (vb)
oia|everlasting (adj adv)
oio (oiw-)|bird (n)
oira; íra|eternal (adj)
oirë|everlasting (?age) (n)
ol-|to become (vb)
ola-|to grow [up] (vb)
olar; olor|dream (n)
olastë|growth (n)
olinwa|adult; fully grown (adj)
ololla-|*to keep on growing (vb)
olombo|horse (n)
olos(se)|fallen snow; snow (n)
olwa|branch (n)
omentië|meeting (n)
ondo|stone (as a material) (n)
onna|creature (n)
onot-|to count up (vb)
onta-|to beget; to create (vb)
ontalë|descent (n)
ontaro|begetter; parent (n)
ontarë|begetter; parent (f.) (n)
onónë|kinswoman; sister (n)
onóro|brother; kinsman (n)
opelë|town; walled house or village (n)
opto|back (n)
orc; orco (orcu-)|goblin (n)
orhal-|to exalt (vb)
ormë|haste; rushing; violence; wrath (n)
orna|hasty (adj)
ornë|(high isolated) tree (n)
oron (oront-)|mountain (n)
ororia-|to keep on rising (and falling) (vb)
orro-|to rise (from ground) (vb)
orro|on high; up in the air (adv)
orta-|to lift; to raise; to rise (vb)
ortalima|able to be raised (adj)
ortarë|lifting up (n)
orto|mountain-top (n)
orya-|to rise (vb)
osellë [þ]|[sworn] sister; associate [f.] (n)
ossë|terror (n)
ostirion; osto|fort (n)
osto|city; town with wall round (n)
otornassë|brotherhood (n)
otorno|associate [m.]; sworn brother (n)
otso|seven (cardinal)
ovesta|compact; contract; treaty (n)
o|*from (prep)
palantir|far-seer (n)
palan|distant; far; over a wide space; to a distance; to a great extent; wide (adj adv)
palar|flat field; ‘wang’ (n)
palca-|to beat flat (vb)
palla|expansive (adj)
palmë; palúrë|surface (n)
palpa-|to applaud (with palms); to batter; to beat; *to clap (vb)
palu-; palya-|to expand; to extend; to open wide; to spread (vb)
palúrë|(Old English) folde; bosom; bosom of Earth (n)
pamba|ball (n)
panda|enclosure (n)
pano|piece of shaped wood (n)
panta-|to open; to spread out; to unfurl (vb)
panta|open (adj)
panya-|to fix; to set (vb)
parca|dry; thirsty (adj)
parmaina|literary; of books (adj)
parmatéma|p-series (n)
parma|book (n)
pasta [þ]|smooth (adj)
pa|about (prep)
pel-|to go round; to return; to revolve (vb)
pelco|leg (n)
peler|fenced field (n)
peltas (peltax-)|pivot (n)
penda|inclined; sloping down (adj)
pendë|declivity; downslope; slope (n)
per-|half; semi (pref)
perya-|to divide in middle; to halve (vb)
perómanda|semivocalic; *semi-vowel (adj n)
pilen; quessë|feather (n)
pilin (pilind-)|arrow (n)
pirya|juice; syrup (n)
pis- [þ]; piuta-|to spit (vb)
pitë; sáva|juice (n)
poica|clean; pure (adj)
poinessë|?cleanliness (n)
polda|burly; strong (adj)
poldorë|*physical strength (n)
poldórëa|strong; strong-bodied (adj)
polë (poli-); porë (pori-)|flour; meal (n)
psar-|to fret; to rub (vb)
psára|peel (n)
punta|stopped consonant (n)
pupso|blow fly (n)
pusta-|to cease; to put a stop to; to stop (vb)
pusta|in punctuation full stop; stop (n)
putta|stop (in punctuation) (n)
qualin; vanwa|dead (adj)
qualmë|(death) agony; (process of) death (n)
quanta-tencelë|full writing (n)
quanta|full (adj)
quantiën|century; (lit.) full year (n)
quel-|†to fail (vb)
quelesta|dying; fading (n)
quelet (quelett-)|corpse (n)
quelië|*fading (n)
quellë|Autumn (n)
quenso; quentaro|minstrel (n)
quentalë|account (n)
quentaro|narrator; reciter (n)
quenta|account; story; tale (n)
quequetta-|to keep on saying; to repeat (vb)
quesset (*quessec-)|pillow (n)
quessetéma|q-series (n)
questa|speech (n)
quet-|to say (vb)
quetil|talk (n)
quettima|utterable (adj)
quilir|quiet (n)
quingatelco|*bow-legged (adj)
quinga|bow (for shooting) (n)
quáqui|all (adv)
quár(e)|fist (n)
quénë|petrel (n)
quë|if (conj)
raccalepta|*claw-fingered (adj)
racca|*claw (n)
raf-|to seize; to snatch (vb)
raica|bent; wrong (adj)
raiqua|angry (adj)
ramba; ran (ramb-)|beam of wood (n)
ramba|wall (n)
ranco (rancu-)|arm (n)
randa|age (100 Valian Years); cycle (n)
rangwë|fathom (n)
ranta; tië|course (n)
ranya-|to stray; to *wander (vb)
rasco; romba; tildë|horn (n)
rassë|horn [of both animals and mountains] (n)
rauco|demon (n)
rauta; tinco|metal (n)
ravanda|wilderness (n)
rempa|hooked (adj)
rer-|to sow (vb)
resta|acre; sown field; ‘sown’ (n)
rihta-|to give quick twist or move; to jerk; to twitch (vb)
rillë|brilliance (n)
rilma|glittering light (n)
rilya|glittering (adj)
rimba|frequent; numerous (adj)
rimbë|crowd; host (n)
rimpa|flying; rushing (adj)
rinca|jerk; sudden move; trick; twitch (n)
rincë (rinci-)|flourish; hook; quick stroke (n)
rinda|circular (adj)
rindë|circle (n)
ringwë|cold pool or lake (in mountains) (n)
ringë (ringi-)|cold (n)
rip-|to hurl (vb)
rista-|to cut (vb)
rista|cut (n)
rocco|(swift) horse (n)
rohta-|?to run on foot (vb)
roimë|hunt (n)
roina|ruddy (adj)
roita-|to pursue (vb)
romba|trumpet (n)
rondo|cavern; roof (n)
ronyo|hound of chase; ‘chaser’; *hunting dog (n)
rossë|dew (n)
rotto|tunnel (n)
ruc-|to pluck (vb)
runda|rough piece of wood (n)
runya|footprint; slot (n)
russë|corruscation; †sword-blade (n)
rá (ráv-); ráva; rú|lion (n)
rámalócë|winged dragon (n)
ráma|wing (n)
ránen|errant (adj)
ránë|straying; wandering (n)
ráva (adj)|untamed; wild (adj)
ráva (n)|bank (especially of a river) (n)
réna|border; edge; margin (n)
ríma|border; edge; hem (n)
rína|crowned (adj)
rí|grass-stem (n)
ríë|crown (n)
róma|loud sound; trumpet-sound (n)
rómenya|eastern (adj)
rómen|east (n)
róminya|*eastern (adj)
róna|east (adj)
sa-rincë (sa-rinci-)|hooked stroke in tengwa; s-hook (n)
sac-|to hurt (vb)
saira|wise (adj)
sairon|wizard (n)
salpa-|to lick up; to sip; to sup (vb)
salquë|grass (n)
sambë [þ]|chamber; room (n)
samna [þ]|wooden post (n)
samno [þ]|builder; carpenter; wright (n)
sampanë|combination (n)
sana|that (adj)
sanca [þ]|cleft; split (adj)
sanda [þ]|abiding; firm; true (adj)
sanga [þ]|crowd; crowded; pack; packed; press; throng (n adj)
sanga- [þ]|*to press (vb)
sanguma [þ]|press; *thing that presses (n)
sangwa|poison (n)
sanya [þ]|law-abiding; normal; regular (adj)
sanyë [þ]|law; rule (n)
san|*then (conj adv)
sapsarra-|to fray away; to keep on rubbing (vb)
sar (sard-)|stone (small) (n)
sara [þ]|bent; stiff dry grass (n)
sarna|of stone (adj)
sarnë|stony place (n)
sat (sap-); uphto|pit (n)
saura [þ]|evil-smelling; foul; putrid (adj)
sauricumba [þ]|*foul-bellied (adj)
selda|child [n.] (n adj)
seldë|child [f.] (n)
seler (sell-) [þ]|sister (n)
senda|at peace; resting (adj)
sen|them (pron)
ser-|to at the moment; to be for a while; to repose; to rest; to stay; to stop; to tarry (vb)
seru-|to come to rest on; to settle on; to sit or lie down (vb)
sicil|dagger; knife (n)
sil-|to shine (vb)
silma|shining white; silver (adj)
silmë|light of Silpion; moonlight; †silver (n)
sin; sí|now (adv)
sinan|at present (adv)
sinar|this morning; today (n)
sinomë; símanë; símen|here (adv)
sinta [þ]|short (adj)
sinta- [þ]|to fade; to *(lit.) become grey (vb)
sinya; vinya|new (adj)
sinyë [þ]; vinyë|evening (n)
sir-; ulya-|to flow (vb)
sirya-|to flow [smoothly] (vb)
sirëa|flowing; liquid (adj)
sisilla-|to glitter (white) (vb)
siulë|incitement (n)
solor|surf (n)
sonda|fond (adj)
sorasta|equipment (n)
sornë [þ]; soron (sorn-) [þ]|eagle (n)
suc-|to drink (vb)
suhto|draught (n)
sulca|root (especially as edible) (n)
sulpa-|to drink greedily; to lap up (vb)
sumba-|to submerge (vb)
sundo [þ]|base; root; root-word (n)
sundóma [þ]|determinant vowel; vocalic determinant (n)
sungwa|drinking-vessel (n)
surya|spirant consonant (n)
suv-|to sink (esp. in water) (vb)
sára|bitter (adj)
sáro [þ]|saviour (n)
sérë|peace; repose; rest (n)
sírë (síri-)|river (n)
súlo (*súlu-)|goblet (n)
súlë [þ]|breath; spirit (n)
sút|(esp.) death-throe (n)
súya- [þ]|to breathe (vb)
ta; thë; të|it (pron)
tac-|to fasten (vb)
tailë|extension; lengthening (n)
taima|extension (n)
taina|extended; lengthened; prolonged (adj)
taita-|to prolong (vb)
talan (talam-)|floor; ground (n)
talat|sheet (n)
tallunë|sole of foot (n)
talma|base; foundation; root (n)
talta (adj)|leaning; sloping; tilted (adj)
talta (n)|incline (n)
talta-|to slide down; to slip (down); to slope (vb)
taltë|at the bottom; down (adv)
tal|downwards (adv)
tam-; ton-|to tap (vb)
tamba-|to keep on knocking; to knock (vb)
tambaro|woodpecker; (lit.) knocker (n)
tambë (tambi-)|pot (n)
tampa|stopper (n)
tana|that (anaphoric) (pron)
tancal(a)|brooch; clasp; fastener (n)
tancata-|to confirm; to make fixed or firm (vb)
tanca|firm; fixed; sure (adj)
tancil|brooch; clasp; fastener; pin (n)
tanga-; tinga-|to twang (vb)
tango; tingë|twang (n)
tangwa|clasp; hasp (n)
tanna; tar|thither (adv)
tano|craftsman; smith (n)
tanwë|construction; device; thing made (n)
tap-|to block; to stop (vb)
tar-|high; king or queen (in compounds) (affix)
taras (tarass-)|mount (n)
tarca|horn [of animals] (n)
tarci-|to trouble (vb)
tarya|stiff; tough (adj)
tar|beyond (adv)
tasar(e) [þ]|willow-tree (n)
tassë; yassë|there (adv)
tatalla-|to admire; to marvel; to wonder at (the excellence of) (vb)
tatya-|to double; to repeat (vb)
taura|mighty (adj)
taurina|of wood (adj)
taurë|forest; great wood (n)
tavaril|dryad; spirit of woods (f.) (n)
tavaron|dryad; spirit of woods (m.) (n)
tavar|wood (material) (n)
taxë|nail (n)
tec-|to write (vb)
tecco|accent [´]; stroke (of pen or brush) (n)
tecil|pen (n)
tehta|diacritic; mark (in writing); sign (n)
tel-|to intend (vb)
telco|leg; stem (n)
telemna|*of silver (adj)
telepsa; telpina|of silver (adj)
tella|hindmost; last (adj)
tellë|rear (n)
telmë|covering; hood (n)
telpë; tyelpë|silver (n)
telta-|to canopy; to overshadow; to screen (vb)
telumet (telumett-)|canopy (n)
telumë|dome (of heaven); vault (n)
tencelë|spelling; writing (system) (n)
tengwanda|alphabet (n)
tengwa|grammar; letter; writing (n)
tengwesta|collection of writing; grammar (n)
tengwë|writing (n)
tenna (n)|a letter (n)
tenna (prep)|until (prep)
ten|for (conj)
ter; terë|through (prep)
tereva|acute; fine (adj)
terhat-|to break apart (vb)
terra|fine pierced hole (n)
tet(ta)|baby (n)
thar-; tol-|to stand (vb)
tildë|spike (n)
tin-|to glint (vb)
tincotéma|t-series (n)
tinda|glinting (silver) (adj)
tindë|glint (n)
tindómë|(starry) twilight; starlit dusk (n)
tingahondo|flint-hearted (adj)
tinga|*flint (n)
tingilindë; tingilya|twinkling star (n)
tinta-|to make to spark (vb)
tintina-|to sparkle (vb)
tinwë|spark (star) (n)
tir-|to watch (vb)
tirion|tower; watch-tower (n)
tiristë|guard; *watch (n)
tis; titsë (tits-)|kitten (n)
tithilla-|to twinkle (vb)
titta|little; tiny (adj)
tiuca|fat; thick (adj)
tiuya-|to grow fat; to swell (vb)
tixë|dot; point; tiny mark (n)
tië|direction; line; path; way (n)
tol (toll-)|island (n)
tolto|eight (cardinal)
tolu-|to get up; to leave one’s seat; to stand up (vb)
ton-|to knock (vb)
top-|to cover (vb)
tormen|north (n)
toron (torn-)|brother (n)
to|in (prep)
tsettë|fly (n)
tuc-|to draw; to *pull (toward) (vb)
tuia-|to spring; to sprout (vb)
tuilindo|swallow; (lit.) spring-singer (n)
tuilu-|to bud; to open (of flowers and leaves) (vb)
tuilë|spring-time (n)
tuima|bud; sprout (n)
tul-|to come (vb)
tulca|firm; immovable; steadfast; strong (adj)
tulco (*tulcu-)|prop; support (n)
tulma|event (n)
tulta-|to fetch; to send for; to send hither; (lit.) to cause to come (vb)
tulumaitë|likely to come; probable (of future events) (adj)
tulurya; évëa|future (adj)
tulurya|coming (adj)
tulustë|arrival (n)
tumba-|to cast down (into a pit[?]) (vb)
tumba; tumna|lowlying (adj)
tumbo (tumbu-)|deep valley (under or among hills, with high sides) (n)
tumna|low (adj)
tumpo|hump; lump (n)
tundo (tundu-); unquë|hole (n)
tundo (tundu-)|mound (n)
tunga|resonant (of strings); taut; tight (adj)
tunt (tump-)|lump (n)
tuo|muscle; physical strength; sinew; vigour (n)
tupsë|thatch (n)
tur-|to control; to govern; to wield (vb)
turma; umbas [þ]|shield (n)
turo|master; victor (n)
turut (turuc-)|tree-stem (n)
turya-|to strengthen (vb)
turyandë|fortification; strengthening (n)
turyanwa|fortified (adj)
tussa|bush (n)
tutulla-|to keep on coming (and going) (vb)
tyal-|to play (vb)
tyalangan (*tyalangand-)|harp-player (n)
tyalië|game; play; sport (n)
tyar-|to cause (vb)
tyatyamba-|*to keep on tasting (vb)
tyav-|to taste (vb)
tyaz-|to like (vb)
tyel (tyeld-)|end (n)
tyel-|to cease; to end (vb)
tyelca|agile; swift (adj)
tyelima|final (adj)
tyulma|mast (n)
tyulussë|poplar-tree (n)
tyë|thee (pron)
tál (tal-)|bottom; foot (n)
tára|high; lofty (adj)
tári|queen (n)
tárë|*that day (adv)
téma|line; row; series (n)
téna; téra|right; straight (adj)
té|path (n)
tëa|road; straight line (n)
të|him (pron)
tópa-|to roof (vb)
tópa|roof (n)
tó|wool (n)
töa|of wool; woollen (adj)
túlima|*able to come (adj)
túrë|mastery; victory (n)
ufárëa|not enough (adj)
uilë|long trailing plant (n)
ullumë|forever (adv)
ululla-|to keep on pouring (vb)
ulundo|deformed and hideous creature; monster (n)
ulundë|flood (n)
ulya-|to pour (vb)
um-|to not do (vb)
uman|at one time (adv)
umbar (umbart-)|doom; fate (n)
umpano|build[ing] (n)
un-/um-|intensive prefix with evil sense (pref)
unca-|to hollow out (vb)
undo|down; low down (adv)
undu|beneath; down; under (prep adv)
ungo|cloud; dark shadow (n)
ungwalë|torture (n)
ungwë|gloom (n)
unqualë|agony; death agony (n)
unqua|hollow (adj)
unquë|cavity; hollow (n)
unta-|to come down; to descend (vb)
unutixë|dot or point placed below the line of writing (n)
uruitë; úruva|fiery (adj)
urulócë|fire-dragon (n)
urya-|to blaze (vb)
usquë|dusk; reek; twilight (n)
uvana|wicked (adj)
vahai(y)a; vaháya|far away (adv)
vahta-|to soil; to stain (vb)
vai(y)a|envelope (n)
vainar; vëaner (vëanér-)|sailor (n)
vaita-|to enfold (vb)
vaiwa|wind (n)
valaina|divine; of or belonging to the Valar (adj)
valassë|divinity (n)
valya|having (divine) authority or power (adj)
vanima; vanya|fair (adj)
vanta-|to walk (vb)
vanta|walk (n)
vanwa|departed; gone (for good); lost; over; past; vanished (adj)
vanwië|past time; the past (n)
vanya-|to depart; to disappear; to go (vb)
vanya|beautiful (adj)
var-|to err (vb)
varilë|protection (n)
varnassë|security (n)
varna|protected; safe; secure (adj)
varnë (varni-)|brown; dark brown; swart (adj)
varya-|to protect (vb)
vaxë|stain (n)
va|away (prep)
vendë|maid; maiden (n)
venessë|virginity (n)
venno; veru|husband (n)
venya|fresh; yellow-green (adj)
verië|boldness (n)
veru|husband and wife; married pair (collective-noun)
verya-|to dare (vb)
verya|bold (adj)
vessë|wife (n)
vesta (Mankind)|matrimony (n)
vesta (Possession and Trade)|contract (n)
vesta- (Law and Judgment)|to contract; to make a compact; to swear (to do something) (vb)
vesta- (Mankind)|to wed (vb)
vestalë (Law and Judgment)|oath (n)
vestalë (Mankind)|wedding (n)
vil-|to fly (vb)
vilma|inner or lower air (n)
vilwarin (wilwarind-)|butterfly (n)
vilwa|lower air (n)
vinda-|to fade (vb)
vindë; vinya; ilin (*ilind-)|pale blue (adj)
vingil (wingild-)|foam-maid; mermaid; nymph (n)
vingi|foam-maid; mermaid (n)
vingë|crest; crest of wave (n)
virya|fresh (adj)
vista|air as substance (n)
vië; vëassë|vigour (n)
vië|manhood (n)
vor(o)-|continual repetition (pref)
vorongandelë|continual repetition; (lit.) harping on one tune (n)
voronwa|enduring; long-lasting (adj)
voronwië|endurance; lasting quality (n)
vorosanya [þ]|*ever-law-abiding (adj)
voro|continually (adv)
ván|goose (n)
vára|dirty; soiled (adj)
vé; vëo|man (n)
vén|freshness; greenness (n)
vénë|girl (n)
vérë|compact; oath; troth (n)
vëaner|(adult) man (n)
vëa|adult; manly; vigorous (adj)
vë|with (prep)
vórima|continuous; enduring; repeated (adj)
vórëa|continuant; continuous; enduring; lasting (adj n)
vórë|lasting (n)
xara-|to long for; to yearn (vb)
yaiwë|mocking; scorn (n)
yallumë|at last (adv)
yalúmëa; yárëa|olden (adj)
yalúmë|former times (n)
yana|that (the former) (pron)
yanga-|to yawn (vb)
yanta|bridge; yoke (n)
yanwë|bridge; isthmus; joining (n)
yassë|once upon a time (adv)
yat (yac-)|goat (n)
yat (yaht-)|neck (n)
yatta|isthmus; narrow neck (n)
ya|relative pronoun (pron)
yelca|sword? (n)
yelda|dear as friend; friendly (adj)
yeldë; yen(de)|daughter (n)
yello|call; cry of triumph (n)
yelmë|loathing (n)
yelta-|to abhor; to loathe (vb)
yelwa|loathsome (adj)
yenya|last year (n)
yerna|old; worn (adj)
yerya-|to get old; to wear (out) (vb)
yesta-|to desire (vb)
yestë|being; existence (n)
yo; yu|and (conj)
yondo|son (n)
yualë; yúcalë|twilight (n)
yul-|to smoulder (vb)
yulma|brand (n)
yulmë|smouldering heat; red (?heat) (n)
yurasta|twenty four (cardinal)
yána|fane; holy place; sanctuary (n)
yár (yar-); yór|blood (n)
yára|ancient; belonging to or descending from former times; old (adj)
yárë|former days (n)
yávë|fruit (n)
yáwë|cleft; gully; ravine (n)
yá|formerly (adv)
yérë|*sexual desire (n)
yé|*lo! (interj)
yë|at (prep)
yú-|both (pref)
yúla|ember; smouldering wood (n)
yúyo|both (adj)
yú|too (adv)
Ëarenya|Sea-day; *Thursday (n)
Ëa|all that is; the World (n)
Úrimë|August; *Hot-one (n)
á (interj)|Oh! (interj)
á (particle)|imperative particle (particle)
áratencelë|writing of A; (lit.) daywriting (n)
ára|dawn; day (n)
élë|beam; star-ray; flashing of [?starry] light (n)
érë|existence; existing (n)
é|indeed (interj)
ëa-|to be; to be found extant in the real world; to exist; to have being (vb)
ëaruilë|seaweed (n)
ëar|(open) sea; water (n)
ëarë|(open) sea (n)
ëastë|being; essence (n)
ë|he; it; she (pron)
íquallumë|when; whenever (adv)
írima|desirable; lovely (adj)
írë (conj)|when (conj)
írë (n, Emotion)|desire; longing (n)
írë (n, Time)|eternal; eternity? (n)
ólamaitë|consonantal (adj)
ólama|consonant (n)
ómaitë|voiced [stop] (n)
óman (omand-)|vowel (n)
ómanda|vocalic (adj)
ómatailë|vowel-lengthening (n)
ómataima|vocalic extension (n)
óma|voice (n)
ómëa|voiced (adj)
órë|rising (n)
ú-|in-; not; un- (pref)
úlëa|flooding; flowing; pouring (adj)
úmahta(le)|nuisance (n)
úmëa|evil (adj)
úra|large (adj)
úr|fire; heat (n)
úvanimo|monster (n)
úvië|considering a matter (with a view to decision) (n)
úvëa|abundant; in very great number; very large (adj)
úvë|abundance; great quantity (n)
