(a)moth; both|fen; marsh (n)
naer|dreadful; unendurable (adj)
naeth|woe (n)
naith|angle; gore; narrow prominitory; spearhead; wedge (n)
nalla-|to cry (vb)
nalla; nallan; nallar; nalloth|call (n)
nan(d); tum|vale; valley (n)
nan; o|of (prep)
narch|bitter-biting (adj)
narthan|beacon (n)
natha-|to bring help to; to rescue; to save (vb)
naug|dwarf(ed); stunted (n)
naur; ûr|fire (n)
na|at; to; towards (prep)
neder|nine (cardinal)
nedia-; nod-|to count (vb)
nedrui; nerthui|ninth (ordinal)
ned|first (n)
nef|hither; on this (the speaker’s) side of (prep)
negen|angular (adj)
neitha-|to deprive; to wrong (vb)
neithan|exile whose rights and goods have been confiscated; one deprived (n)
nelchaenen|*thirtieth (ordinal)
neldor|beech (n)
neledh; nêl|three (cardinal)
nelui|third (ordinal)
nen|(lesser) river; lake; water (n)
netheg; nethig|girl (diminutive) (n)
nethel; nethig|sister (n)
neth|(little) girl; sister (diminutive) (n)
niben|petty (adj)
nidh-|to intend; to mean to; to will (vb)
nimp|pale; pallid (adj)
ninglor|golden water-flower (n)
ninniach|rainbow (n)
nin|me (pron)
niphredil|white flower (similar to a snowdrop); *(lit.) pale point (n)
niphred|pallor (n)
nirnaeth|tears (n)
nivol; nîf|a seeming; phantom (n)
nobad|thumb and index finger as a pair; *(lit.) pickers (n)
nor-|to run (of men and animals using legs) (vb)
nordh|oak (n)
norn|dwarf; hard (adj n)
northa-|to make run (vb)
north|charge or gallop; race (of people running); riding (n)
nos(s)|clan; family; house; kindred; race; tribe (n)
nost|family; house (n)
nothlir|family; folk (n)
nuitha-|to not allow to continue; to prevent from coming to completion; to stop short; to stunt (vb)
nu|under (prep)
nídha-|to be determined to (vb)
nín|my (pron)
nîdh (Food and Drink)|juice (n)
nîdh (Mind and Thought)|exertion of will; full vigorous purpose (n)
nîn (adj)|wet; *watery (adj)
nîn (n)|tear (n)
ochui; odothui; othui|seventh (ordinal)
odo; odog|seven (cardinal)
oer|nasty (adj)
oew|an evil deed (n)
ogol|bad; evil; gloom(y); wrong (adj)
ogron|wicked or evil person (n)
oneth|*giving (n)
onna-|to give birth to; *to birth (vb)
onnen|born (adj)
or-|-day (pref)
orchal; raud|tall (adj)
orch|Orc (n)
orn|(tall straight) tree (n)
orodben|mountaineer; one living in the mountains (n)
orod|mountain (n)
oroth|anger; rage (n)
ortha-|to raise (vb)
orthad|*raising (n)
ost|citadel; enclosure; fort; fortified town; fortress; stronghold (n)
os|*about (prep)
oth-|[wrong] with a bad sense; bad; improper; unsuitable; useless; wrong (pref)
othgar(ed)|doing wrong; *wrong doing (n)
othgarn|misdeed (n)
othrond|underground stronghold (n)
o|from (prep)
pad-|to step; to walk (vb)
padra-|to walk (vb)
paeth|speech (n)
palan-díriel; palan-tîriel|far-gazer (n)
palan|abroad; afar; far and wide (adv)
pant|full (adj)
paran|bare; shaven; smooth (adj)
parch|naked (of persons) (adj)
parth|enclosed grassland; field; garden; lawn; sward (n)
paur|closed hand (n)
ped-|to say; to speak (vb)
pedh-|to fall in steep slant; to incline; to slope (vb)
pedui|able to be spoken; pronouncable; *utterable (adj)
pedweg|saying a lot; talkative (adj)
pel-|to wane; *to fade (vb)
peleth|waning (n)
pen (prep pref)|-less; lacking; without (prep pref)
pen (pron)|anybody; one; somebody (pron)
pen-|to have not (vb)
penbed|not pronouncable (adj)
pend|hill side; slope; sloping (down); steep incline; steeply inclined (n adj)
pengolodh|doctor (of lore); teacher of lore; teaching sage (n)
penna-|to come down (in a slant) (vb)
pennod|without count (adj)
pennoediad|innumerable (adj)
per-|half (pref)
pethron|reciter; speaker (n)
peth|word (n)
pind|crest; ridge (n)
pirin|flower that opened and shut quickly with any change of light (n)
plada-|to feel with the hand; to stroke (vb)
plad|flat of the hand; palm (n)
pâd|a step; track (n)
pêl|*fenced field (n)
pîn|little (adj)
rach|wain (n)
raeda-|to catch in a net (vb)
raef; raew|net (n)
raen (Emotion)|gracious; smiling; sweet-faced (adj)
raen (Motion and Transportation)|enlaced; netted (adj)
rain|erratic wandering (n)
raitha-; reitha-; ritha-|to strive (vb)
rammas|great wall (n)
ram|wall (n)
randir|pilgrim; wanderer; wandering man (n)
rant|course; lode; water-channel (n)
raph|strap; ?rope (n)
ras(s); rom|horn (n)
ras(t)|cape; shore (n)
rasg|wain; *wagon (n)
rath|street (n)
raud (adj)|eminent; excellent; high; lofty (adj)
raud (n)|metal (n)
ravaed|skillful (adj)
raw|wing (n)
remmen|(en)tangled; meshed; netted; woven (adj)
rem|mesh; net (for catching) (n)
rest|*cut (n)
reth-|to remain in same place (vb)
reth|*climber (n)
rhach|curse (n)
rhaed; rhîd|(special) fashion; peculiar hue (n)
rhae|easy (adj)
rhanc|awkward; hard (adj)
rhaw (adj n)|wild; wild beast (adj n)
rhaw (n)|body; flesh (n)
rhond|body (n)
rhosc|russet (adj)
rhovan|large beast; wild beast; wilderness (n)
rhu-|evil- (pref)
rhudol|coming with evil omen or intent; unwelcome (adj n)
rhugarol|doing evil; wicked (adj)
rhugar|evil deed (n)
rhîw|winter (n)
rhúnen|eastern (adj)
rhû (n adj)|evil; wicked (n adj)
rhû (n)|matter (n)
rhûn; rûn|east (n)
rim|great number; host (n)
ring|chill; cold (adj)
riss|cloven; separate (n)
ro-|*superlative (pref)
rochben; rochon|rider (n)
rochir|horse-lord (n)
roch|horse (n)
rodel|high lady (n)
rom|trumpet (n)
rond|(vaulted or arched) roof; heavens [as a roof of the world]; vaulted chamber or cavern (n)
ron|smoothed by polishing (adj)
ross (adj)|copper-coloured; red-haired (adj)
ross (n)|foam; rain; spindrift; spray (n)
rost|rainy (adj)
rovaed|[most] skillful (adj)
roval|winged (adj n)
ruin|fiery red; red flame (n adj)
ruist|fireplace; hearth (n)
rusc|fox (n)
rustui|copper (adj)
rust|copper (n)
ruthra-|to rage (vb)
râd|pass (n)
rían|queen (n)
rîdh|sown field (n)
rîf|bark (n)
rîn|remembrance (n)
rî|garland; wreath (n)
rûdh|bald (n)
rûth|anger; wrath (n)
sabar|delving (n)
sadar; sadron|loyal companion; trusty follower (n)
sador|loyal; steadfast; trusty (adj)
sad|place; spot (n)
sael|wise (adj)
said|excluded; not common; private; separate (adj)
sam|chamber (n)
sant|field; garden; yard (n)
san|that (pron)
sarch|grave (n)
sarn|(small) stone; gem; pebble; stony (place) (n adj)
saur|bad (of food); putrid (adj)
sav-|to have (vb)
saw|filth; putrescence (n)
seidia-|to appropriate to a special purpose or owner; to set aside (vb)
sell|*daughter (n)
sen; then|this (pron)
send|?rest (n)
sennas|guesthouse (n)
sennui|instead; ?rather (adv)
seregon|plant with red flowers; stonecrop; (lit.) blood of stone (n)
serni|pebble bank; shingle (n)
seron|lover (n)
sigil|necklace (n)
silef|crystal (white) (n adj)
silevren|like silef (crystal) (adj)
silivren|(white) glittering; crystalline (adj)
singil|mirror (n)
sirith|flowing (n)
suila-; suilanna-|to greet (vb)
suilad|greeting (n)
suilanna-|to *give greeting (vb)
sui|*as (prep)
sâdh|sward; turf (n)
sír|this day; *today (n)
sí|here; in this place (of speaker) (adv)
sîr|river; stream (n)
tachol|brooch; clasp; pin (n)
tad-dal|two-legged (adj)
taeg|boundary line; limit (n)
taer|lofty (adj)
tag-|to fix (vb)
tagol|mark; post (n)
taid|second in command; supporting (adj)
taith|mark; sign; symbol (n)
talan|flat space; flet [Middle English = ‘floor’]; platform (n)
talath|flat lands; plain; vale (n)
talf|flat field; topographical flat area; wang (n)
talraph|stirrup (n)
tarch|rough (or tough); stiff (adj)
tarlang|proud; stiff neck (a nickname applied to men of haughty carriage or mood); the stiff/tough passage; (lit.) stiff-necked (adj n)
tathar|willow (tree) (n)
tathren|of willow(s) (adj)
taug|firm; strong; (?withstand) (adj)
taur; tawar|forest (n)
tauron|forester (n)
tavn|thing made by handicraft (n)
taw (adv)|thither (adv)
taw (n)|wood as material (n)
tawar|woodland (n)
tawen|wood (of material); ?wooden (of make) (adj)
tegil|pen (n)
teitha-|to draw; to inscribe; to make marks or signs; to write (vb)
ten|passive voice marker (pron)
tewch|(?chip) (n)
thalion|dauntless; strong (adj n)
thanc|forked (adj n)
thand|shield (n)
thangail|shield-fence; shield-wall (n)
thang|oppression; pressure (n)
tharan|vigorous (adj)
thar|across; athwart; over (prep pref)
thaur|abominable (adj)
thel-|to intend; to mean; to purpose; to resolve; to will (vb)
theria-|to be vigorous; to flourish (vb)
tho-|to *will be (vb)
thond|root (n)
thorn; thoron|eagle (n)
thorn|steadfast (adj)
thoss|fear (n)
thos|puff (of air) (n)
thurin; torn|secret (adj)
thîr|face (n)
thôl|helm (n)
thôn|pine-tree (n)
thû (Emotion)|movement of spirit (n)
thû (Sense Perception)|black mist; horrible darkness (n)
till|(sharp) horn; ending; point; spike; tine (n)
tin; tîn|spark; sparkle; twinkle of stars (n)
tinnu; uial|*twilight (n)
tir-|to guard; to look (towards); to watch (over) (vb)
tiria-|to gaze; to guard; to ward; to watch (vb)
tirith|guard; guarding; ward; watch; watching (n)
tirnen|guarded (adj)
ti|*they (pron)
tol(l)|(high steep-sided) isle; island (n)
tol-|to come (vb)
tolch; toleg|*sticker-up (n)
tolhui; tollui; tolothen; tolthui|eighth (ordinal)
tolod; tolodh|eight (cardinal)
torech|(secret) hole; excavation; lair (n)
torn|burial mound (n)
tor|the Dead (n)
trannail|[of the] shire (adj)
trann|shire (n)
trunc|great stake (n)
tâd|two (cardinal)
tâl|[lower] end; foot (n)
tân|artificer; builder; smith; wright (n)
têw; tîw|letter (n)
tíra-|to see (vb)
tîn (adj)|quiet; silent (adj)
tîn (pron)|his (pron)
tôn|*tap (n)
ui-|twi- (pref)
uial|evendim (n)
uilos|white flower like a star (n)
uimallen|ever-golden (adj)
uir|*fiery (adj)
ui|ever (adv)
ungol|spider (n)
urug|bogey (n)
ylf|drinking-vessel; *cup (n)
Úrui|August; *Hot-one (n)
ídhra-|to long for (vb)
íd|extremely; very (adv)
ínias|annals (n)
írui|desirable; lovely (adj)
î(r)|impersonal plural pronoun (pron)
îdh|peace; repose; rest; tranquility (n)
îf|cliff; sheer descent (n)
în (n)|year (n)
în (pron)|his; *reflexive possessive = his own (pron)
ú-|impossible; negative; no; not (pref)
úbedui|not fit to say; unspeakable (adj)
úgarol|idling; not now doing or making (adj)
úgarth|trespass; *(lit.) misdeed (n)
úlan(n)|narrow; (lit.) not broad (adj)
únodui|countless (adj)
úthaes|inducement to do wrong; *temptation (n)
úvelui|not amiable; unloveable (adj)
û|no; not (adv interj)
