(1) -(r)on; (2) -or|agental suffix (suf)
curunír|wizard, [N.] man of craft (n)
curu|skill (of the hand), craft, magic; [N.] cunning (n)
cáfru|?flea (n)
círdan|shipbuilder, shipwright (n)
cí|may, might, maybe, perhaps, if (conj adv)
cîn|your (sg. fam.) (pron)
cîr|fresh, new (adj)
cîw|fresh, new, ⚠️renewed (adj)
côf|bay (n)
cúron|crescent moon (n)
cútha-|to deceive, lie (vb)
cûd|foe (n)
cûl|load (n)
cûr|cheese (n)
cû|bow; [N.] arch, crescent; ⚠️[G.] waxing or waning moon (n)
cýra-|to renew (vb)
cýron|new-moon (n)
cŷl|*renewal (n)
cŷr|renewed (adj)
dadhra-|to face, oppose, stand in way; to resist, thwart (vb)
dadhren-|to forget (vb)
dadhren|opposing, facing, opposite (adj)
dae (adv)|very (adv)
dae (n)|shadow (cast by an object or form), [N.] shade (n)
dae-|dreadful, abominable, detestable (pref)
daebeth|blasphemy (n)
daedelos|horrible fear (n)
daer (adj, Emotion)|dreadful, abominable, detestable (adj)
daer (adj, Spatial Relations)|great, large (adj)
daer (n)|bridegroom (n)
daetha-|to praise (vb)
dag-|to slay, [ᴱN.] kill (vb)
dagnir|slayer, bane (n)
dagnis|slayer, bane (f.) (n)
dagor|battle (n)
dagrassaeb|bloodthirsty, (lit.) slaughter-hungry (adj)
dagrassaeg|bloodthirstiness, (lit.) slaughter-hunger (n)
dagras|slaughter (n)
dalath|plain, low lying/flat ground; [N.] flat surface, plane; [ᴱN.] vale (n)
damen-|to return (vb)
dananna-|to give back, return [something] (vb)
danbeth|*answer, (lit.) back-word (n)
dandol-|to return, come back (vb)
dangar-|to undo (vb)
dangen|slain (adj)
dangweth|answer, *(lit.) back-report (n)
danna-|to fall (vb)
dannad|falling (n)
dannen|ebb, lowtide (n)
dannod-|to untie, undo, unloose (vb)
dant|*fall (n)
danwedh|ransom (n)
dan|back to, (back in return) against, down upon, back on, back again (prep)
dar-|[N.] to stop, halt (vb)
daur|league; †stop, pause (n)
dav- (Law and Judgment)|to judge (vb)
dav- (Social Relations)|to allow, yield, permit (vb)
degil|victor, winner (n)
deloth|abhorrence, [N.] detestation, loathing (n)
delu|hateful, deadly, fell (adj)
delw|thick (of a single thing) (adj)
dem|sad, gloomy (adj)
den|?against (prep)
dern|tough, thrawn (adj)
dev-|to try, *seek opportunity, experiment (vb)
dew-|to fail, miss (vb)
de|you (pron)
dha|there is (vb)
di (Grammar)|with (prep)
di (Spatial Relations)|beneath, under; ⚠️[N.] in (prep)
dilith|friendship (n)
dim (Dwelling and Furniture)|stair (n)
dim (Emotion)|gloom, sadness (n)
dirbedui|hard to utter, difficult to pronounce (adj)
dod-|to drop, ⚠️fall down (vb)
dod|berry (n)
dol(l)|head, hill (n)
dolen|hidden, [N.] secret (adj)
dollon|phoneme, underlying sound, (lit.) hidden-sound (n)
dolph|mole (n)
dorgannas|shapes of the lands, *geography (n)
dorgant|landscape, scene, *(lit.) land-shape (n)
dorn|tough, stiff, thrawn, obdurate (adj)
dov-|to lie heavy (vb)
dovn|gloomy (adj)
drab-|to labour, work; (impersonal) to irk, annoy (vb)
drabol|labouring (adj)
drab|labour, toil, irksome work (n)
draug|wolf (n)
drautha-|to weary, tire out (vb)
drauthas|[wearisome] toil, weariness from labour (n)
drauthiel|arduous, labourious (adj)
drauth|[G.] weary, toilworn, tired; ⚠️[ᴱN.] labour (adj)
dravn|hewn log (n)
drega-|to flee (vb)
dring|hammer, *beater (n)
drinna-|to turn, twist (vb)
drint|twist, wrench, turn (n)
duia-|to descend, sink, set [of sun] (vb)
duidhrad|canal (n)
duinen|flood, high tide (n)
duiniant|aqueduct (n)
duin|(large) river; ⚠️[N.] water (n)
dâd|grandfather (n)
dêl|disgust (n)
dírnaith|wedge-shaped battle-formation, (lit.) man-spearhead (n)
dîn|silence; silent, quiet (n adj)
dîr (adj)|hard, difficult (adj)
dîr (n)|man, [N.] adult male; agental suffix (n)
dî|woman, ⚠️lady, bride (n)
dôr|land, [N.] region where certain people live, [ᴱN.] country; ⚠️[G.] people of the land (n)
dúda-|to lower [something] (vb)
dúlin|nightingale (n)
dúnad|descent (n)
dúnen|western (adj)
dúvad|supper, dinner (n)
dûn|west (n)
dûr|dark (with evil implications), gloomy, hellish (adj)
dû|night, dimness; [N.] night-fall, late evening; ⚠️[S.] dim, dark (n)
dýgar|mistaken act; doing a wrong thing (n adj)
dŷl|mistake (n)
dŷr (adj)|mistaken, off point, not right (adj)
dŷr (n)|successor (n)
eb (Grammar)|save, except (prep)
eb (Time)|?before (prep)
echad-|to form, make, shape, cut out, [N.] fashion; [S.] (lit.) to shape out (vb)
echad|camp (n)
echor|outer circle; encircling (n adj)
echuia-|to awaken, wake up (intr.) (vb)
echuida-|to wake up (trans.), waken, rouse (vb)
echuir|early Spring, (lit.) stirring (n)
echui|awakening (n)
ech|?you, yourself (singular) (pron)
ecthelorn|spruce, fir-tree (n)
ed (prep pref)|out, out of, [N.] forth (prep pref)
ed (pron)|*it (pron)
edanna-|to publish, (lit.) out-give (vb)
edhellen|elvish (adj)
edinor|anniversary day (n)
edledhia-|to go into exile (vb)
edledhron|exile (n)
edlen(n)|exiled (adj)
edlonui|foreign (adj)
edlon|outsider, stranger, *foreigner (n)
edlothia-|to flower, blossom (vb)
edol|ivy (n)
edra-|to open (out) (vb)
edrain|*(outer) border (n)
edraith|rescue, saving (n)
edregol|in especial, *especially (adv)
edren|outer (adj)
egel|other (adj)
eglan|forsaken (adj)
egleria-|to glorify (vb)
eglin|needle (n)
egor|or (conj)
ego|be off! (interj)
ein-|excellent, admirable (pref)
einior|elder (adj)
eirien|daisy (n)
eitha- (Physical Acts and Materials)|to prick with a sharp point, stab; to treat with scorn, insult (vb)
eithad|*insult (n)
eitheb|thorny, *(orig.) full of points; ⚠️sharp (adj)
eithela-|to spring, well forth, *issue forth (vb)
eithel|source, spring, well, [N.] issue of water, fountain (n)
eithor|other, another (adj)
eithos|thorn bush (n)
eithron|*spearman, ⚠️[ᴱN.] warrior (n)
eithro|*also (adv)
elanor|pimpernel, small golden star-shaped flower, (lit.) sun-star (n)
elchith|nebula, star cloud (n)
eleg|other, else (adj)
elia-|to cause to prosper, bless (a work), help one (vb)
eliad|blessing (n)
elias|blessedness (n)
elloth|single flower (n)
elo|behold! (interj)
elui|starry (adj)
elu|(pale) blue (adj)
elva-|to marvel at, admire (vb)
elvain|wondrous, marvelous, wonderful; ⚠️wonder(ful thing), marvel (adj)
elven|wonder, wonderment (n)
emel|mother (n)
emig|[little] mother, *mommy (n)
emma-|to paint, draw (something) (vb)
emmas|painting, drawing (vb)
em|picture, image (n)
en (adv)|then, [G.] that past, ⚠️that by you, that already mentioned (by you) (adv)
en (prep)|of the (prep)
en (pron)|1st sg pronoun (pron)
en-|*to name (vb)
enas|title (n)
ened (adv)|moreover (adv)
ened (n)|centre (n)
enedhren|central, essential (adj)
enedh|centre, middle; [N.] core (n)
eneg|six (cardinal)
eneth|*name (n)
enia-|to be born, be generated, result (vb)
ennais|signature, (lit.) name sign (n)
ennas|there (adv)
ennen|named (adj)
eno|*still (adv)
enweria-|to revere (vb)
enwiol|nominal (adj)
ephed-|to say out (vb)
ephel|outer fence, surrounding ring (n)
ephola-|?to remember (vb)
erchion|orchish (adj)
ereb|single, alone, lonely, [N.] isolated (adj)
ereg|holly, [N.] holly-tree, ⚠️[S.] thorn (n)
ereth|solitude, oneness, loneliness (n)
eriad|rising (n)
erlu|once, one time (adv)
ernil|prince (n)
ero|*only, alone (adv)
ertha-|to unite (vb)
erthad|union, uniting (n)
eryn|wood, forest (of trees) (n)
er|one, alone (adj)
esbin|thin thread, ⚠️tress (n)
escar|weapon (n)
esgal|cast shadow, shade; screen, hiding; ⚠️veil (n)
esgia-|to smoke (intr.) (vb)
ess|name (n)
esta-|to call, *name (vb)
estannen|named, called (adj)
estel|hope, trust, *faith [in] (n)
estola-|to encamp, *erect tents (vb)
estolad|encampment (n)
ethir (Physical World)|mouth of a river, (lit.) outflow (n)
ethir (Sense Perception)|spy (n)
ethiria-|to flow out (vb)
ethog-|to lead out, *bring out (vb)
etholtha-|to extract, make come out (vb)
ethuil|spring [the season] (n)
eth|outside (adj adv)
e|he (pron)
faefelf|soul-feeling, *emotion (n)
faeg|mean, poor, bad (adj)
fael (adj)|fair-minded, just, generous (adj)
fael (n adj)|gleam of the sun; *gleaming (n adj)
faelas|fairness, equity (n)
faen|vapour; ⚠️[disembodied] spirit (n)
faergol|depression, grief, (lit.) spirit-burden (n)
faer|spirit (in general) (n)
fae|incarnate spirit, *soul (n)
fain|white, shimmering, shining, [N.] radiant; [S.] white and shining [thing]; ⚠️dim, dimmed; filmy, fine-woven; (vague) apparition; cloud (adj n)
fair (Time)|quick, ready, prompt (adj)
fair|right (hand) (adj)
falas|beach, shore, strand, surf(line) (n)
falchon|great two-handed sword, twibill (n)
falch|[ᴱN.] cleft, ravine (n)
faloth|large foamy wave (n)
fang|beard, ⚠️[G.] long beard (n)
fanui|cloudy, (lit.) having much cloud (adj)
fanu|vapour, steam (n)
fanwos|mind-picture (of apparition in dream) (n)
faran|rowan, *ash (n)
faroth|*hunting (n)
fartha-|to sate, satisfy (vb)
farthannen|sated, satisfied (adj)
farthas|satiety, satisfaction (n)
fass|tassle (n)
fastui|shaggy, hairy, hirsute (n)
fathol|(tasselled) fringe (n)
fathren|tasselled (adj)
faug|[N.] thirsty, ⚠️[S.] gape (adj)
faul (Body Parts and Functions)|bladder, (orig.) inflated thing (n)
faw-|to puff, blow, pant (vb)
faw|*breath, puff of breath (n)
fel-|to feel (a sensation or emotion) (vb)
felagund|den-dweller; brock, badger (n)
felaich|splash (n)
fela|mine, boring, tunnel, underground dwelling; ⚠️minor excavations, den; [N.] cave (n)
felechia-|to splash (vb)
feleg|cave, ⚠️mine, underground dwelling (n)
felf|feeling, sensation (n)
fen(n)|door; ⚠️[N.] threshold (n)
fend|threshold (n)
fennas|great door, doorway, gateway (n)
feredis|hunter (f.) (n)
fergar|soon done (adj)
fergenol|quick to see or perceive, sharp-sighted or witted (adj)
feria-|to make ready (promptly) (vb)
fern|dead person; [N.] dead (of mortals) (n adj)
ferui|ready to hand, (quickly) available (adj)
fervain|northern (adj)
fesga-|to itch, irritate (vb)
fesg|itching, irritating (adj)
fess|itch, itching (n)
fidhras|collective hair, *all hair on the body (n)
fidhren|having hair, -haired (adj)
fileb|fern (n)
fim|slender, slim (adj)
finc|trick (n)
findel|head of hair, fax, mass of long hair; having fine or beautiful hair (n adj)
find|tress, [ON.] lock of hair; [ᴱN.] hair (in general); ⚠️[S.] single hair (n)
fineg|*lock of hair (n)
fing|lock of hair (n)
finios|larch (n)
finna-|to trick, deceive, cheat, take in (vb)
finnel|head of hair, fax, mass of long hair; having fine or beautiful hair; ⚠️[N.] (braided) hair; [G.] tress (n adj)
finn|tress; single hair; [ᴱN.] hair; [G.] lock of hair (n)
fir-|to fade, *die (vb)
firin|dying, ⚠️mortal; [N.] human (adj)
firith|fading; [late] autumn (n)
flinc|finch (n)
flâd|skin (n)
foen|long sight (n)
fordúnen|northwestern (adj)
fordûn|northwest (n)
forn|north, [N.] right (adj)
forod|north (n)
forrúnen|northeast (adj)
forrûn|northeast (n)
forvo|right hand, right side (n)
fovas|folly (n)
fovren|foolish (adj)
fuin|night, gloom, darkness, [N.] dead of night (n)
fuiol|disgusting (adj)
fuir|[N.] right (hand); ⚠️north (adj)
fyvril|moth (n)
fân|(white) cloud; veil, curtain; form or vision of a spiritual being; ⚠️spirit [embodied] (n)
fíreb|mortal (adj)
fîn|(single) hair, filament (n)
fôf|fool (n)
fû|path (n)
gach|cow (n)
gadas|trap (n)
gaearon|ocean, (lit.) great sea (n)
gaeda-|to astound, make aghast (& surprise, shock) (vb)
gaer (Emotion)|awful, fearful, [N.] dreadful (adj)
gaer (Sense Perception)|red, copper-coloured, ruddy (adj)
gaeruil|seaweed (n)
gaesen|of steel (adj)
gaessarn|pearl, (lit.) sea-pebble (n)
gaes|steel (n)
gaethren|like steel (adj)
gaew|pregnant (adj)
gail|silver spark, [ᴱN.] star; sign, token, heavenly body (n)
gal- (pref)|well, blessedly (pref)
gal- (vb)|to shine clear, [G.] shine golden as the Sun (vb)
gala-|to grow (vb)
galadhremmen|tree-meshed (adj)
galadh|tree (n)
galad|radiance, glittering reflection; ⚠️light, fire, brightness, shining; bliss; [ᴱN.] dawn (n)
galdol|welcome (interj)
galenas|pipeweed, nicotiana, *tobacco (n)
galenathrod|(smoking) pipe (n)
galen|grown (esp. of plants) (adj)
galf|back [of a body], shoulders [collectively] (n)
galtha-|to be glad (vb)
galu|increase, growth; ⚠️good fortune, blessedness, blessings (n)
galvorn|type of dark metal devised by Eöl, *(lit.) shining-black (n)
gamp|hook, crook; [N.] claw (n)
ganna-|to gain, profit, increase; to be profitable, bring in revenue (vb)
gannan|waxen, grown big, grown up, adult, [originally?] large (adj)
gant|larger, greater, more, (lit.) increased (adv)
gardh|region (n)
garnen|own, held, possessed (adj)
garob|robe, [G.] outer garment, ⚠️cloak (n)
gartha-|to defend, ⚠️keep (vb)
gauda-|to invent, originate, devise (vb)
gaug|clumsy; ⚠️left (hand) (adj)
gaur|werewolf (n)
ged-|to get, catch, obtain, take (vb)
gelia-|to learn (vb)
gelir|merry (adj)
gella-|to rejoice, delight (vb)
genedia-|to reckon (vb)
genediad|reckoning (n)
geria-|to ponder (vb)
ge|maybe, if (conj)
gil-|to gleam, shine pale and silver (as of the moon [or stars]) (vb)
gil|star; (bright) spark, silver glint, twinkle of light (n)
gir-|to shudder (vb)
girith|shuddering; [N.] horror (n)
gladh-|to laugh [at a joke], *guffaw (vb)
gladhweg|cheerful, (lit.) apt to laugh (adj)
glad|wood (n)
glae(gal)|light (as an ethereal substance), *photons (n)
glaenas|fair weather; serenity (n)
glaen|serene, clear, fair (espec. of weather) (adj)
glaer|[N.] long lay, narrative poem, ⚠️[S.] tale, song (n)
glae|grass (n)
glaich|merry, joyous, happy (adj)
glamog|orc (n)
glam|din, uproar, bellowing of beasts, [N.] shouting, confused noise; barbarous speech; ⚠️[ᴱN.] hatred, [G.] loathing, fierce hate (n)
glan(n)|boundary (n)
glandagol|boundary mark (n)
glanna-|to cleanse, purify, purge, *to clear, make clear (vb)
glannaith|cleanliness, purity (n)
glannas|purification (n)
glannen|cleanly, pure (adj)
glassui|joyful, happy (adj)
glasta-|(1) to joke; (2) to make happy (vb)
glast|marble (n)
glathralvas|flashing glass/crystal, *heliograph (n)
glathren|[of or like] marble (adj)
glaudh|joke, jest (n)
glaur|gold [light or colour] (n adj)
glavradeb|full of the din of voices (adj)
glavradol|chattering, talkative (adj)
glavradon|vain talker, *chatterbox (n)
glavras|babble, chatter, babel, din of voices (n)
glawar|gold (light or colour); [N.] sunlight, radiance (of Laurelin) (n)
glaw|sunshine; [N.] radiance (n)
gleina-|to bound, enclose, limit (vb)
gleinannen|bounded, enclosed, limited (adj)
glenna-|*to travel (vb)
glidheb|like honey (adj)
glim|voice, *utterance (n)
glintha-|to glance (at) (vb)
glinthad|look, glance, flash of the eye (n)
glist|sugar (n)
glodhren|jocular (adj)
glorchadhu|lotus, (lit.) golden seat (n)
gloss|(dazzling) white, [N.] snow-white, [G.] clear white; ⚠️[N.] snow (adj)
glosta-|to snow (vb)
glosui|snow white (adj)
glân (adj)|[bright shining] white; [N.] clear; [G.] pure, †bright; ⚠️[ᴱN.] clean (adj)
glân (n)|hem, border (n)
glîn(n)|gleam, glint (n)
glóriel|golden (adj)
glórin|golden, ⚠️[G.] of gold (adj)
go-|(1) *away; (2) together, co-, com- (pref)
gobel|(walled) village, town (enclosure); [N.] walled house, *manor (n)
gobem|mouth (n)
gobeth|dictionary (n)
gochest|brother and brother, brother and sister, etc., *a set of siblings (n)
godref|abreast; *together-through (adv)
goeol|*fell, terrible, dire (adj)
goe|terror, great fear, [N.] dread (n)
goianna-|to join with, add to (vb)
golain|connection, relation, context, (lit.) threadage (n)
golbar|school, university, (lit.) wisdom-house (n)
golodh|lore-master, sage (n)
golof|consonant (n)
goloth|inflorescence, *collection of flowers (n)
goltha-|to teach, educate, tutor, (lit.) make knowledgable (vb)
golthannen|learned, educated (adj)
golthanneth|teaching, lesson (n)
golthas|education, erudition (n)
golthor|teacher (n)
golu|lore, *wisdom (n)
gond|stone, rock, [N.] stone (as a material), ⚠️[G.] great stone (n)
gonneb|stony, rocky (adj)
gonnos|great rock (n)
gonnoth|pillar, stele, memorial (n)
gonn|stone, rock (n)
gonoded|counting, accounting; ⚠️reckoning (n)
gor- (pref)|hard, difficult (pref)
gor- (vb)|to warn, urge (vb)
goras|advice (n)
gorbedui|only to be said with horror or grief, lamentable to tell (adj)
gorchanui|complicated, enigmatic, cryptic, hard to understand (adj)
gordh (adj)|difficult, laborious (adj)
gordh (n)|deep thought (n)
goredhin|sib, akin, [closely] related (adj)
gorgor|extreme horror, terror, haunting fear (n)
gorn (Religion and Beliefs)|revered (adj)
gorn (Sense Perception)|hard, stiff, thrawn (adj)
gornod(ui)|hard to count (adj)
goroth|horror, dread (n)
gorthad|wraith, spirit of Dead (n)
gorthob|horrible (adj)
gorth|dead; dead (person) (adj n)
gor|horror, dread, fear (n)
gothiol|similar (adj)
govaethas|government (n)
govai|alike, similar (adj adv)
govan-|to meet, come to same place (vb)
goven|crossroads (n)
govod|companionship, living together; community, fellowship, *(orig.) eating-together (n)
gratha-|to rub, scratch, fray (vb)
graw (adj)|dark, swart (adj)
graw (n)|bear (n)
gresta-|to aid, help, succour, support (vb)
grest|aid, support, help, succour, ⚠️salvation (n)
grod|large excavation, delving, underground dwelling (n)
groga-|to feel terror (vb)
groth|large excavation, delving, underground dwelling; [N.] cave, tunnel, [G.] grot (n)
gruitha-|to terrify (vb)
guir|slow (adj)
guldur|black arts, sorcery (n)
gurgof|traitor (n)
gurth|death (n)
guruthos|dread of death, death-horror, shadow of death, [N.] fear of death (n)
guru|death (abstract) (n)
gu|(together) with (prep)
gwa-|together, co-, com- (pref)
gwachae|far away (adj)
gwachon|(sworn) brother, associate (n)
gwae-|to go, depart (vb)
gwaef|wrap, binding (n)
gwael (Physical World)|?wind (n)
gwael (Possession and Trade)|sheath, case, cover; pod (n)
gwaelphilin|quiver, (lit.) case of arrows (n)
gwaen|stained (adj)
gwaew|storm; ⚠️blow (n)
gwae|wind (n)
gwahae|*far away (adj)
gwain (Body Parts and Functions)|blond (adj)
gwain (Time)|young, *new (adj)
gwaith|people, [ᴱN.] men, folk; [N.] manhood; man-power, troop of able bodied men, host, regiment; [S.] region (n)
gwalir|rhyme, rime (the two actual rhyming words), rhyming poem (n)
gwall|excited (adj)
gwana|fair (n adj)
gwanos|family, birth, heredity, *lineage (n)
gwanunig|twin (n)
gwanuren|of same kindred, akin (adj)
gwanu|death (act of dying) (n)
gwanwas|the past, past days, olden times (n)
gwanwen|departed, *gone, lost [to time], past (adj)
gwar-|to yield, give way, surrender (n)
gwaren|[nuclear] family (n)
gwathra-|to overshadow, dim, veil, obscure (vb)
gwathren|shadowy, dim (adj)
gwathui|*shadowy, of shadow (adj)
gwath|shadow, dim light, [N.] shade (n)
gwedhen|oath-bound, allied (adj)
gwedhron|ally, one bound by oath (n)
gwef|louse (n)
gwein|young (adj)
gwel-|to boil, bubble (vb)
gwelch|bubble (n)
gweleb|cool, fresh (esp. of water) (adj)
gweleth|boil, bubble (n)
gweltha-|to squeeze, press (vb)
gwelu|air (as a substance) (n)
gwemmel|weevil (n)
gwendren|maidenly, girlish (adj)
gwend|maiden, *young woman (n)
gweneth|maidenhood, [N.] virginity (n)
gwennod|elder tree; elderberry, *(lit.) maiden berry (n)
gwenwi|past, past tense (n)
gwer-|to weave, wind, spin, twist (vb)
gwesg|weakly, *weak (adv adj)
gweth-|*to report (vb)
gwidhren|adolescent, pre-adult (adj)
gwil-|to fly, ⚠️sail, float (vb)
gwiltha-|to air, expose to air (vb)
gwilwa-|to flutter, flit (vb)
gwilwist|weather (n)
gwimmaf|whale, (lit.) sheep of the waves (n)
gwineb|youthful (adj)
gwingil|mermaid, (lit.) foam maiden (n)
gwing|foam, spindrift, [N.] flying spray; [G.] wave-crest (n)
gwinig|little-one, baby (n)
gwir-|to weave (vb)
gwirfin|braid, pigtail, (lit.) woven-tress (n)
gwiril|spindle (n)
gwirthar|shuttle, (lit.) weave-across (n)
gwista-|to change, alter, vary (vb)
gwistanneth|alteration, variation (n)
gwistol|changing, varying, variable (adj)
gwist|change (n)
gwân|pale, fair (adj)
gwê|living creature, *living being; ⚠️[N.] man, warrior (n)
gwí|just, just now, only just, already (adv)
gwîb|penis (n)
gwîn (n)|youth (n)
gythra-|to germinate, be conceived (vb)
gythren|embryonic (adj)
gôl|wave (n)
gûl|black arts, sorcery, (evil) knowledge, [N.] magic; ⚠️[ᴱN.] wisdom (n)
gûr|heart (inner mind) (n)
gýda-|to impregnate, make pregant (vb)
gŷl|fecund; conceiving, having conceived, just pregnant (adj)
gŷth|germ, foetus, embryon (n)
hach|the hams, buttocks (n)
hadang|javelin, (lit.) hurling iron (n)
hadh-|to sit (vb)
hadhu|seat, *chair (n)
hadlath|sling (n)
haeda-|to remove, (lit.) make distant (vb)
haedh|fenced enclosure (n)
haena-|to leave, depart, (lit.) be(come) distant (vb)
haered|remoteness, (remote) distance (n)
haeron|*distant (adj)
haer|remote, *distant (adj)
hae|far, (very) far away (adj adv)
hair|left (hand) (n adj)
hallas|height (n)
hammen|clothed, clad (adj)
hand|intelligent (adj)
hannen|seated (adj)
hant|throw, cast; turn or move in games (n)
harad|south (n)
hardúnen|southwestern (adj)
hardûn|southwest (n)
harnas|harm, damage (n)
harn|south, southern (adj)
harrúnen|southeast (adj)
harrûn|southeast (n)
haru|wound (n)
harvo|left hand, left side (n)
hathol|axe (n)
hauda-|to cover up, hide away, lay in store, hoard, save, record; to bury (vb)
haudha-|to lay in store; to hoard, save, record; to bury (vb)
haudh|(funeral) mound, grave, [N.] tomb; [orig.] †heap, piled mound (n)
haug|low (adj)
haw-|to lie (vb)
ha|there you are (interj)
heb-|to keep (vb)
hebia-|to delay, retain, keep (temporarily) (vb)
hedril|thrower (f.) (n)
hel-|to freeze (vb)
heledhren|glassy, like glass, of glass (adj)
heledh|glass (n)
hellen|frozen (adj)
hemp|band, bond; ⚠️cord (n)
hen(d)|eye (n)
hendelu|brow (n)
henna-|to read (vb)
henneth|window (n)
henn|glance (n)
hent|eyesight, *(sense of) sight (n)
herdir|master (n)
herf|protection, lordship, sway (n)
hesg|withered, ⚠️dead; chilled, chill (adj)
hest|sibling (n)
hethu|foggy, obscure, vague (adj)
hich-|to vomit (vb)
hilf|posterity; one’s descendants, progeny, offspring (collective-noun)
hilvias|inheritance, heritage (n)
him (adv adj)|ever, [N.] enduring, continually; steadfast, abiding (adv adj)
hinia-|to stick to, adhere, cleave to, abide by (vb)
hir-|to find, *light on, chance on (vb)
hithlain|mist thread, grey elvish rope (n)
hithui|misty (adj)
hithu|fog (n)
hoda-|to lay, stretch out, lay flat on ground (vb)
hogren|lowly, humble, mean (adj)
hol-|to close, shut (vb)
hollen|closed, shut (adj)
holl|cock, cockerel, rooster (n)
hora-|to await, expect (vb)
hosta-|to gather, collect (vb)
hothron|captain (n)
hoth|host, horde, ⚠️[N.] crowd; group plural; [ᴱN.] folk, [G.] people; †army (n)
huan|great dog, hound (n)
huar|wild dog (n)
huia-|to urge on (vb)
huil|(1) bitch, *female dog; (2) hen (n)
hunc|pig (n)
huorn|?spirit tree (n)
hwand|sponge, fungus (n)
hwegol|brush (n)
hwegra-|to sweep (vb)
hweg|broom (n)
hwest|puff, breath, breeze (n)
hwiel|niece (n)
hwind|eddy (n)
hwinia-|to twirl, whirl, eddy (vb)
hwiniol|whirling, giddy, mad, fantastic (adj)
hwinn|birch (n)
hwion|nephew (n)
hwîn|giddyness, faintness (n)
hên|child (n)
hída-|to (come to) pass, happen (vb)
híril|lady; ⚠️[G.] princess, †queen (n)
hîl|heir (n)
hîr|lord, master (n)
hîth|mist (n)
húda-|to curse (vb)
hû (Animals)|hound, [N.] dog; ⚠️S. ?heart (n)
hû (Religion and Beliefs)|spirit, shadow (n)
hûn|*heart (n)
i (article)|the (article)
i (pron)|who, that, [G.] indefinite indeclinable relative particle (pron)
iach|ford (n)
iaeda-|to mock, deride, make fun of, laugh at (vb)
iaewen|scornful (adj)
ialtha-|to yoke, ⚠️join (vb)
ialt|yoke (n)
iand|wide (adj)
ianna-|to join, connect (vb)
iannen|joined, connected (adj)
iant|bridge (n)
iaun|wide, extensive, large, roomy, vast, huge (adj)
iaur|old; [N.] ancient, olden (adj)
iaust|crop, *yield, produce; ⚠️corn (n)
iav-|to produce, yield, bear fruit (vb)
iavas|autumn, *harvest (time) (n)
iavren|fertile (adj)
iaw|when (conj)
idhor|thoughtfulness (adj)
idhrinn|year, *(lit.) year-circle (n)
iesta- (Emotion)|to wish (vb)
iesta- (Time)|to begin (vb)
iestor|first day of the new year (n)
ifant|*aged (adj)
ilaurui|*daily (adj)
ilhad|everywhere (pron)
illadui|general (adj)
illad|everything (n)
ilnad|everything (pron)
ilphen|everyone (pron)
ilu|universe, the whole, cosmos (n)
il|*all (adj)
im (n)|valley; [N.] dell, deep vale (n)
im (prep)|between (prep)
im (pron)|I, I myself; reflexive, self(same) (pron)
imeneth|namesake, (lit.) same name (n)
imladren|vale like, of the vale (adj)
imlad|deep valley, narrow valley with steep sides, gap, gully, [N.] dell, glen (n)
imrad|path or pass between mountains or trackless forest, *(lit.) valley path (n)
imrath|long narrow valley with road or watercourse running through it lengthwise, *(lit.) valley course (n)
indram|shock, (lit.) mind-blow (n)
ind|some particular purpose or intention of an individual; heart [metaphorical], [N.] inner thought, meaning (n)
innas|*will (n)
inn|some particular purpose or intention of an individual (n)
inu|female (adj n)
inwas|feminity, womanhood (n)
inwathren|feminine (adj)
ion(n)|son, *boy (n)
iorbeth|archaism, archaic word (n)
iphant|[N.] aged, having lived long, (lit.) year-full (adj)
irdh|entrails, bowels, innards (n)
irn|desired, wished for (adj)
irtha-|to peck (vb)
irth|beak (n)
ir|?when, while (conj)
istanna-|to teach, lecture, explain, (lit.) give knowledge (vb)
istoneth|teacher (f.), (lit.) knowledge giver (n)
istonor|teacher (m.), (lit.) knowledge giver (n)
ithildin|magical alloy that glows in moonlight, (lit.) moon-star (n)
ithron|Wizard (n)
ivil|inside (n)
iâd (Body Parts and Functions)|waist; isthmus (n)
iâf|fruit (n)
iâ|chasm, pit; void, abyss; [N.] gulf (n)
l(h)ô|flood, fenland; ⚠️[G.] pool, lake (n)
laba-|to hop (vb)
laboth|hare, *rabbit (n)
lacha-|to flame (vb)
lach|(leaping) flame (n)
lad (Physical World)|plain, ⚠️valley; [G.] a level, a flat; fair dealing (n)
lad (Quantity and Number)|nothing, zero (n)
lad-|to stretch, extend (in length) (vb)
laden|flat, wide, *level; [N.] open, cleared; [G.] fair, equitable; ⚠️[ᴱN.] smooth (adj)
ladog|tin [metal] (n)
lae-|to not be (vb)
laeda-|to refresh, revive (vb)
laed|colour, color (n)
laegas|verdure, greenness (n)
laeglin(n)|greenfinch  (n)
laeg|(1) green, viridis, green (of leaves/herbiage), fresh; (2) keen, sharp, acute (adj)
laer (Language and Music)|song (n)
laer (Time)|summer (n)
laes|babe (n)
laew (Quantity and Number)|frequent, many (adj)
laew (Time)|fresh (adj)
laeweth|freshness (n)
lae|great number (n)
lagor|swift, rapid (adj)
laidh|horizontal, (lit.) lying flat (adj)
lain (adj)|free(d), *liberated (adj)
lain (n)|thread, warp (n)
lala-|to laugh (vb)
lalaith|laughter (n)
lallen|funny, amusing (adj)
lall|laugh (n)
lalorn|elm-tree (n)
laltha-|to amuse, make laugh (vb)
lalweg|cheerful (adj)
