(a)larca|rapid; swift (adj)
cúma|void (n)
cúna-|to bend (vb)
cúna|bent; curved (adj)
cúnë|arch; bow; crescent (n)
cúvima|concealable (adj)
cúvula|flexible; pliant (adj)
ec-|to can; to have a chance of; to may (vb)
eccahta|hawthorn; (lit.) thorn-hedge (n)
eccaira|?out-far (adj)
eccalda|cactus; (lit.) spine tree (n)
eccan-|to assert; to proclaim; (lit.) to forth-call out (vb)
ecca|*lair; hole (n)
ecces- [þ]|to bring out by examining or eyeing[?]; to find out (vb)
eccoia|thorny (adj)
eccol-|to export (vb)
ecco|point; spine; thorn (n)
eccuinu-|to awake; to wake up (vb)
ecellë|hedgehog; urchin (n)
ecesta|chance; opportunity (n)
ecet|short stabbing sword (n)
ectala|tomorrow morning (n)
ectaquilta; macilquilta|swordbelt (n)
ef-|to emerge (especially from water) (vb)
effírië; qualmë; quelmë; unqualë|death (n)
ehta-|to stab (vb)
ehtaráma|having a wing like a sword (adj)
ehtelu-|to bubble up; to well (vb)
ehtelë|issue of water; spring (n)
ehten|outlook; sight; spectacle; view (n)
ehtipolca|porcupine; (lit.) spike-pig (n)
ehtyar|spearman (n)
ehtë (*ehti-); elt; hatal|spear (n)
elanar|pimpernel; (lit.) sun-star (n)
ela|behold! (interj)
elben; enda; hon (hond-); indo|heart (n)
eldafindë|maidenhair fern; (lit.) elf tress (n)
eldanyanda|*fairy tale (n)
eldë|you (plural emphatic) (pron)
elecetomacnetëa|electromagnetic (adj)
elen; tinwë; él|star (n)
elengolmë|astronomy (n)
elenitsë|firefly; (lit.) star-fly (n)
elenya|*of the stars; adjective referring to the stars; stellar (adj)
elhísë [þ]|nebula; star cloud (n)
ella|for you; of you (pron)
ellumë; millumë|once; one time (adv)
ellë|2nd pl emphatic (pron)
ellöa|next year (n)
elma-|to admire; to marvel at (vb)
elma|miracle; wonder (n)
elmenda|wonder; wonderment (n)
elmendëa|wonderful (adj)
elmë|*we (emphatic exclusive); we (emphatic inclusive) (pron)
elta-|to drive (vb)
elvëa|starlike (adj)
elvë|we (emphatic inclusive) (pron)
elyë|thou (emphatic polite) (pron)
em-|to depict; to portray (vb)
emba-|to draw (something); to paint (vb)
embë|to drawing; to painting (vb)
emel|love [abstract] (n)
emer-|?to herd (sheep) (vb)
emerro|herdsman; shepherd (n)
emerwen|shepherdess (n)
emino|character (in a story) (n)
emmata-|to draw/create (a picture); to photograph (vb)
emma|*image; picture (n)
emmë|*we (dual emphatic exclusive); we (emphatic exclusive) (pron)
empatyellë|advancement; progress (n)
en (adv)|(then) soon; in that (future) case; look yon(der); there; yonder (adv)
en (end-)|far away; in that (future) case; look yon(der); that; there; yonder (pron adv)
en (pron adv)|that by you; thereupon (pron adv)
en-|again; re- (pref)
enar; non(n)o; nua(n)|tomorrow (n)
enda (adj)|by name; called; named (adj)
enda (n)|*interior; centre (n)
endaurë|noon; (lit.) mid-day (n)
endemat (endematt-)|lunch; (lit.) mid-meal (n)
ender|*groom; bridegroom (n)
endëa; tóle (tōli-)|middle (adj)
endë|centre; core; middle (n)
enecto; enquesta; enquetto|one sixth (fraction)
enectya; enquetya|one sixth (adj)
eneldë; enellë|*middle finger (n)
enelmo|go-between; intermediary; intervener; mediator (n)
enel|between; in the middle (prep)
enenquëa|sixteenth (ordinal)
enenquë|sixteen (cardinal)
eneques|rumor; (lit.) re-saying (n)
ener(a)|further; on; onward (adv)
enga|*except; save (prep)
engwa; hlaiwa; quolina|sickly (adj)
engwë|thing [that exists] (n)
engë|ago; once (in past); †it was (adv)
enna|fact (n)
ennë|purpose; thought (n)
ennóna|born again (adj)
enortalë|resurrection (n)
enquain|sixty (cardinal)
enquanta-|to refill (vb)
enquellumë|six times (adv)
enquendóra|*six million (cardinal)
enquendórë|*sextillion (cardinal)
enquet-|to repeat; to say again (vb)
enquië|Elvish week of six days (n)
enquëa|sixth (ordinal)
enquë|six (cardinal)
enta (adj)|another; one more; that yonder; then (fut.) (adj)
enta (pron adv)|that yonder; then (fut.) (pron adv)
enta (pron)|that there (emphatic) (pron)
entul-|to *return; to come again (vb)
entulessë|return (n)
entë|*next (of time or in a sequence); further(more); moreover; what is more (adv)
envinyata-|to *restore; to heal; to renew (vb)
enya (adj)|*central (adj)
enya (adv)|then soon (adv)
enyal-|to *remember; to recall (vb)
enyalië|memory; (lit.) recalling (n)
enyálëa|memorial (adj)
enyárë|in that day (adv)
ep(e)ta|following that; thence; thereupon; whereupon (conj)
epeharmo; nóriecáno|president (n)
epemat (epematt-)|dessert; (lit.) after-meal (n)
epemma; hócilmë|example (n)
epessë|after-name (n)
epetai|consequently; thence; thereupon; whereupon; (lit.) following which (fact) (conj)
epë|before (in all relations but time); following (prep)
eques (equess-)|(current or proverbial) dictum; *quote; quotation from someone’s uttered words; saying; statement (n)
equi|even if; eventhough; (lit.) indeed-if (conj)
equë|to said; to say; to says (vb)
erca-; irta-; nasta-; piecta-; pietya-|to prick (vb)
ercassë|holly (n)
erca|prickle; spine (n)
erda|deserted; solitary (adj)
erdevainë|peapod; seed pod (n)
erde|germ; seed (n)
erdë|singularity (n)
eressë (eressi-)|alone; by oneself; once; only; singly (adv)
eressëa|lonely (adj)
eressë|solitude (n)
eretildo|unicorn (n)
erevainu; leryalë|release (n)
erinqua|alone; single (adj)
eritë|singular (adj)
erië|oneness (n)
ermaitë (ermaiti-)|concrete; material (adj)
ermangolmë|[possibly also] chemistry; physics; study of matter (n)
erma|(physical) matter (n)
ernóna|only-begotten; only-born (adj)
erta-|to unite (vb)
ertië|union (n)
erumaitë|one handed (adj)
erumë|desert (n)
erya|only; single; sole (adj)
er|a single; alone; one; only (adj adv)
escë|noise of leaves; rustle (n)
essë (n)|name (n)
essë; issë (pron)|*she; he; it (emphatic) (pron)
esta-|to name (vb)
estaina|*called; named (adj)
estat-|to *partition; to distribute (in even portions) (vb)
estatina|distributed; divided; shared (adj)
estatië|portion; share (n)
esta|outwards (adv)
estelenca|despairing; desperate; hopeless (adj)
estelya-; mer-|to hope (vb)
estel|*faith; hope; trust (n)
estirnë|brow (n)
estolië|camp (n)
esto|they (dual emphatic) (pron)
et(e)-|forth; out (pref)
etanta-|to publish; (lit.) to out-give (vb)
etehat-|to throw out (vb)
etelehta-; eterúna-|*to deliver (vb)
etelehto|deliverer (n)
etelelya-; etemen-; etsurya- [þ]|to go out (vb)
etelesta-|to measure (out) (vb)
etemen-|to go forth (vb)
eteminya; minda; tolya|prominent (adj)
etequet-|to confess; to speak out (vb)
eterahta-|to reach out (vb)
etevatta-|to trample out (vb)
ethenta-|to read aloud (vb)
etil|ivy (n)
etsat-|to distribute in even portions (vb)
etsatië|especially (adv)
etsen-|to forget; to let loose; to release (vb)
etserca-|to bleed out; to exsanguinate (vb)
etsir|*(lit.) outflow; mouth of a river (n)
etsë|exterior; outside (n)
etta (conj)|*therefore; (lit.) out of that (conj)
etta (pron)|his (pron)
ettalan|balcony (n)
ettanië|spectacle; (lit.) showing forth (n)
ettaressë; ettaréndo; ettaréro; ressë|female cousin (n)
ettaresta; rendolë|cousinship (n)
ettelëa|foreign (adj)
ettelë|foreign parts; outer lands (n)
ettemo|foreigner (n)
ette|outside (adj adv)
ettir-|to spy on; to watch out (vb)
ettirno|spy (n)
ettuc-|to draw out (vb)
ettul-|*to come forth; to come out; to issue (vb)
ettë|they (two) (pron)
etulya-|to pour forth; to pour out (vb)
etyanetië; imnetyalë|hypocrisy (n)
etya|exiled (adj)
et|out (of) (prep)
eulë|lamb (n)
evandilyon|gospel (n)
evandil|[Christian] missionary (n)
exanen|in an other way; otherwise (adv)
ezel(la); laica; laiqua; venya|green (adj)
fa-; hwa-|3rd sg. masc. possessive; his (pref)
fafarra-|*to keep on hunting (vb)
faica|contemptible; mean (adj)
failanta|justified (adj)
failassë|fair-mindedness; justice (n)
failata-|to justify (vb)
failatië|justification (n)
faila|fair-minded; generous; just (adj)
faina-|to emit light (vb)
faire; nalta [ñ-]|radiance (n)
fairë|phantom; spirit (disembodied); †radiance (n)
fai|*before of time (adv)
falampa|whip (n)
falarië|splash; splashing (n)
falarya-|to splash (vb)
falas(se) (falass-)|beach; shore; surf (n)
falassëa|coastal (adj)
falassë|(wave-beaten) shore; beach; line of surf; seashore (n)
falasta-|to foam; to make a sound like surf; to surge (vb)
falca; olca; ulca; urra; úmara|bad (adj)
fallë; falma; hoiyë; uilossë; ving(a); vingë|foam (n)
falmar(in) (falmarind-)|nymph; sea-fay (male); sea-spirit; spirit of the sea foam (n)
falmaril|aquamarine; (lit.) wave-crystal (n)
falmarin|sea-fay (male); spirit of the sea foam (n)
falma|(crested or foaming) wave; (crested) wave; breaker (n)
falpa-; ripta-|to flog (vb)
falquë|cleft; ravine (n)
falwa|turquoise; (lit.) pale surf colour (adj)
fana|(bright) shape or figure; bodily form of an angelic spirit; raiment; veil (n)
fandelwa; ulunda|monstrous (adj)
fanga|beard (n)
fanorcarnë|sardonyx (n)
fanta-|to cloak; to mantle; to muffle; to veil (vb)
fantercenya|penetrating of sight or understanding; perspicacious (adj)
fanto|whale (n)
fanwa|screen; veil (n)
fanwë|steam; vapour (n)
fanya (n adj)|sky; white (n adj)
fanya (n)|(white) cloud; white and shining [thing] (n)
fanyarë|the skies (not heaven or firmament); the upper airs and clouds (n)
fara-|to hunt (vb)
faralë; farasta; roimë|hunting (n)
farasta|the chase (n)
farastëa|*of prey; of the chase (that it is proper to hunt) (adj)
fara|fell; fur (n)
faren|enough (adv)
farina|fugitive; hunted (adj)
farino|fugitive; hunted man; outlaw (n)
farinë|vermin (n)
farma|?carpet (n)
farmë; fárë|all that is wanted; plenitude; sufficiency (n)
farna|prey; quarry (n)
farnë (farni-)|rowan; ️ash (n)
farta-|to sate; to satisfy (vb)
farya-|to suffice (vb)
fas (fass-)|fringe; tassel (n)
fas (fats-); pimpilin|tassel (n)
fassalë|(tasseled) fringe (n)
fassitë|tasseled (adj)
fassëa|shaggy; tangled [hair] (adj)
fassë|shaggy lock; tangled hair (n)
fasta- (Body Parts and Functions)|to tangle (vb)
fasta- (Emotion)|to please (vb)
fasta|pleased (adj)
fauca; soica|thirsty (adj)
fauca|parched; (lit.) open-mouthed (adj)
fel-|to feel (emotions) (vb)
felda|worse; worst (adj)
felehta-|*to excavate; to mine; to tunnel (vb)
felminqua|full of feeling; passionate (adj)
felmë|*emotion; impulse (n)
felya|boring; cave; mine; tunnel (n)
fel|worse; worst (adv)
fendassë|doorway; gateway (n)
fenda|threshold (n)
fendë|door (n)
feng; hlócë (hlóci-); lócë|serpent (n)
fennatir|door-watcher (n)
feno (fenu-)|poison; venom (n)
feren (fern-); fernë|beech-tree (n)
ferinya|beechen (adj)
ferna|beechnuts; mast (n)
ferya-|to *prepare; to make ready (promptly) (vb)
ferya|prompt; quick; ready (adj)
feuna|abhorred; aghast (adj)
feuya-|to abhor; to feel disgust at (vb)
fifíru-|to slowly fade away (vb)
filiculumpë|ostrich; (lit.) sparrow-camel (n)
filima|fine; thin (adj)
filimpë; filinquë; filquë|fern (n)
filincë|finch (n)
filit (filic-)|small bird; sparrow (n)
fillannë|sack-cloth (n)
filumin; filumë|gossamer (adj)
fimbë (fimbi-)|*thin; slender (adj)
finca|*tricky; clever (in petty ways) (adj)
finda (Body Parts and Functions)|-haired; having hair (adj)
finda (Spatial Relations)|fine and delicately made (adj)
findelë|lock [of hair]; tress (n)
findessë|head of hair; person’s hair as a whole (n)
findil|tress (n)
findimaitar|barber; hairdresser (n)
findori|barley (n)
findë (Body Parts and Functions)|braid of hair; hair (especially of the head); tress; tress or plait of hair (n)
findë; finië|cunning (n)
finta-|to decorate a thing with delicate work; to finish off; to make; to show skill (vb)
fintalë|trick (n)
fintemótalë|industry; (lit.) making toil (n)
finwa (Mind and Thought)|acute; sagacious (adj)
finwa (Sense Perception)|clever; delicate; fine; ️dexterous (adj)
finya-|to do/make a thing (with fine work) (vb)
finyalë|cleverness (n)
finya|clever (adj)
finë (fini-)|(single) hair; filament (n)
finëa|downy; hairy [specifically fine, light hair] (adj)
finë|larch (n)
fion (fiond-)|hawk (n)
fir- (Body Parts and Functions)|to breathe forth; to die; to fade; to †expire (vb)
fir- (Motion and Transportation)|*to fade (vb)
firinga|carcanet; necklace (n)
firin|dead (by natural cause) (adj)
firya|human; mortal (adj)
firë|mortal man (n)
fisica|physics (n)
formaitë; fínëa|dexterous (adj)
formaitë|righthanded (adj)
forma|right-hand (n)
formenya; forna|northern (adj)
formen|north; right hand; right-hand [direction] (n)
fornúmen|northwest (n adj)
fornúna|northwestern (adj)
forrómen|northeast (n adj)
forróna|northeastern (adj)
fortë (forti-)|right or north (adj)
forya|dexter; right (hand) (adj)
fui; lómë (lómi-); mórë (móri-); núrë|night (n)
fuinë|deep shadow (n)
fuiva|*murky (adj)
fuiyáru|deadly nightshade (n)
fundu(na)-|?to thunder (vb)
fána (adj n)|cloud; white (adj n)
fána; fánë; ninquë (ninqui-) (adj)|white (adj)
fárëa|enough; sufficient (adj)
férima|(quickly) available; ready to hand (adj)
fëafelmë|*spirit-impulse (n)
fëa|(indwelling or incarnate) spirit; soul (n)
fínë|dexterity (n)
fírima|*(lit.) able to die; mortal (adj)
fírimárë|mortality; the state of being mortal (n)
fírië|*natural death; death (of Men) (n)
fó|nay; no (interj)
föalócë|*breath-dragon; *serpent that guarded a treasure (n)
föa|breath; puff of breath (n)
fúmelot|poppy (n)
ha-|*its; 3rd sg. neut. possessive (pref)
hac-; haca- (Spatial Relations)|to squat (vb)
hac-; yanga- (Body Parts and Functions)|to yawn (vb)
hacca|buttocks; the hams (n)
hahta|fence; hedge (n)
haila|far beyond (adj)
hailë|distancing; removal (n)
haimelëa|cultural (adj)
haimelë|culture (n)
haimë; sito (situ-)|habit (n)
haimëa; sitina|habitual (adj)
haira|far; remote (adj)
hairië|distance; (lit.) farness (n)
haita-|to remove; (lit.) to make distant (vb)
haiya; háya|far away; far off (adv)
hala (Animals)|(small) fish (n)
hala (Physical World)|*shade; cast shadow (n)
halatir(no) (halatirn-)|kingsfisher; (lit.) fish-watcher (n)
halda (Physical World)|hidden; shadowed; shady; veiled (adj)
halda; halla; tunda; tára|tall (adj)
haliscë|rush (n)
halya-|to conceal; to screen from light; to veil (vb)
hamba; hambanoitë|on the ground (adj)
hamna|(artificial) mound; heap; pile (n)
hampa-; lapa-; tantila-|to hop (vb)
hampa|delayed; kept; restrained (adj)
hampë|clothing; garment (n)
han-|*back as an answer or return by another agent (pref)
han; lá|beyond (prep)
hana; talca|post (n)
handassë|intelligence (n)
handa|intelligent; understanding (adj)
handelë|intellect (n)
handelóra; úhandëa|witless (adj)
hando (Mankind)|big brother; ‘big bro’ (intimate) (n)
hando (Physical Acts and Materials)|agent (male) (n)
handë|knowledge; understanding (n)
hanno|brother (diminutive) (n)
hanquenta|*response; answer (n)
hanquet-|to *respond; to answer (vb)
hanta-|to give thanks; to thank (vb)
hantalë|thanksgiving (n)
hanta|a blow with an axe (n)
hanusta|monastery (n)
hanuvoitë|*masculine (adj)
hanu|male; male animal; man (of Men or Elves) (n)
hanwa (adj)|male (adj)
hanwa (n)|*chair; seat (n)
hanya-|to be skilled in dealing with; to know about; to understand (vb)
hanúrë|manliness; masculinity (n)
hanúva|*manly; doughty (adj)
hanúvië|doughtyness; manhood (n)
hap-|to bind; to restrain (vb)
hapta-|to ejaculate; to eject (vb)
hapya-|to delay; to keep (temporarily); to retain (vb)
har- (Dwelling and Furniture)|to abide; to dwell; to reside; to sit (vb)
har- (Spatial Relations)|to remain; to sit; to stay (vb)
haranyë|century (100 years) (n)
harina; hastaina; sahta; úvana; χarina|marred (adj)
harivë|closely; nearly (adv)
harma (Possession and Trade)|treasure; treasured thing (n)
harma; huan (hún-)|hound (n)
harma; narmo [ñ-]; ráca|wolf (n)
harna-|to wound (vb)
harnalassë|malicious enjoyment derived from observing someone else’s misfortune; schadenfreude; (lit.) wound-joy (n)
harnalë; hyanda|damage; harm (n)
harna|wounded (adj)
harno|possessor (n)
haru-|to sit down; to take a seat (vb)
haruni|grandmother (n)
haru|grandfather (n)
harwe (Possession and Trade)|treasure; treasury (n)
harwe; nahtë (Body Parts and Functions)|wound (n)
harya-|to have; to possess (vb)
hasa- [þ]|to (help to) cure; to make easy; to treat (medically); to treat kindly (vb)
hasaino [þ]|patient; (lit.) medically treated one (n)
hasarë [þ]|medicine (n)
hasarëa [þ]|medical (adj)
hasiendë [þ]|a process of treating medically; therapy (n)
hassë (hass-)|little brother; ‘lil bro’ (intimate) (n)
hasta-|to mar (vb)
hastalë; quelehtië|corruption (n)
hastima|corruptible (adj)
hat (haht-)|comb; crest; ridge (n)
hat- (Motion and Transportation)|?to throw down; to *throw; to fling; to hurl (vb)
hat- (Physical Acts and Materials)|to break asunder (vb)
hata-|to fling; to hurl (vb)
hatal|*javelin (n)
hatar|thrower (of spears and darts) (n)
hatta|missile (n)
haura (adj)|aged; ancient (adj)
haura (n)|hoard; store (n)
hauro|cupboard; piece of furniture used for storing; wardrobe (n)
hausta|nest (n)
hauta-|to cease; to stop; to take a rest (vb)
havarcë|cookie (n)
havar|a loaf or cake of [unleavened] bread (n)
ha|3rd sg. neut. pronoun; subjective abstract particle (pron)
heca|to be gone!; to stand aside! (vb)
hecilo|one lost or forsaken by friends; outcast; outlaw (m.); waif (n)
hecil|one lost or forsaken by friends; outcast; outlaw; waif (n)
hecilë|one lost or forsaken by friends; outcast; outlaw (f.); waif (n)
hecima|special (negative) (adj)
heconna|bastard; child born out of wedlock (n)
hehta-|to exclude; to forsake; to leave out; to put aside (vb)
hehtar|renegade (n)
hel-|to freeze (of water) (vb)
hela|*other than (conj)
helca|ice-cold; icy (adj)
helcelimbë|*icicle; (lit.) ice-drop (n)
helcelmë|glacier; (lit.) frozen flow (n)
helcë|ice (n)
heldassë|nakedness (n)
helda|naked; stripped bare (adj)
helet (helets-)|fur; fur-coat (n)
helexë|hail (n)
helillos [þ]|wisteria; (lit.) purple cluster (n)
helina|frozen (adj)
helinillëa (adj)|*violet [colour] (adj)
helinillëa (n)|*violet [colour] (n)
helinillë|violet; violet [flower] (n)
helinquila (adj)|mauve (adj)
helinquila (n)|mauve (n)
helinwa (adj)|(of colour) a blue-violet; of pansies (adj)
helinwa (n)|(of colour) a blue-violet; of pansies (n)
helin|pansy (n)
helissar|amethyst (n)
helle; menel; taimië; telumë; tëa; vilya|sky (n)
helma|*hide; fell; skin (n)
helmolpë|wine-skin; (lit.) skin-bottle (n)
helmunquë|wrinkle; (lit.) skin-hollow (n)
helquir (helquirm-)|ice cream (n)
helta-|to bare; to denude; to despoil; to peel; to strip (vb)
helwa|(pale) blue (adj)
helyanwë|*sky-joining; rainbow; (lit.) sky-bridge (n)
hempa; serma|cord (n)
hen (hend-)|eye (n)
hencalcat|eye-glasses; spectacles (n)
henca|rare (as opposite of dense) (adj)
hencúnë|eyebrow; (lit.) eye-arch (n)
hendelúpëa cecet|peafowl; (lit.) eye-plumed pheasant (n)
hendumaica|sharp-eye[d] (adj)
henfanwa|eye-screen; veil upon eyes (n)
henta-|to examine; to eye; to read; to scan (vb)
hententa-|to spot with eye (vb)
hentië; tengwië|reading (n)
hentópa|eyelid (n)
henulca|*evil-eyed (adj)
hequa|except; excluding; leaving aside; not counting (prep adv)
heren (Possession and Trade)|fortune; (lit.) governance (n)
heren (Quantity and Number)|*association; order (n)
herenya|fortunate; rich; wealthy (adj)
heri; tári|lady (n)
heru-|to be master of; to lord it over; to own (vb)
herulatsë|domain; estate (n)
heru|lord; master (n)
heréro; hes (hest-); hestanoinu; háno; toron (torn-)|brother (n)
hes (hest-); hestanoini; nésa [þ]; seler (sell-) [þ]|sister (n)
hes (hest-)|*sibling (n)
hessa|dead; withered (adj)
hesta(lë)|the nearest consanguinity (n)
hesta-|to wither (vb)
hestanoina|bearing the nearest consanguinity (adj)
hesto|captain (n)
hexan (hexamb-)|lavatory; toilet (n)
hildë (hildi-); neuro|follower (n)
hilië|following (act of) (n)
hilmië|offspring (n)
hilmo; vô; yon (yond-); yondo; yonyo|son (n)
hilmë|*descendant; offspring (n)
hilya-|to follow (vb)
hilyalë|dynasty; succession (n)
him-; himya-|to adhere (vb)
himba|adhering; sticking (adj)
himya-|to abide by; to cleave to; to stick to (vb)
himyalë|connection (n)
himítië|compliance (n)
himítë (himíti-)|chronic; clinging; persistent; sticking; (lit.) able to stick on (adj)
hinna; tensi; tenta|still (adv)
hinta-|to adopt (vb)
hintil|baby (finger) (n)
hir-; lanqu-; tuv-|to find (vb)
hirdë|bowels; entrails (n)
histë|dusk (n adj)
hiswa [þ]|*foggy; grey [of weather]; overcast (adj)
hiswa|dim; fading (adj)
hiswë [þ]; usquë|fog (n)
hiuma|clue; hint (n)
hiuta-|to hint (vb)
hi|3rd sg. fem. pronoun; she (pron)
hië|3rd sg. fem. pronoun; she (emphatic) (pron)
hlaimar (hlaimard-)|hospital (n)
hlaiwa|ill; sick (adj)
hlapil|flag (n)
hlappo|dress; (lit.) flying cloth (n)
hlapu-|to blow; to fly or stream in the wind (vb)
hlar-; lasta-|to hear (vb)
hlaraitë|able to hear (adj)
hlarindo|hearer (n)
hlarië; lasta|hearing (n)
hlarma|earpiece; receiver (n)
hlic-|to *sneak; to creep (vb)
hlimbë|gliding; sleek; sliding; slippery (adj)
hlintë (hlinty-)|down; fluff; soft stuff (adj)
hlit-|to dash; to hurtle; to race; to speed swiftly (vb)
hloima|poison; poisonous substance (n)
hloirëa|*poisonous; venomous (adj)
hloirë|poison; poisonousness; venom (n)
hloita-|to envenom; to fill with poison; to poison (vb)
hlonaitë; hlonitë|phonetic (adj)
hlonta-|to bang; to boom; to make (loud) noise (vb)
hluc-; undulav-|to swallow (vb)
hlunco (hluncu-)|gullet; pharynx (n)
hlussa-|to whisper (vb)
hlussë|*whisper; whispering sound (n)
hlívë|*disease; sickness (n)
hlócë (hlóci-)|*lizard; reptile; snake; worm (n)
hlón(a) (hlon-)|*phone (in linguistics); noise; sound; speech sound (n)
hlónemma|phoneme (n)
hlöa|fenland; flood (n)
hlúvo (hlúvu-); lúvo (lúvu-)|fat; greasy (adj)
hohyë|fluff (n)
holla; holma|?shut (adj)
hollo|cock; cockerel; rooster (n)
hollë; ranwë; yello|shout (n)
holmo|*(lit.) from the heart; from the middle; heartily; sincerely (adv)
holmë|*scent; odour; smell [not necessarily bad] (n)
holtu-|to *shout; to call out (vb)
holwë; sávë [þ]|stench (n)
holya-|to close; to shut (vb)
holyë; porocë|hen (n)
holálë; hulálë|babble; chatter; conversation (n)
homanca-|to buy (vb)
hondacil|belladonna; (lit.) heartsbane (n)
honda|hearted (adj)
hondo|(seat of the) deepest feelings (n)
hont (adv)|inwards (adv)
hont (honty-) (n)|sneeze (n)
hontompa|heartbeat (n)
hontossë|a loud sneeze; loud sneeze (n)
hopassë; londië|harbourage (n)
hora-|to wait for (vb)
horina|driven under compulsion; impelled (adj)
hormë|urgency (n)
horna|rough; rude; uneven (adj)
hornië|roughness; rudeness (n)
horro; orro (interj)|alas!; ow!; ugh (interj)
horta-|to send flying; to speed; to urge (vb)
hortalë|speeding; urging (n)
horya-|to be compelled to do something; to have an impulse; to set vigorously out to do (vb)
hos (host-); hosto|assembly; crowd (n)
hosse; ossa (n)|wall and moat (n)
hosta (Quantity and Number)|large number (n)
hosta-|to assemble; to gather (hastily together); to pile up (vb)
hosta; lië; nossë; nórë (Social Relations)|folk (n)
hostaitë|able to gather (adj)
hostar|walled tower (n)
hototyossë|a cough and a sneeze (n)
hotsë|army; band; troop (n)
hotya-|to sneeze (vb)
hrai(a)|awkward; difficult (adj)
hrai-|*difficult; hard (pref)
hraicenë; hraicénima|hard to see; scarcely visible (adj)
hrainotë|*hard to count (adj)
hraitasta|detail (n)
hrai|awkward; difficult; stiff (adj)
hrambundo|bison; buffalo (lit. wild ox); gaur; wisent (n)
hranga-|to thwart (vb)
hranga|awkward; difficult; hard; stiff (adj)
hrangwë|difficulty; problem (n)
hravanda|wilderness (n)
hravan|wild beast (n)
hresta|beach; shore (n)
hris-; nicu-; niquisya-|to snow (vb)
hrissë|fall of snow (n)
hristil|snow (?peak) (n)
hritya-|accomplish; to achieve (n)
hru-; ru-|evil- (pref)
hruhirdië|dysentery (n)
hruo|*wickedness (n)
hrupuhta-|to fornicate (vb)
hrupuhtië|fornication (n)
hrupuhto|fornicator (n)
hrá; rá|*for; on behalf of (prep)
hráva|savage; untamed; wild (adj)
hrávëa|carnal; fleshly (adj)
hrávë|flesh (n)
hríma|border; edge; hem (n)
hrívë|winter (n)
hró-; orró-|east (pref)
hróta|artificial cave or rockhewn hall; dwelling underground (n)
hröafelmë|*body-impulse (n)
hröaloica|cripple (n)
hröangolmë|lore of the body and arts of healing (n)
hröava|bodily; corporeal (adj)
hröa|bodily form; body (n)
hrú(y)a|evil; wicked (adj)
hrúcarë; rúcarë|evil-doing (n)
hrúcen|envy; (lit.) evil-sight (n)
hrúfinta-|to cheat (vb)
hualquenya; hualquetya; hualtya; tolcaiya|eighteenth (ordinal)
hualquë; nahta; tolcëa; tolquë|eighteen (cardinal)
huan (huand-); huo; röa|dog (n)
huarda; savarna|pack (of dogs, wolves) (n)
huar|jackal; wild dog (n)
huecainen; neterquain|ninety (cardinal)
huetto; ne(re)sta|one ninth (fraction)
huetya|one ninth (adj)
huinë|(unrelieved) darkness; deep shadow; gloom; nightshade (n)
huiva|*(nearly) lightless; murky (adj)
hum-|*to sleep (vb)
humetya|*thousandth (ordinal)
humpë|in the middle (adv)
hundo|thunder (n)
hundu-|to thunder (vb)
huolë|litter (of pups, cubs, etc.) (n)
hurin|concealed; hidden (adj)
hu|3rd sg. masc. pronoun; he (pron)
hwan (hwand-)|fungus; sponge (n)
hwandasar (hwandasarn-)|pumice; (lit.) sponge-stone (n)
hwarin; raica; rempa|crooked (adj)
hwarma|crossbar (n)
hwarrissë|blizzard; (lit.) blowing fall of snow (n)
hwarwa; hwá|violent wind (n)
hwermë|gesture-code (n)
hwesta sindarinwa [hwesta þindarinwa]|Grey-elven hw (n)
hwesta-|to puff (vb)
hwesta|breath; breeze; puff of air (n)
hwinda|crazy; mad (adj)
hwindë (Agriculture and Vegetation)|birch (n)
hwindë (Physical World)|eddy; whirlpool (n)
hwinquetë|confused talk; nonsense (n)
hwinta-|to confuse; to mix; to stir (vb)
hwintaila|confusing (adj)
hwinwaiwa|whirlwind (n)
hwinya-|to eddy; to gyrate; to swirl (vb)
hya (conj)|or (conj)
hya (pron)|other thing (pron)
hya-|*her; *their; 3rd pl. fem. possessive; 3rd sg. fem. possessive (pref)
hyal-|to resound; to ring (vb)
hyalin|paper (n)
hyallë|another way; differently; otherwise (adv)
hyalma|conch; horn of Ulmo; shell (n)
hyalmë|loud ringing noise (n)
hyalta-|to make ring; to strike (vb)
hyam-|*to pray (vb)
hyamië|prayer (n)
hyan-|to injure (vb)
hyana|other (adj)
hyanda (Quantity and Number)|a throng; crowd (n)
hyando|cleaver; hewer (sword) (n)
hyanna|compact; compressed (adj)
hyano|rather (adv)
hyapallë|slipper; (lit.) little shoe (n)
hyapat; patinca|shoe (n)
hyaqui|or else; otherwise (conj)
hyar (hyarm-)|plough (n)
hyar- (pref)|left-hand; south (pref)
hyar- (vb, Agriculture and Vegetation)|to plough (vb)
hyar- (vb, Physical Acts and Materials)|to cleave; to plough (vb)
hyarehtë|halberd (n)
hyarma; hyarmen|left hand (n)
hyarmaitë|left-handed (adj)
hyarmenya|southern (adj)
hyarmen|south; (lit.) left-hand direction (n)
hyarna|compact; compressed; southern (adj)
hyarnúmen|southwest (n)
hyarnúna|southwestern (adj)
hyarrómen|southeast (n)
hyarróna|southeastern (adj)
hyarya; lenca|left (hand) (adj)
hyassë|*rustling; rushing ?hence (?noise); rushing noise (n)
