(a)lá; ná; nása|yes (interj)
hru-; ru-|evil- (pref)
hruo|*wickedness (n)
hrá; rá|on behalf of; *for (prep)
hráva|savage; wild; wild beast (adj n)
hrávë; hröa|flesh (n)
hrívë|winter (n)
hró-; orró-|east (pref)
hróme(n); rómë|east (n)
hrón|body; flesh; matter; substance (n)
hróta|artificial cave or rockhewn hall; dwelling underground (n)
hróva (Body Parts and Functions)|dark brown (of hair) (adj)
hróva (Emotion)|savage; wild (adj)
hróva; lúna; morna; núla [ñ-]; ulca|*dark (adj)
hröafelmë|*body-impulse (n)
hröangolmë|lore of the body and arts of healing (n)
hröa|bodily form; body; physical matter (n)
hrú(y)a|evil; wicked (adj)
hrúcarë; rúcarë|evil-doing (n)
huinë|(unrelieved) darkness; dark (as a substance); deep shadow; gloom; night shade (n)
hwal-|to wash (vb)
hwarwa; hwá|violent wind (n)
hwermë|gesture-code (n)
hwesta sindarinwa [hwesta þindarinwa]|Grey-elven hw (n)
hwesta; súrë (súri-)|breeze (n)
hwindë|birch (n)
hwirya-|to wither (vb)
hya (conj)|or (conj)
hya (pron)|other thing (pron)
hyanda|crowd; pressed mass (n)
hyando|cleaver (n)
hyar-|left-hand; south (pref)
hyarma|left hand (n)
hyarmen|south; (lit.) left-hand direction (n)
hyarna|compact; southern (adj)
hyero|wine (n)
hyárë; siar(ë); síra|this day; *today (n adv)
hyë; hé|him (the other); other person (pron)
hácala|yawning (adj)
háno|brother (n)
háva|bread (collective) (n)
hérincë|*little lady (n)
hí; si; sinomë; sissë; sís|here (adv)
hína; onna; onwë; sén|child (n)
hísilanya [þ]|grey elvish rope; mist thread (n)
hísië [þ]; hísë (hísi-) [þ]|mist (n)
hísië [þ]|mistiness (n)
hó-|away; from; from among (pref)
hó; hú|hound (or ?heart) (n)
hócir-|to cut off (so as to have or use a required portion) (vb)
hón (hom-)|heart (physical organ) (n)
hótul-|to come away (to leave a place and go to another) (vb)
höa; molda|big; large (adj)
húna|accursed; cursed (adj)
húta-|to curse (vb)
i; in|the (article)
il-|every; *all (pref)
ilaurëa; ilyarëa|*daily (adj)
ilca-|to gleam (white) (vb)
ilcë|you (emphatic plural familiar) (pron)
illi; ilu|all (n)
illumë; vorë|*always (adv)
ilquen|everybody (pron)
ilquárëa|general (adj)
ilucara|omnificent (adj)
iluisa|omniscient (adj)
ilu|everything; the whole (n)
ilvan(y)a|perfect (adj)
ilyama|all [things] (n)
ilya|all (of a particular group of things); each; every (adj)
ilyë|all (adj)
ilúvala|omnipotent (adj)
ilúvë|allness; the all; the whole (n)
im-|same; self (pref)
imba|same; self-same (pron)
imbilat; tumbalë|*deep valley (n)
imbë (n)|deep valley; wide ravine; (lit.) tween-land (n)
imbë (prep adv)|among; between (prep adv)
imi; mi; së|in (prep)
imli; imlë|yourself (polite) (pron)
imma|same; same thing; self-same (pron)
immo|same one (person); self (pron)
immë|ourselves (emphatic dual); ourselves (exclusive); ?the same person (pron)
imni|myself (pron)
imya|identical; same; self-same (adj)
imíca; mica; mici|among (prep)
ina|the fact (that); the one that (adj pron)
incánussë|mind mastership (n)
incánu|mind master (n)
indemma|mind-picture (of apparition in dream) (n)
indil|lily; other large single flower (n)
indis (indiss-); veri|wife (n)
indo|(inner) thought; (state of) mind; mood; resolve; will (n)
indu-|to do on purpose; to will (vb)
induinen|purpose (n)
indyel; nyellë|small bell (n)
indë|yourselves (pron)
indómë|settled character; will of Eru (n)
ingaran|high-king (n)
inga|highest point; top (n)
ingolmo|loremaster; one with very great knowledge; wizard (n)
ingolë|lore; philosophy; science (n)
ingor|summit of a mountain (n)
inquë|thou-and-I (emphatic inclusive dual); we (pron)
insangarë; terfantië; terpellië|*temptation (n)
insa|itself (pron)
insil|lily (n)
insë|herself; himself (pron)
intyë|yourself (familiar) (pron)
intë|themselves; they (emphatic) (pron)
inwalmë|mood of mind (n)
inwis (inwist-)|change of mind/mood (n)
inwë|ourselves (inclusive) (pron)
inyë|I (emphatic) (pron)
ipsin|fine thread (n)
isilmë [þ]|moonlight (n)
isima; sáma; síma|mind (n)
isima; síma|imagination (n)
ista-|to know (vb)
istima|knowledgeable; learned; very well informed; wise (in sense knowing very much) (adj)
it(ë)|if (adv)
ita-; tintila-|to sparkle (vb)
ita; tai|that which; what (conj)
itara|gleaming (adj)
itas|in that case (adv)
itila|glinting; twinkling (adj)
i|that (relative pronoun); what; which; who (pron)
iër; sívë; tambë; vë|*as (prep)
lacalima|not possible to be kindled (made to shine) (adj)
lacaltaima|not possible to be kindled (adj)
lacaraitë; lacárima|impossible (adj)
lacarina|undone (adj)
lacarë|inaction; (lit.) not-doing (n)
lacenítë|blind; unseeing (adj)
lacárima|not feasible (adj)
lahta-|to cross; to go over; to pass over; to surpass (vb)
laicalassë|green as leaves; green-leaf (adj)
laima; olva|plant (n)
laiquë|herb (n)
lairelossë|species of tree in Númenor; summer-snow-white (n)
lairus (lairust-)|verdigris (n)
lairë|summer (n)
laista|ignorance; (lit.) not-knowing (n)
laistila; laistëa|ignorant (adj)
laita-|to bless; to praise (vb)
laitalë|praise (n)
lala-|to laugh (vb)
lamatë|a fast; fasting (n)
lamba|(physical) tongue (n)
lambelë|phonetics (n)
lambetengwë; náva-tengwë [ñ-]; pataca; pávatengwë; ólama|consonant (n)
lambina|of tongue; spoken with tongue (adj)
lambë|dialect; language; tongue (n)
lamma-|?to echo (vb)
lamélima|unlovable (adj)
lanca|sharp edge (not of tools); sudden end (n)
landa; naira [ñ-]; palda; yanda; yonda; yána|wide (adj)
landa; yonwa|boundary (n)
langa-|to cross; to go over; to pass over (vb)
langa|bridge; cross-bar; crossway; ferry; ford; thing that crosses (n)
lango|neck (n)
langë|extremely; superlatively; surpassingly (adv)
lanna|(to a point) beyond; athwart (adv prep)
lanotoitë (lanotoiti-); únótima|innumerable (adj)
lanta-; talta-|to fall (vb)
lantalca|boundary post or mark (n)
lanta|fall; falling (n adj)
lantë|fall (n)
lanwa|(well-)defined; finite; limited; within bounds (adj)
lanwë|ebb-tide (n)
lanya- (Social Relations)|to bound; to enclose; to mark the limit of; to separate from (vb)
lanya-|to cross (vb)
lanya|thread; warp (n)
lan|*while (conj)
lanë (lani-)|hem (n)
laptë|gluttonous eating (n)
laqui|unless (conj)
larma|raiment (n)
larmo|listener (spy or scout) (n)
lasir|rather the reverse (conj)
lasselanta|(late) autumn; (lit.) leaf-fall (n)
lassevinta|autumn; leaf fall; *(lit.) leaf blowing (n)
lassë|leaf (n)
lasta-|to listen (vb)
las|it is/was not so (adv)
latina|free (of movement); not encumbered with obstacles (adj)
latya-|to open anything (so as to allow entry) (vb)
latya|opening (n)
lauca|*warm (adj)
laurinquë|yellow-flowered tree (n)
laurië|goldenness; like gold (n adv)
laurëa|golden (of hue) (adj)
laurë|gold (light or colour) (n)
lauya-|to flourish (green); to grow (vb)
lav-|to lick (vb)
lehta|free; released (adj)
lelta-|to send; to *(lit.) cause to go (vb)
leluya|thick (of a single thing) (adj)
lelya- (Emotion)|to appear (of beautiful things); to attract; to enchant (with dative) (vb)
lelya- (Mind and Thought)|to immediate or remote; to will with conscious purpose (vb)
lelya- (Motion and Transportation)|to go; to proceed (in any direction); to travel (vb)
lelya-|to thicken and congeal; to ?thick (vb)
lelya|beautiful and fine; delicate; lovely (adj)
lemen; lemnë; lempë|five (cardinal)
lempëa|fifth (ordinal)
lenda-|to go free (vb)
lenda; mentië|journey (n)
lenga-|to behave (vb)
lengwë|desire for what is lost or absent; yearning (n)
lengë|characteristic look; gesture; gesture or trait (n)
lenna-; men-; tul-|to come (vb)
lenta; ráva|free (adj)
lenweta-|to go away; to leave one’s abode; to migrate (vb)
lenwë|departure; leaving (n)
lepenquë; quailepen|*fifteen (cardinal)
leper; lepsë; leuta|finger (n)
lepesta; lepsat|one fifth (fraction)
lepetas (lepetass-); leptas; tassa; tastil|index finger (n)
lepetta|Gondorian hardwood (n)
lepinca; lepincë (lepinci-); nícë|little finger (n)
lepta-|to feel with the fingertips; to finger; to pick (up/out) (vb)
leptafinya|clever-fingered (adj)
lepta|fingered; thumb (adj n)
leptenta-|to indicate with finger; *to point to (vb)
leptollë; tolbo; tollë; tolpë; toltil|thumb (n)
lerembas|bread taken on leaving home (for a long journey) (n)
lerina|free (of things) (adj)
lerta-|to be free to do (vb)
lerya-|to let go; to release; to set free (vb)
lesta|*girdle (n)
leuca|snake (n)
li(n)-|many (pref)
lillassëa|having many leaves (adj)
lilta-|to dance (vb)
lilómëa|full of darkness; many-shadowed; very dark (adj)
lilótëa|having many flowers (adj)
limbë (limbi-)|quick; swift (adj)
limpa|frail; slender and drooping (adj)
limë (limi-)|link (n)
linda-|to make music; *to sing (vb)
lindalë|music (n)
linda|beautiful (of sound); gentle; light; melodious; soft; sweet (adj)
lindimaitar|composer; musician (n)
lindë (lindi-)|musical sound; singing; song (n)
linga-; lingi-|to dangle; *to hang (vb)
lingwë (lingwi-)|fish (n)
lingëa|with a musical sound (adj)
lingë|musical sound (n)
linquë (n adj)|light-substance; liquid light; *photons (n adj)
linquë (n)|(leaf of a) hyacinth (n)
linta; rindë|swift (adj)
lintië|speed; swiftly; swiftness; *quickly (n adv)
lir-; liru-|to sing (vb)
liralë|merry singing (n)
lissë (lissi-)|sweet (adj)
lissë|grace (n)
liyúmë; rimbë|host (n)
lië|folk; people (n)
locin; numba|bent (adj)
loi-|mistake in ...; mistaken (pref)
loicarë|mistaken action (n)
loica|failing; inadequate; short (adj)
loicolícuma|corpse-candle (n)
loico|corpse; dead body (n)
loima|mistake (n)
loiparë|mistake in writing (n)
loiquetë|mistake in speech (n)
loita-|to fail; to fall short of (transitive); to miss (vb)
lomba|blind (adj)
lomentië|departure; ?away-journey (n)
londië|harbourage (n)
londë|(land-locked) haven (n)
lopoldë|rabbit (n)
lossë (n adj)|fallen snow; snow; snow-white; snowy (n adj)
lossë (n)|inflorescence (of white flowers) (n)
lossëa|(snow) white; snowy (adj)
losta-|to bloom (vb)
lotsë|small (single) flower (n)
lottë|small flower (n)
loxa|brown of hair (adj)
loëndë|mid-year (Númenórean calendar); *(lit.) year-middle (n)
lucando|debtor; one who trespasses (n)
lucassë; lucië; luhta; rohta|trespass; *debt (n)
lucindo; rocindë|one who trespasses; *debtor (n)
luhta-|to bow (vb)
luimë|flood; flood tide; flooded land; floodwater; high tide (n)
luinincë (luininci-)|bluish (adj)
luinë (luini-)|blue (adj)
luita-|to drench; to flood; to inundate (vb)
lumba; ulca|gloomy (adj)
lumbo|cloud; dark; gloom; shade (n)
lumbulë|dark shadow; deep in shadow; heavy shadow (n)
lumincë|a little while (adv)
lunca; luqua|heavy transport wain (n)
lungo (lungu-)|heavy (adj)
lungumaitë|heavy-handed (adj)
luntë|boat (n)
luppo (luppu-)|clumsy piece or lump (n)
lut-|to float (vb)
lyë|you (polite) (pron)
lá (adv)|no; not (adv)
lá (prep)|across; athwart; over (prep)
lá-; ua-; ui-|to not be (vb)
lámatyávë|*sound-taste (n)
láma|sound (n)
láquet-|to deny (fact or accusation); (lit.) to say ‘it is not’ (vb)
lár|league (n)
láta|open (not closed) (adj)
látië|openness (n)
lávar; löar|(golden) blossom (n)
lélë; mendë; selma [þ]|will (n)
léra|free (of persons) (adj)
lé|manner; method; way (n)
lë|you (plural) (pron)
líco (lícu-)|wax (n)
lícuma|candle; taper (n)
lírë (líri-)|song (n)
lís (liss-); melu; nehtë|honey (n)
lócë (Body Parts and Functions)|bend; bight; curl of hair (n)
lócë|serpent; snake (n)
lómelindë|nightingale; (lit.) dusk-singer (n)
lómëa|gloomy; shadowed (adj)
lómë|darkness; dimness; dusk; night; twilight (n)
lón(ë)|deep pool; river-feeding well (n)
lóna|(deep) pool; mere; river-feeding well (n)
lónë|*isle (n)
lórë; olor; olos (olor-)|dream (n)
lós [þ]|mass of flowers (n)
lótë|single blossom (n)
ló|(away) from; by agent [of] (prep)
löa|(seasonal) year; blooming; (lit.) (time of) growth (n)
lú(n)|*deep pool (n)
lúmequentalëa|historical (adj)
lúmë; mornië|darkness (n)
lúmë|hour; period of time; time (n)
lúva|bend; bight; bow (in forming tengwar); curve (n)
ma (adv)|interrogative particle (adv)
ma (pron)|a thing; anything; something (pron)
mac-|to hew with a sword (vb)
macar|swordsman (n)
macil|cutting sword; forged sword blade; sword (n)
mahta-|to control; to deal with; to handle; to make use of; to manage; to treat; to use; to wield (vb)
mahtië; mahtë|management (n)
maica (adj)|piercing; sharp (adj)
maica (n)|blade of a cutting tool or weapon (especially sword-blade) (n)
maina|thing of excellence (n)
maira|admirable; excellent; precious; splendid; sublime (adj)
mairia|beautiful (of things made by art) (adj)
mairëa|beautiful (of things made by art); *artistic (adj)
mairë|art; process of producing an art work; work of high and beautiful art (n)
maita-|to compose; to design; to make with art (vb)
maitalë|act of doing [artistic] work (n)
maitar|artist; poet (n)
maita|hungry (adj)
maitë (maiti-)|handed; handy; having a hand; shapely; skillful (adj)
maiwë|gull (n)
mai|well (adv)
malda; malina|of golden colour; yellow (adj)
maldornë|golden/yellow tree (n)
malinornë|mallorn; (lit.) golden/yellow tree (n)
malta|gold (metal); gold as material (n)
mammata-|to go on eating; to gobble up; to gorge oneself (vb)
mamo|what person; who (pron)
man; yë|who (pron)
manaitë|having grace (adj)
mana|what (pron)
mando|custody; duress; prison; safe keeping (n)
manen|how (adv)
manta-; manya-|to bless (vb)
maqua|closing or closed [hand] (facing down) for taking; group of five (similar) things; hand (colloquial); hand-full (n)
maquet-|*to question (vb)
mar(da) (mard-)|(great) house; a thing or place dwelt in; dwelling; home; mansion; residence (n)
mar-|to abide; to be settled or fixed; to dwell (vb)
marta-; umbarta-|to decree; to define; to destine (vb)
martaman (martamn-); martan (martam-)|dwelling-house (n)
marto; taras; tarminas|tower (n)
massa; massë; masta|bread (n)
massánië|Lady; breadgiver (n)
massë|a talent; capacity; handful; portion; share; the personal measure or capacity of a man (n)
masta|cake; loaf (n)
mastima; mátima|edible (adj)
mat-|to eat (vb)
matta|food (n)
maxo|mire (n)
maxë|handiness (n)
mecin|please (adv)
mehtar; ohtar|warrior (n)
mel-; nil-|to love (vb)
melda|beloved; dear (adj)
meldo|friend; lover (n)
meldë|*friend (f.) (n)
melehta; meletya; túrëa|mighty (adj)
melehtë|might; power (inherent) (n)
meletheldë|love-sister (n)
melima|loving; very affectionate (adj)
melmë|love (a particular case [between two people]) (n)
melotorno|love-brother (n)
melumatya|honey-eating (adj)
men-|to arrive; to go; to move (generally); to proceed (vb)
men; tië|way (n)
meneldil|astronomer; *(lit.) lover of the heavens (n)
menelluin|cornflower (colour); *(lit.) sky-blue (n)
menel|firmament; sky; the heavens (n)
menta- (Mind and Thought)|to (in)tend; to go towards; to have as object[ive]; to make for; to proceed (vb)
menta- (Motion and Transportation)|to cause to go (in a desired direction); to send (vb)
menta|message; sending (n)
mentië|direction of travel; passage (n)
menya|*our (emphatic possessive exclusive) (pron)
mer-|to hope (vb)
mestanyatsë|suffixion (n)
meter|towards the end; *for (the purpose of) (prep)
metta|end; ending (n)
mimírima; mimírë|very beautiful (adj)
minassë|city (with a citadel and central watch tower); fort (n)
minasurië [þ]|enquiry; *research (n)
mina|in; into (prep adv)
mindon|(lofty) tower (n)
mindë|turret (n)
minquesta|*one eleventh (fraction)
minquetyarmë|accentuation (n)
minquë|eleven (cardinal)
minya|eminent; first; prominent (ordinal adj)
min|one (cardinal)
miqu-|to kiss (vb)
miquelis (miqueliss-)|(soft, sweet) kiss (n)
miriéla|?sparkling (adj)
mirröanwë|incarnate (n)
miruvor|special wine or cordial (n)
miruvórë|drink of the Elves; mead; nectar; special wine or cordial; (lit.) precious juice (n)
mirwa|precious; valuable (adj)
mirya|beautiful; lovely (of works of art only) (adj)
mista; sinda [þ]; sindë (sindi-) [þ]|grey (adj)
mistë|drizzle (n)
mitta-|to insert (vb)
mittandë|infixion; intrusion (n)
mittanya-|to induce; *to lead (into) (vb)
mittar(ë)|entrance; *entering (n)
mitta|between (prep adv)
mixa; miχa|sharp-pointed (adj)
moia-|to be afflicted; to labour (vb)
mol-|to labour (vb)
mondo|ox (n)
morimaitë|black-handed (adj)
morna|black; black of hair (adj)
mornië|blackness (n)
morë (mori-)|black; dark; darkness; night (adj n)
motto|fen; marsh (n)
mo|anyone; one; somebody; someone (pron)
mulë; polë (poli-)|meal (n)
mundo|bull; ox (n)
mussë|soft (adj)
málimë (málimi-)|wrist; (lit.) hand-link (n)
málo|comrade; friend (n)
málë|good health (n)
máma|sheep (n)
mána|blessing; good thing (n)
már (mar-)|dwelling; habitation; home (n)
máralë; máriën|goodness (n)
mára|good; proper (adj)
márië|being well; good estate; goodness; happily; happiness; well (adv n)
mátengwië|language of the hands (n)
mélamar|(emotional) home (n)
méla|affectionate; loving (adj)
mélië|loving; *love (n)
métima|final; last; ultimate (adj)
më|us (exclusive) (pron)
mína-|to desire to go in some direction; to have some end in view; to make for it; to wish to go to a place (vb)
mína|desiring to start; eager to go (adj)
míra|beautiful; lovely (adj)
mírenel|jewel-triad (n)
mírima|very lovely; very precious; very valuable (adj)
mírë (míri-)|gem; jewel; precious; precious thing; treasure (n adj)
mírëa|jewelled (adj)
mísë (*mísi-) [þ]|(light) grey (adj)
mól|slave (n)
mólë|labour; *work (n)
na-|plu- (pref)
nac-|to hew (vb)
nahta- (Body Parts and Functions)|to hurt; to injure; to slay; to wound (vb)
nahta- (Law and Judgment)|to confine; to oppress (vb)
nahtana; nanca|*slain (adj)
nahtë|wound; wounding (n)
nai-|abominably; grievously; ill (pref)
naicando; naico; ulcarindo; úcarindo|*sinner (n)
naica|bitterly painful or grievous (adj)
naina|upstream (n)
nainië|lament (n)
naiqua-|*to sin (vb)
naiquet-|to curse or blaspheme (vb)
naira [ñ-]|empty; vast (adj)
naira|dreadful; horrible; unendurable (adj)
naitië|indeed; truly (adv)
naitë|true (adj)
nai|be it that; it may be; may it be that; maybe; perhaps; there is a chance or possibility (adv)
nalda [ñ-]|bright; polished (of metal) (adj)
nalta [ñ-]|glittering reflection; radiance (n)
naltalma [ñ-]|heliograph (n)
namma; nappa|claw; talon (n)
namna|statute (n)
namárië|farewell; let it be well (to you); (lit.) be well (interj)
nan (nand-)|vale; valley (n)
nan(do)|(wide) valley; vale (n)
nan-|back (again) (pref)
nancar-|to undo (vb)
nanca|*hewn (adj)
nanda (adj)|?back (adj)
nanda (n)|vale (wide) (n)
nandë; tumbo (tumbu-)|valley (n)
nanquer-|*to turn back (vb)
nanwa (adj)|actual (true); existing (adj)
nanwa (n)|(large) bowl (n)
nanwen-|to go/come back; to return (vb)
nanwë|ebb; lowtide (n)
napan-|to add (vb)
narwa|red of hair; ruddy (adj)
nasquë|bondage; durance (n)
nassë|individual; material; nature; person; true-being (n)
nattir-|to look back (vb)
nattira-|to despise (vb)
nat|thing (n)
nauca|dwarf(ed); shortened; stunted (adj)
nauco|dwarf (n)
nauro [ñ-]|werewolf; wolf (not wild wolves) (n)
nav-; nev-; ric-|to try (vb)
nav-|to think [have as an opinion] (vb)
naxa (adj n)|evil (adj n)
naxa (n)|bond; fetter (n)
na|to; towards (prep)
ne(re)sta; nersat|one ninth (fraction)
nec-|without (pref)
neccë|angle (n)
necel|thorn (n)
nef-|to breathe (air) (vb)
nefítë|air-breathing (adj)
nehta-|to deprive (vb)
nehtano|exile whose rights and goods have been confiscated; one deprived (n)
nehtar|slayer (n)
nehtë|angle; gore; narrow prominitory; spearhead; wedge (n)
nel(d)esta; nelsat; nelta|one third (fraction)
neldëa|third (ordinal)
neldë|three (cardinal)
nelquë; quainel; yunquenta; yunquentë|*thirteen (cardinal)
nelquëa|*thirteenth (ordinal)
nelya-|to congeal; to thicken (vb)
nem-|to appear; *to seem (vb)
nemesta|appearance; seeming (n)
nenda; nenya; ninda; néna|wet (adj)
nendil|beast that lives in the water (n)
nendë|lake (n)
nerca; nexa|angular; sharp (adj)
nercë|little man (n)
nerdo|large; strong man (n)
nernehta|man-spearhead (n)
nertëa|ninth (ordinal)
nertë|nine (cardinal)
nessamelda|species of tree in Númenor; (lit.) beloved of Nessa (n)
net(ë)|one more beyond (the middle) (n)
neterquëa|nineteenth (ordinal)
neterquë|nineteen (cardinal)
netil|trinket; (?small thing) of personal adornment (n)
nettë|(little) girl; pretty little thing; sister (diminutive) (n)
netya-|to adorn; to trim (vb)
netya|dainty; pretty (adj)
nicu-; niqu-|to be chill; to cold; to freeze (of weather) (vb)
nihtil|little [finger] (n)
nil-|to *have special concern/care/interest for (vb)
nillë (nill-)|small [woman] (n)
nillë [ñ-]|Valinorian imagines [images of real stars]; silver glint (n)
nilmë|concern for things other than self for their own sakes; love (n)
nimpa|ailing; drooping (adj)
nimulë; níma|a seeming; phantom (n)
ninquita-|to grow white; to whiten (vb)
ninquë (ninqui-)|chill; cold; pallid (adj)
niquessë|frost-patterns; ice-flake; snowflake; (lit.) chill feather (n)
niquis (niquiss-)|frost-patterns; ice-flake; petal (loose) of a white flower; snowflake (n)
niquë|cold (n)
nir-|to force (in a given direction); to press; to thrust; to urge (vb)
nirmë|act of will; exercise of will (n)
nis- [þ]|*to smell sweetly (vb)
nissë|woman (n)
nisto|large woman (n)
nitya; níca; pia; picina; pincë; pitya|little (adj)
nixë|frost; ice-flake or snow-flake (n)
ni|I; me (pron)
niëninquëa|like a snowdrop (adj)
niëninquë|snowdrop (n)
noirë|tomb (n)
nolmo [ñ-]|wise person (n)
nolmë [ñ-]|department of wisdom (science, etc.); knowledge; philosophy (including science) (n)
nolya [ñ-]|dark-haired (adj)
nonda|hand especially in (?clutching) (n)
nonwë|calculation; sum (n)
nor- [ñ-]|fear (pref)
nor-|to run (or leap, of animals or men) (vb)
nordo; norno|oak (n)
norima|strong/swift at running; swiftly running a course (adj)
norië; normë|race; running (n)
norna|firm; hard; obdurate; resistant; stiff; thrawn; tough (adj)
noroitë (noroiti-)|(capable of) running (adj)
norolinda|*tripping lightly (adj)
norta-|to [lit.] make run (specially used of riding horses or other animals); to ride (vb)
nortil|cape (of land) (n)
nos(së)|family; kindred (n)
nosta-|to be begotten; to beget (vb)
nostar|begetter; parent (n)
not-|to count (vb)
notessë|numeral (n)
nuhta-|to not allow to continue; to prevent from coming to completion; to stop short; to stunt (vb)
nuinë|river (suf)
numba|humped (adj)
nunna|down (adv)
nuquerna|inverted; reversed; *(lit.) under-turned (adj)
nurru-|to grumble; to mumble; to murmur (vb)
nurta-|*to hide (vb)
nurtalë|hiding (n)
nuxo|Petty dwarf (n)
nu|beneath; under (prep)
nwalmë [ñ-]|torment (n)
nwar- [ñ-]|to fret; to wear away (vb)
nwámë [ñ-]|wolvish howling (n)
nyar-|to recite; to relate (vb)
nyarnamaitar|composer of long epic tales; storyteller (n)
nyarna|legend; long epic tale; story (n)
nyárë|account; history (n)
ná-|to be (vb)
nácë|it may be seeming; *qualified yes (interj)
náha|narrow (adj)
náma (Law and Judgment)|judgment or desire (n)
náma (Physical Acts and Materials)|(created) thing (n)
námië|single judgment or desire (n)
námo (Grammar)|person; somebody (unnamed) (n)
námo (Law and Judgment)|judge (n)
nápat|thumb and index [fingers] as a pair (n)
nápo|thumb; (lit.) picker (n)
náquet-|to agree (on fact); to assent; (lit.) to say ‘it is’ (vb)
nár|fire (as an element) (n)
násan; násië; san na|*amen; (lit.) may it be so (interj)
nása|it is so (interj)
náto|it is that; *yes (emphatic) (interj)
náva [ñ-]|speech apparatus; *mouth (including tongue, lips and teeth) (n)
náva|hollow (adj)
návëa [ñ-]|consonant; *consonantal (n adj)
návë|being (n)
ná|it is a fact; it is so (interj)
néca|dim to see; faint; pale; vague (adj)
nén (nen-)|water (n)
nér (ner-)|male person (of any kindred: elf, human or dwarf); man (n)
nésa [þ]|sister (n)
néya; nëa|at one time; once (adv)
né|behind (earlier time); yes (it was so) (adv)
nílë (níli-)|a special concern with or love for (n)
nípa|small (usually with connotation of weakness) (adj)
níra|individual will (in potential); will (as a potential or faculty) (n)
nírë|force (n)
nírítë|driving; exerting great thrust or pressure; forceful (adj)
nís (niss-)|woman (of any kindred: elf, human or dwarf) (n)
nísima [þ]|fragrant (adj)
ní|beneath; not touching; under (prep)
nólë [ñ-]|knowledge; long study; lore (n)
nómessë|place-name (n)
nómë|place (n)
nóna|born (adj)
nór (nor-); nórë|land (n)
nórë|country (n)
nótima|(colloquial) moderate in amount; countable; few; limited in number (weight and measure); several; some (adj)
nótië|*counting (n)
nó|at back (of place); before (of time) (prep conj)
nöa|former; tomorrow; yesterday (adj n)
núla [ñ-]|mysterious; occult (adj)
núla|under [beyond] (prep)
núlë [ñ-]|black arts; sorcery (n)
númen|direction or region of the sunset; occident; west; (lit.) going down (n)
númë|west (n)
nútaitë (nútaiti-)|*(naturally) lowering; ?degrading (adj)
nútil (nútill-)|under-point (n)
nútima|*lowerable (adj)
o(to)sta; otsat|one seventh (fraction)
o-; va-|together (pref)
ohlon|diphthong (n)
oholima|confidential (adj)
ohta|war (n)
oi(o)|an endless period; ever; everlastingly (adv n)
oi; oiavë|everlastingly (adv)
oi; úlumë|ever (adv)
oia(la)|everlasting; for ever; unceasing; without end (adj)
oialëa|eternal (adj)
oialë|eternally; everlastingly; forever; in eternity (n adv)
oiolairë|ever-summer (a species of tree) (n)
ola-|to become (vb)
olass(i)ë|collection of leaves; foliage (n)
olba|branch (n)
olca|bad; wicked (adj)
olië|company; people together (n)
olla|over [beyond] (prep)
ollo|away from (prep)
ollë|*other one (adj)
olmen (olmend-)|growth-year (n)
olmië|growth (n)
oloirë|great flood (n)
oloiya-|to flood; to inundate (vb)
olor; olos (olor-)|vision (n)
olos (olós-) [þ]|mass of flowers (on one plant) (n)
olosta|dreamy (adj)
olva|growing things with roots in the earth (n)
olótë|bloom; the flowers collectively of a single plant (n)
ombari|company; dwellers together (n)
omen-|to meet; to move to a common point (vb)
omentië|meeting (of pathways); meeting or junction of the directions of two people; (lit.) coming together of journey-path (n)
ompa; póna|forward (adv)
ondolunca|stonewain (n)
ondomaitar|sculptor in stone (n)
ondo|(large mass of) rock; stone (as a material) (n)
ondórëa|hard-hearted; pitiless (adj)
ongwë|crime (n)
onot-|to reckon; *to count up (vb)
onta-|to beget (vb)
ontalë|descent (n)
ontamo|mason (sculptor) (n)
ontari(l)|(lit.) genetrix (n)
ontavalië|puberty; *(lit.) able to beget (n)
onya; senya|my child (n)
onóna|one of a pair of twins; twin-born (adj n)
onótimo|*reckoner (n)
onótië|*reckoning (n)
opo; pó|before; in front (of place) (prep)
or-; ora-|to feel an urge/wish/desire; to urge; to warn (vb)
or; to|above (prep)
orco|Orc (n)
orda|profound (adj)
ormo|riser (n)
orna; orwa; tára|high; lofty (adj)
ornemalin|[tree] bearing yellow flowers (n)
ornendur|forester; tree-keep; woodsman (n)
ornë|(tall) tree (n)
oro-|aloft (pref)
oroman (oromand-)|mountain dweller (n)
oromar (oromard-)|high (lofty) dwelling; high-mansion; lofty hall (n)
oron (oront-); orto|mountain (n)
orotinga|mountain-top (n)
oro|mount; mountain (n)
orró-|sunrise; uprising (pref)
orróna|eastern (adj)
orta-|to lift (up); to raise; to rise; (lit.) to cause to rise (vb)
ortil|up-point (n)
orto|mount (n)
ortírië|*patronage; (lit.) watching over (from above) (n)
orya-|to rise; *to raise (vb)
oryandë|arising (n)
osco; otos; otso|seven (cardinal)
ostimë|blend (n)
osto|fortress; strong place; stronghold (n)
otoquë|seventeen (cardinal)
otsëa|seventh (ordinal)
ovéa; vávëa|(con)similar; alike (adj)
o|from (prep)
pahta; questa|speech (n)
pahta|closed; private (adj)
palantir-|to watch/look afar (vb)
palantímië; palanyantië|telepathy (n)
palantír|far-gazer; far-seer; (lit.) that which looks far away (n)
palan|afar; distant; far; wide (adj adv)
palda|broad (adj)
palla|far beyond (prep adv)
palta-|to feel with the hand; to stroke (vb)
palta|flat of the hand (n)
