(a)lá|yes (interj)
calassina|brazen, *made of brass (adj)
calas|brass (n)
calatengwë|photograph, (lit.) light-writing (n)
cala|light; ⚠️[ᴱQ.] daytime (sunlight), 12 hours (n)
calcata-|to glaze (vb)
calca|glass (n)
calcëa|glassy, of glass (adj)
calima|bright, luminous (adj)
calina|light, bright, sunny, (lit.) illumined (adj)
calleva|fair (weather or complexion) (adj)
callië|heroism (n)
callovëa|heroic, hero-like (adj)
callë|fair weather, clear sky, blue sky (n)
calmatan|lampwright (n)
calmatarma|lampstand (n)
calmatéma|k-series (n)
calma|lamp, (device for shining) light, ⚠️[ᴱQ.] candle; (day)light (n)
calta-|to kindle, [ᴹQ.] (cause to) shine, light up, [ᴱQ.] set light to (vb)
calta|picture, photography (n)
calwa|lurid (adj)
cam-|to receive (vb)
camba|(cupped) hand, hollow of the hand (n)
cambie|profit, gain, intake, income (n)
cambë|(hollow of) hand (n)
camma|receptacle (n)
campo|flea (n)
camtanë|adaptation (n)
camya-|to contain, hold (vb)
can-|to claim, demand (when applied to things) (vb)
canaquain|forty (cardinal)
canaquëan|forty (cardinal)
canaquëa|fourteenth (ordinal)
canaquë|*fourteen (cardinal)
cana|behind, at back of place (prep)
candóla|crown of head (n)
canguru|kangaroo (n)
canquain|forty (cardinal)
canquëa|fourteenth (ordinal)
canquë|*fourteen (cardinal)
cansat|one fourth (fraction)
canta-|? (vb)
cantallumë|four times (adv)
cantalya|four-legged, quadruped, (lit.) four-footed (adj n)
canta²|shape, framework, [ᴹQ.] frame; shaped (n)
canta¹|four (cardinal)
cantemma|shaped image, sculpture (n)
cantilya|quadrangular (adj)
cantil|fourth finger (n)
cantil|quadrangle, *quadrilateral, rectangle, square (n)
cantië|pattern (n)
canton|soapstone, (lit.) sculpted rock (n)
cantëa|fourth (ordinal)
canuina|of lead (adj)
canuva|leaden (adj)
canu|lead [metal] (n)
canwacimië|obedience (n)
canwacimya|obedient (adj)
canwahimië|obedience (n)
canwahimya|obedient (adj)
canwa²|face (n)
canwa¹|announcement, order (n)
canya-|?to command (vb)
capaitë|leaping, bounding (adj)
capanda|jump (n)
capië|leap, ⚠️deep gorge (n)
capta-|to make spring, scatter; [ᴱQ.] to startle, ⚠️leap (vb)
car-|to do, make, ⚠️[ᴹQ.] build (vb)
caraitië|activity, business (n)
caraitë|active, busy; ⚠️[ᴹQ.] able to make, handy, crafty, craftsmanlike, skilled (adj)
carassë|built fort or dwelling surrounded by bulwarks (n)
carasta-|to build, construct (vb)
carastanyarro|beaver, (lit.) build-rat (n)
carasta|making, manufacture, construction (n)
caras|lettuce (n)
caraxo|skull, *(lit.) head-bone (n)
caraxë|[ᴹQ.] jagged hedge of spikes, [ᴱQ.] row of spikes or teeth (n)
carcapolca|boar, *(lit.) tusk-pig (n)
carcaran|crocodile, (lit.) toothed-beam (n)
carcara|toothed (adj)
carcasarma|large saw (n)
carca|fang, [ᴹQ.] tooth, [ᴱQ.] tusk; ⚠️[Q.] rock (n)
carda|deed, *action (n)
cariendë|production, process of manufacture (n)
carina|done, [ᴹQ.] made, [ᴱQ.] finished (adj)
cariquetta|verb (n)
carië|doing, making (n)
carmatan|toolsmith (n)
carma²|tool, implement, means, weapon (n)
carma³|deed (n)
carma¹|helm (n)
carmen|recipe (n)
carmë|production, making; structure; ⚠️art (n)
carniambos|robin, (lit.) red-breast (n)
carnë|red, scarlet (adj)
carpa-|to talk, speak, use tongue (vb)
carpalos|tulip, (lit.) hat-flower (n)
carpando|orator (n)
carpassë|mouth-system; full organized language, including system, vocabulary, metre, etc. (n)
carpa|(entire) mouth; phonetic system (n)
carpo|frog (n)
carpë|hat (n)
carranta|strategy, (lit.) action-course (n)
carrëa|tressure, *headdress (n)
carva|*womb (n)
car|act, an action (n)
cas(ta)|to(wards) the top, upwards (adv)
castol(o)|helmet (n)
castor|beaver (n)
cast|one tenth (fraction)
castëa|top (with added sense of prominent, chief) (adj)
cas|head, [ᴱQ.] top, ⚠️summit (n)
cat-|to shape, fashion (vb)
catamen|background, milieu (n)
catassa|anus, arsehole, (lit.) behind-hole (n)
catta|back (n)
cauma|protection, shelter, shield (n)
cav-|to receive, *accept, ⚠️require, cost (vb)
ca|behind, at back of place (prep)
cecenna-|to visit (vb)
cecet|pheasant (n)
cehtecet|clucking (n)
celeta|trickle (n)
celima|fluent, *(lit.) able to flow freely (adj)
cellóra|blind, sightless (adj)
celumë|flow(ing), stream, flood (tide); ⚠️[ᴱQ.] fountain, spring (n)
celundë|welling forth (n)
celussë|freshnet, water falling out swiftly from a rocky spring (n)
celusta|outflow (n)
celuva|original (adj)
celu|source, origin (n)
celvacir|butcher (n)
celvamatta|animal food (n)
celvamatya|carnivorous, (lit.) animal-eating (adj)
celvatarwa|zoo, (lit.) life-garden (n)
celvavëa|animal-like (adj)
celva|animal, living thing that moves (n)
celvë|hind, deer, doe (n)
celwë|spring, source (n)
cemendur|farmer (n)
cemenquasië|earthquake (n)
cemen|the earth; earth, [ᴹQ.] soil (n)
cemievëa|chemical (adj)
cemië|chemistry (n)
cemma|picture, (lit.) something seen (n)
cemnassë|earthenware, pottery (n)
cemorva|potato, (lit.) earth-apple (n)
cempalië|earthquake (n)
cen-|to see, behold, look, *perceive (vb)
cenai|if it be that (conj)
cenasit|if it be so, may be, perhaps (adv)
cenasta|if it be so, may be, perhaps (adv)
cenda-|to watch (intensively), observe (for some time); to read (vb)
cenda|inspection, reading (n)
cendelë|face, *visage (n)
cendë|point (n)
cenenca|blind, sightless (adj)
ceniril(lë)|mirror (n)
cennassë|pottery, ceramic vessel (n)
centa|enquiry, *essay (n)
centánië|ceramics, pottery-craft (n)
cenwa|?reading (n)
cenya-|to study (vb)
cenya|*seeing (adj)
cenya|*seeing (adj)
cen|sight, *sense of sight (n)
cenítë|seeing, *able to see (adj)
cer-|reap (vb)
cerihtando|reaper (n)
cermië|harvest (n)
certa|rune (n)
ces-|to search, examine (in order to find something) (vb)
cesië|search (n)
cesta-²|to ask (vb)
cesta-¹|to seek, search for (vb)
cesula|inquisitive, curious (adj)
cesya-|to cause interest, interest (oneself), (lit.) to cause one to enquire (vb)
cesyalima|interesting (adj)
cesyarëa|interesting (adj)
cesyarë|interest (n)
cetta-|to witness (vb)
ceula|?alive (of vegetable) (adj)
ceulë|*renewal (n)
ceuranar|new sun after solstice (n)
ceuran|new-moon (n)
ceura|renewed (adj)
ceurë|renewed (adj)
ceuta-|to renew, refresh (vb)
ceu|fresh, new, (adj)
cil-|to choose, select (vb)
cilintilla|looking-glass, *mirror (n)
cilintír|looking-glass (n)
cilinyul|drinking-vessel (made of glass) (n)
cilin|glass [transluscent or reflective] (n)
cilmessë|self-name (n)
cilmë|choice, choosing, *selection (n)
cilometer|kilometer (n)
cilta-|to divide, separate (vb)
ciltië|division, separation (n)
cimba-|to care (vb)
cimba|edge, brink (n)
ciminqua|attentive, heedful (adj)
cinta|small (adj)
cir-|to cut, [ᴱQ.] cleave; *to separate from (vb)
circa|sickle (n)
cirda|splinter, wood shaving (n)
cirihta-|to reap, harvest (vb)
cirihtor|reaper (n)
cirincë|scarlet-plumed species of bird (n)
cirmacin|knife-edge (n)
cirma|knife (n)
ciryamo|mariner (n)
ciryampa|anchor, (lit.) boat-hook (n)
ciryando|sailor (n)
ciryapanda|haven, (lit.) ship-enclosure (n)
ciryaquen|shipman, sailor (n)
ciryasta|fleet (of ships) (n)
ciryatan|shipbuilder, shipwright (n)
cirya²|cleft, pass (n)
cirya¹|(sharp-prowed) ship, [ᴹQ.] boat; [Q.] swift gliding (n)
citya-|to tickle (vb)
cityalëa|ticklish, susceptible, sensitive (adj)
cityalë|tickling (n)
ciuca|*thigh (n)
coilemma|fossil, biological artifact/relic (n)
coimas|life-bread, lembas (n)
coimen|life-year (n)
coina|alive, ⚠️living (adj)
coingolmë|biology (n)
coirëa|living, ⚠️[ᴱQ.] lively, alive (adj)
coirë|stirring, early spring; ⚠️[ᴱQ.] life (n)
coita-|[ᴹQ.] to live, be alive, have life (vb)
coiva|lively, ⚠️living; awake (adj)
coivenqua|lively, vibrant, vivacious, (lit.) full of life (adj)
coivië|life, [ᴱQ.] liveliness; ⚠️awakening (n)
coivë|life (n)
col-|to bear, carry, wear (vb)
colbamarië|gestation, *(lit.) womb-residence (n)
colbanavië|gestation, *(lit.) womb-being (n)
colba|*womb (n)
colcallë|phylactery, (lit.) little box (n)
colca|box (n)
colindo|bearer (n)
colla|borne, worn; vestment, cloak (adj n)
collo|cloak (n)
colma|stretcher (n)
coloitië|endurance, staunchness, fortitude (n)
coloitë|capable of bearing, tolerant (of), enduring (adj)
colonda|burdened, weighed down, sad (adj)
colosta|cucumber (n)
colta-|to lade, burden, weigh down (vb)
colucë|strainer (n)
combemen|museum (n)
combë|gathering, assembly, assemblage, collection (n)
comya-|to collect (vb)
condo|lord (n)
conta-|[unglossed] (vb)
coranar|(solar) year, (lit.) sun-round (n)
cordamo|cleric (n)
corda|temple (n)
cordon|idol (n)
corma|ring (n)
cornë|loaf (n)
coron|mound; [ᴹQ] globe, ball (n)
coropë|skull (n)
coro|around (prep)
corpë|skull (n)
corta-|to roll up, roll, pack (vb)
cortangwa|button, (lit.) circle-fastener (n)
corto|circle (n)
costaima|debatable (adj)
costula|quarrelsome, belligerent (adj)
costë|quarrel, dispute; legal action (n)
cotto|*enemy (n)
cotwë|struggle, wrestling (n)
cucuollë|turtledove (n)
cuilórëa|absent-minded, (lit.) day-dreamy (adj)
cuilórë|day-dream, (lit.) awake-dream (n)
cuimacir|butcher (n)
cuima|creature, animal (n)
cuina-|to live, be alive (vb)
cuingolmë|biology (n)
cuiru-|to stir (to wakefullness) (vb)
cuita-|to live (vb)
cuita-|to waken, rouse; ⚠️to live (vb)
cuitar|alarm, device to waken somebody (n)
cuiva-|to awake (vb)
cuiva|animal (n)
cuiva|awake (adj)
cuivië²|life (n)
cuivië¹|awakening (n)
cuivë|awakening (n)
cullingwë|goldfish (n)
culmírë|sardius, carneol [carnelian], (lit.) orange-jewel (n)
culumalda|laburnum, *(lit.) orange-tree (n)
culvelyávë|pumpkin (n)
cumbo|belly (n)
cumya-|to empty (vb)
cundo|lord, guardian, [ᴹQ.] prince (n)
cungandë|violin, (lit.) bow-harp (n)
cunta-|to rule (vb)
cunya-|to rule (vb)
cunya-|to rule, *govern, reign over (vb)
cupta-|to deceive, lie (vb)
cuptalë|deception, deceit (n)
cuptamo|liar, deceiver (n)
cupta|deception, lie (n)
curo|skillful (?device) (n)
curuni|witch, *sorceress, female magician (not necessarily evil) (n)
curu|skill; ⚠️[ᴱQ.] magic, wizardry (n)
curwa|cunning, skillful (adj)
curwesta|technology (n)
curwë|[ᴹQ.] craft, [Q.] skill of the hand, technical skill and invention (n)
curya|potent, powerful, strong (as function of craft or cunning) (adj)
cuv-|to conceal, *hide (vb)
cuvoitë|hiding, secretive; treacherous (adj)
cuvo|hider (n)
cyúca|*thigh (n)
cálë|light (n)
cámalóra|innocent (adj)
cámayanca|guilt-offering (n)
cáma|guilt, responsibility (n)
cána|backward (adv)
cáno|commander, chief(tain), ruler, governor; †crier, herald (n)
cára|head (n)
cárima|feasible, possible (to do), able to be done, [ᴹQ.] able to be made (adj)
cávima|acceptable (adj)
céla|maybe not (adv)
céla|maybe not (adv)
cénelóra|blind (n)
cénima|visible, [ᴹQ.] able to be seen (adj)
cénë|sight (n)
céva|fresh, new, ⚠️renewed (adj)
cé²|if (conj)
cé¹|may (be) (adv)
cëa(n)|ten (cardinal)
cëa|*hedge (n)
cílëa|edged (adj)
címa|edge of a cutting weapon/tool (n)
címëa|edged (adj)
cíta-|to suppose (vb)
cólemaina|patient (adj)
cólema|patience, endurance; hardship (n)
cóleva|passive (adj)
cólima|bearable, light (of burdens and things comparable, troubles, labors, afflications) (adj)
cólo|burden (n)
cólë|passivity, endurance, patience; a passive individual (n)
cómë|file (n)
cöacalina|light of the house, indwelling spirit (n)
cöacolindo|snail, (lit.) house-bearer (n)
cöantur|householder, master of the house (n)
cöa|house; outhouse, shed, hut, booth; building used for a dwelling or other purposes; †body (n)
cúma|[unglossed] (n)
cúna-|to bend (vb)
cúna|bent, curved (adj)
cúnë|crescent, arch, ⚠️bow (n)
cúvima|concealable (adj)
ec-|to have a chance of; may, can (vb)
ecar|or (conj)
eccahta|hawthorn, (lit.) thorn-hedge (n)
eccalda|cactus, (lit.) spine tree (n)
eccan-|to proclaim, assert, (lit.) forth-call out (vb)
eccat-|to fashion, make (vb)
ecca|hole, *lair (n)
ecces-|to find out, bring out by examining or eyeing[?] (vb)
eccoia|thorny (adj)
eccol-|to export (vb)
eccuinu-|to awake, wake up (vb)
ecellë|urchin, hedgehog (n)
ecesta|opportunity, chance (n)
ecet|short stabbing sword (n)
ef-|to emerge (especially from water) (vb)
effírië|death (n)
ehta-|to stab (vb)
ehtelë|spring, issue of water (n)
ehten|outlook, sight, view, spectacle (n)
ehtipolca|porcupine, (lit.) spike-pig (n)
elanar|pimpernel, (lit.) sun-star (n)
ela|behold! (interj)
eldafindë|maidenhair fern, (lit.) elf tress (n)
eldë|you (plural emphatic) (pron)
elecetomacnetëa|electromagnetic (adj)
elengolmë|astronomy (n)
elenitsë|firefly, (lit.) star-fly (n)
elenya|adjective referring to the stars, *of the stars, stellar (adj)
elen|star (n)
elhíse|nebula, star cloud (n)
ellumë|once, one time (adv)
elma-|to marvel at, admire (vb)
elma|wonder, miracle (n)
elmenda|wonder, wonderment (n)
elmendëa|wonderful (adj)
elmë|we (emphatic inclusive), *we (emphatic exclusive) (pron)
elp-|to anoint (vb)
elvëa|starlike (adj)
elvë|we (emphatic inclusive) (pron)
elyë|thou (emphatic polite) (pron)
em-|to depict, portray (vb)
emba-|to paint, draw (something) (vb)
embë|painting, drawing (vb)
emel|love [abstract] (n)
emer-|?to herd (sheep) (vb)
emerro|shepherd, herdsman (n)
emerwen|shepherdess (n)
emil|mother (n)
emino|character (in a story) (n)
emmata-|to draw/create (a picture); to photograph (vb)
emma|picture, *image (n)
emmë²|mummy, mother (familiar/family) (n)
emmë¹|we (emphatic exclusive), *we (dual emphatic exclusive) (pron)
empatyellë|advancement, progress (n)
empollië|*harder (adv)
emya|mummy, (orig.) my mother (n)
en(a)|still (adv)
en-|re-, again (pref)
enar|tomorrow (n)
endaquet-|to answer (vb)
endaurë|noon, (lit.) mid-day (n)
enda|heart; centre, *interior (n)
endemat|lunch, (lit.) mid-meal (n)
endëa|middle (adj)
endë|centre, middle; [ᴹQ.] core (n)
eneldë|*middle finger (n)
enellë|*middle finger (n)
enelmo|go-between, intervener, intermediary, mediator (n)
enel|in the middle, between (prep)
enenquain|sixty (cardinal)
enenquëan|sixty (cardinal)
enenquëa|sixteenth (ordinal)
enenquë|sixteen (cardinal)
eneques|rumor, (lit.) re-saying (n)
ener(a)|on, onward, further (adv)
enestil|*middle finger (n)
engwa|sickly (adj)
engwë|thing [that exists] (n)
engë|ago, in the past, [ᴹQ.] once (in past), †it was (adv)
ennóna|born again (adj)
enontië|rebirth, resurrection (n)
enortalë|resurrection (n)
enquain|sixty (cardinal)
enquanta-|to refill (vb)
enquellumë|six times (adv)
enquesta|one sixth (fraction)
enquet-|to repeat, say again (vb)
enquië|Elvish week of six days (n)
enquëa|sixth (ordinal)
enquë|six (cardinal)
entan|tomorrow (n)
enta|another, one more; [ᴹQ.] that yonder, then (fut.); ⚠️[ᴱQ.] that there (emphatic) (adj)
entul-|to come again, *return (vb)
entulessë|return (n)
entya|central, middle (adj)
entë²|centre (n)
entë¹|moreover, further(more), what is more; *next (of time or in a sequence) (adv)
envinyata-|to renew, heal, *restore (vb)
enwacuvindo|liar, cheater (n)
enwavë|actually (adv)
enwina|old (adj)
enyal-|to recall, *remember (vb)
enyalië|memory, (lit.) recalling (n)
enya|then soon (adv)
enyálëa|memorial (adj)
en|(then) soon, [ᴹQ.] in that (future) case; there, yonder; look yon(der); ⚠️far away; that, [ᴱQ.] that by you; thereupon (adv)
eo|person, somebody (unnamed) (pron)
ep(e)ta|following that, thereupon, thence, whereupon (conj)
epeharmo|president (n)
epello|already (adv)
epemat|dessert, (lit.) after-meal (n)
epemma|example (n)
epessë|after-name (n)
epetai|consequently, thereupon, thence, whereupon, (lit.) following which (fact) (conj)
epë|after (of time), following; before (in all relations but time) (prep)
eques|saying, (current or proverbial) dictum, quotation from someone’s uttered words, *quote, statement (n)
equi|even if, eventhough, (lit.) indeed-if (conj)
equë|say, says, said (vb)
erda|solitary, deserted (adj)
erdevainë|seed pod, peapod (n)
erdë|singularity (n)
eressëa|lonely (adj)
eressë|[ᴹQ.] solitude; ⚠️[ᴱQ.] alone, by oneself, singly, only; once (n)
eretildo|unicorn (n)
erinqua|single, alone (adj)
eritë|singular (adj)
erië|oneness (n)
ermaitë|concrete, material (adj)
ermangolmë|study of matter, physics, [possibly also] chemistry (n)
erma|(physical) matter (n)
ernóna|only-born, only-begotten (adj)
erta-|to unite (vb)
ertië|union (n)
er|one, alone; ⚠️[ᴱQ.] only, a single (adj adv)
essar-|to recross (vb)
essámalë|agreement, (lit.) one-mindedness (n)
essë²|he, *she, it (emphatic) (pron)
essë¹|name (n)
estat-|to distribute (in even portions), *partition (vb)
estatina|divided, shared, distributed (adj)
estatië|portion, share (n)
esta|outwards (adv)
estelenca|hopeless, despairing, desperate (adj)
estelya-|to hope (vb)
estel|hope, trust, *faith (n)
estirnë|brow (n)
estolië|camp (n)
esto|they (dual emphatic) (pron)
et(e)-|[ᴹQ.] forth, out (pref)
etanta-|to publish, (lit.) out-give (vb)
etehat-|to throw out (vb)
etelehta-|*to deliver (vb)
etelehto|deliverer (n)
etelelya-|to go out, ⚠️go into exile (vb)
etelenda|exiled (adj)
etelerro|exile (n)
etelesta-|to measure (out) (vb)
etemen-|to go out, go forth (vb)
etementa-|to banish, send out, (lit.) out-send (vb)
eteminya|prominent (adj)
etepanya-|to put out (vb)
etequet-|to confess, speak out (vb)
eterahta-|to reach out (vb)
eterúna-|*to deliver (vb)
etetulië|outcome (n)
etevatta-|to trample out (vb)
ethenta-|to read aloud (vb)
etil|ivy (n)
etsat-|to distribute in even portions (vb)
etsatië|especially (adv)
etsen-|to let loose, release, forget (vb)
etserca-|to bleed out, exsanguinate (vb)
etsurya-|to go out (vb)
ettalan|balcony (n)
ettanië|spectacle, (lit.) showing forth (n)
etta|*therefore, (lit.) out of that (conj)
ettelë|outer fence, encircling fence (n)
ettemo|foreigner (n)
ettir-|to watch out, spy on (vb)
ettirno|spy (n)
ettuc-|to draw out (vb)
ettë|they (two) (pron)
etulya-|to pour forth, pour out (vb)
etyanetië|hypocrisy (n)
etya|exiled (adj)
et|out (of) (prep)
eulë|lamb (n)
evandilyon|gospel (n)
evandil|[Christian] missionary (n)
exanen|otherwise, in an other way (adv)
exa|other (adj)
exe|the other (n)
ezel(la)|green (adj)
e|one, (neuter) it; [ᴹQ.] he, she (pron)
eäron|ocean, great sea (n)
failanta|justified (adj)
failassë|justice, fair-mindedness (n)
failata-|to justify (vb)
failatië|justification (n)
faila|fair-minded, just, generous (adj)
fairë|spirit (disembodied), phantom; †radiance (n)
fai|*before of time (adv)
falampa|whip (n)
falarië|splashing, splash (n)
falarya-|to splash, ⚠️foam (vb)
falassëa|coastal (adj)
falassë|(wave-beaten) shore, seashore, line of surf; ⚠️[ᴹQ.] beach (n)
falasta-|to foam, surge, [ᴱQ.] make a sound like surf (vb)
falmaril|aquamarine, (lit.) wave-crystal (n)
falma|(crested or foaming) wave, breaker; ⚠️[ᴱQ.] foam (n)
falpa-|to flog (vb)
falwa|turquoise, (lit.) pale surf colour (adj)
fana|raiment, veil; (bright) shape or figure; bodily form of an angelic spirit (n)
fanga|beard (n)
fanorcarnë|sardonyx (n)
fanta-|to veil, cloak, mantle; [ᴺQ.] to muffle (vb)
fantercenya|perspicacious, penetrating of sight or understanding (adj)
fantercenya|perspicacious, penetrating of sight or understanding (adj)
fanto|whale (n)
fanwa|veil, screen (n)
fanwë|vapour, steam (n)
fanyarë|the skies (not heaven or firmament), the upper airs and clouds (n)
fanya|(white) cloud, white and shining [thing]; ⚠️[ᴹQ.] sky; white (n)
fara-|to hunt (vb)
faralë|hunting (n)
farasta|hunting, the chase (n)
farinë|vermin (n)
farnë|️ash, rowan; ⚠️[ᴹQ.] foliage (n)
farta-|to sate, satisfy (vb)
fassalë|(tasseled) fringe (n)
fassitë|tasseled (adj)
fassëa|shaggy, tangled [hair] (adj)
fel-|to feel (emotions) (vb)
felca|[unglossed] (adj)
felco|cave, mine, underground dwelling (n)
felehta-|*to excavate, tunnel, mine (vb)
felminqua|passionate, full of feeling (adj)
felmë|*emotion, impulse (n)
felya|mine, boring, tunnel, ⚠️underground dwelling; [ᴹQ.] cave (n)
fendassë|doorway, gateway (n)
fendë|door (n)
fennatir|door-watcher (n)
fenna|door (n)
ferya-|to make ready (promptly), *prepare (vb)
ferya|quick, ready, prompt (adj)
feuna|abhorred, aghast (adj)
fifíru-|to slowly fade away (vb)
filiculumpe|ostrich, (lit.) sparrow-camel (n)
filincë|finch (n)
fillannë|sack-cloth (n)
filquë|fern (n)
fimbë|slender, *thin (adj)
finca²|[unglossed] (n)
finca¹|clever (in petty ways), *tricky (adj)
finda²|fine and delicately made (adj)
finda¹|having hair, -haired (adj)
findelë|tress, lock [of hair] (n)
findessë|head of hair, person’s hair as a whole (n)
findilë|head of hair (n)
findimaitar|barber, hairdresser (n)
findori|barley (n)
findë|hair (especially of the head); tress or plait of hair, [ᴹQ.] braid of hair (n)
finië|cunning (n)
finta-|to make, finish off, decorate a thing with delicate work; to show skill (vb)
fintalë|trick (n)
fintemótalë|industry, (lit.) making toil (n)
finwa|️dexterous, clever; fine, delicate; ⚠️[ᴱQ.] acute, sagacious (adj)
finya-|to do/make a thing (with fine work) (vb)
finyalë|cleverness (n)
finya|clever (adj)
finëa|downy, hairy [specifically fine, light hair] (adj)
finë|(single) hair, filament (n)
fir-|to die, fade, †expire, breathe forth (vb)
firinga|necklace, carcanet (n)
firta-|to kill (vb)
firya|[ᴹQ.] human; [Q.] mortal (adj)
fisica|physics (n)
formaitë|righthanded, ⚠️dexterous (adj)
forma|right-hand (n)
formen|north, [ᴹQ.] right-hand [direction] (n)
forna|northern (adj)
fornúmen|northwest (n adj)
fornúna|northwestern (adj)
forrómen|northeast (n adj)
forróna|northeastern (adj)
fundu-|to thunder (vb)
fána|white; ⚠️[ᴹQ.] cloud (adj)
fánë|white (adj)
fá²|breath, puff of breath (n)
fá¹|*ray of light, flame (n)
férima|ready to hand, (quickly) available (adj)
fëafelmë|*spirit-impulse (n)
fëa|(indwelling or incarnate) spirit, soul (n)
fínëa|dexterous (adj)
fínë|dexterity (n)
fírima|mortal, *(lit.) able to die (adj)
fírië|death (of Men), *natural death (n)
fó|nay, no (interj)
föalócë|*breath-dragon (n)
föa|breath, puff of breath (n)
hac-|to squat (vb)
hac-|to yawn (vb)
hacca|the hams, buttocks (n)
hahta|fence, hedge (n)
haila|far beyond (adj)
hailë|removal, distancing (n)
haimelëa|cultural (adj)
haimelë|culture (n)
haimëa|habitual, ⚠️cultural (adj)
hairië|distance, (lit.) farness (n)
haita-|to remove, (lit.) make distant (vb)
hala|cast shadow, *shade (n)
halda|tall; [ᴱQ.] wide, broad (adj)
halla|tall (adj)
ham-|to judge (vb)
hamna|pile, (artificial) mound, [ᴹQ.] heap (n)
hampa|restrained, delayed, kept (adj)
hampë|clothing, garment (n)
han-|*back as an answer or return by another agent (pref)
handelóra|witless (adj)
hando|big brother, ‘big bro’ (intimate) (n)
hanno|brother (diminutive) (n)
hanquenta|answer, *response (n)
hanquet-|to answer, *respond (vb)
hanta-|to thank, give thanks (vb)
hantalë|thanksgiving (n)
hanustar|monk (n)
hanusta|monastery (n)
hanwa|seat, *chair (n)
han|beyond (prep)
hanúrë|manliness, masculinity (n)
hanúva|doughty, *manly (adj)
hanúvië|manhood, doughtyness (n)
hap-²|to clothe, enfold (vb)
hap-¹|to bind, restrain; ⚠️to retain, keep, detain (vb)
hapta-|to eject, ejaculate (vb)
hapya-|to delay, retain, keep (temporarily) (vb)
har-|to sit, stay, [ᴱQ.] remain; ⚠️[ᴹQ.] to dwell, abide, reside (vb)
haranyë|century (100 years) (n)
harina|marred (adj)
harivë|closely, nearly (adv)
harma|treasure, [ᴹQ.] treasured thing (n)
harnalasse|schadenfreude, malicious enjoyment derived from observing someone else’s misfortune, (lit.) wound-joy (n)
harnalë|harm, damage (n)
harno|possessor (n)
haru-|to sit down, take a seat (vb)
haruni|grandmother (n)
haru|grandfather (n)
harya-|to have, [ᴹQ.] possess (vb)
hasa-|to treat (medically), (help to) cure; to treat kindly, make easy (vb)
hasaino|patient, (lit.) medically treated one (n)
hasarëa|medical (adj)
hasarë|medicine (n)
hasiendë|therapy, a process of treating medically (n)
hassë|little brother, ‘lil bro’ (intimate) (n)
hasta-|to mar (vb)
hastaina|marred (adj)
hastalë|corruption (n)
hastima|corruptible (adj)
haswa|medicine (n)
hat-|[ᴱQ.] to hurl, fling, *throw (vb)
hatal|spear, *javelin (n)
hatar|thrower (of spears and darts) (n)
hatta|missile (n)
haura²|hoard, store (n)
haura¹|huge (adj)
hauro|wardrobe, cupboard, piece of furniture used for storing (n)
hausta|nest (n)
havarcë|cookie (n)
havar|a loaf or cake of [unleavened] bread (n)
hayassë|distance (n)
heca|be gone!, stand aside! (vb)
hecile|one lost or forsaken by friends, waif, outcast, outlaw (f.) (n)
hecilo|one lost or forsaken by friends, waif, outcast, outlaw (m.) (n)
hecil|one lost or forsaken by friends, waif, outcast, outlaw (n)
hecima|special (negative) (adj)
heconna|child born out of wedlock, bastard (n)
hehta-|to put aside, leave out, exclude, abandon, forsake (vb)
hehtar|renegade (n)
hel-|to freeze (of water) (vb)
hela|*other than (conj)
helca|icy, ice-cold (adj)
helcelmë|glacier; (lit.) frozen flow (n)
heldassë|nakedness (n)
helet|fur, fur-coat (n)
helexë|hail (n)
helillos|wisteria, (lit.) purple cluster (n)
helina|frozen (adj)
helinillëa|*violet [colour] (n)
helinillë|violet [flower] (n)
helinquila|mauve (n)
helinwa|of pansies; (of colour) a blue-violet (n)
helin|pansy (n)
helissar|amethyst (n)
helmolpë|wine-skin, (lit.) skin-bottle (n)
helmunquë|wrinkle, (lit.) skin-hollow (n)
helquir|ice cream (n)
helta-|to strip, bare, peel; to despoil, denude (vb)
hempa|cord (n)
hencalcat|eye-glasses, spectacles (n)
henca|rare (as opposite of dense) (adj)
hencúne|eyebrow, (lit.) eye-arch (n)
hendelë|window (n)
hendelúpea cecet|peafowl, (lit.) eye-plumed pheasant (n)
hendumaica|sharp-eye[d] (adj)
henet|window (n)
henfanwa|eye-screen, veil upon eyes (n)
henta-|to eye, examine, read, scan (vb)
hententa-|to spot with eye (vb)
hentië|reading (n)
hentópa|eyelid (n)
hen|eye (n)
hep-|to keep (vb)
hequa|leaving aside, not counting, excluding, except (prep adv)
herca|or (conj)
heren|order, *association (n)
heri|lady (n)
heru-|to lord it over, be master of, own, [ᴱQ.] rule (vb)
herulatsë|estate, domain (n)
heru|lord, master (n)
herwa|lordly (adj)
hessa|withered, ⚠️dead (adj)
hesta(lë)|the nearest consanguinity (n)
hesta-|to wither (vb)
hes|*sibling (n)
hexan|toilet, lavatory (n)
hildë|heir, follower; ⚠️[ᴱQ.] child (n)
hilië|following (act of) (n)
hilmë²|following (act of) (n)
hilmë¹|offspring, *descendant (n)
hilyalë|succession, dynasty (n)
himta-|to make stick, attach (vb)
himyalë|connection (n)
himítië|compliance (n)
himítë|clinging, sticking, (lit.) able to stick on; persistent, chronic (adj)
hindo|[unglossed] (n)
hindë|[unglossed] (n)
hinta-|to adopt (vb)
hintil|baby (finger) (n)
hinyë|baby (n)
hir-|to find (vb)
