(1) -(r)il; (2) -dis|feminine agent (suf)
mist|error, wandering (n)
mith (n)|white fog, wet mist (n)
mithren|small (adj)
moeas|dough (n)
moed|handy, skilled (adj)
moelui|lustful (adj)
moel|lust (n)
moe|soft, pliant (adj)
muda-|to labour, toil (vb)
muin|secret (adj)
mân|departed spirit (n)
mîdh|dew (n)
mîl|love, affection (n)
mîr|jewel, precious thing, treasure (n)
mîw|small, tiny, frail (adj)
mûl|slave, thrall (n)
mû|no (interj)
nad|thing (n)
naeg|pain (n)
naeth|biting, gnashing of teeth (n)
naew|jaw (n)
nae|alas (interj)
nag-|to bite (vb)
naith|gore (n)
nana|mother (hypocoristic), *mommy (n)
nann|wide grassland (n)
nara-|to tell (vb)
narcha-|to rend (vb)
narch|*bitter-biting (adj)
nardh|knot (n)
narn|tale, saga (n)
nartha-|to kindle (vb)
nass|point, (sharp) end; angle, corner (n)
nasta-|to prick, point, stick, thrust (vb)
nathron|weaver, webster (n)
nath|web (n)
naud|bound (adj)
naugla|*Dwarf (n)
naugol (naugl-)|Dwarf (diminutive) (n)
nautha-|to conceive (vb)
nauth|thought (n)
naw|idea (n)
na|with, by; of (prep)
ne-|in (pref)
neder|nine (cardinal)
nedh-|mid- (pref)
negra-|to pain (vb)
nel-|tri- (pref)
neledh-|*to go in, enter (vb)
nella-|to sound (of bells) (vb)
nelladel|ringing of bells (n)
nell|bell (n)
nelthil|triangle (n)
nem|nose (n)
nenn|watery (adj)
nen|water (n)
nesta-|to heal (vb)
nestad|healing (n)
nestag-|to insert, stick in (vb)
neðw|scarred, bruised (adj)
nifredil|(green) snowdrop; *(lit.) pale point (n)
nifred|pallor, fear (n)
nimmid(a)-|to whiten (vb)
nimp (nim-)|pale (adj)
nimred|pallor (n)
niniel|tearful (adj)
ninn|slender (adj)
nod-|to tie (vb)
noen|wise, sensible (adj)
noer|sad, lamentable (adj)
nor-|*to run (vb)
nordh|cord (adj)
norn|twisted, knotted, crabbed, contorted (adj)
noroth|giant (n)
noss|clan, family, ‘house’ (n)
no|under (prep)
nud-|*to tie (vb)
nâr|rat (n)
nínim|snowdrop (n)
nínui|*tearful (adj)
nírnaeth|lamentation (n)
nîdh|honeycomb (n)
nîd|damp, wet; tearful (adj)
nîf|front, face (n)
nîn|tear (n)
nîr|tear, weeping (n)
nîth|youth (n)
nîð|hurt, bruised (adj)
nô|thigh (n)
nûr (adj)|deep (adj)
nûr (n)|race (n)
odhril|parent (f.) (n)
odhron|parent (n)
odog|seven (cardinal)
oegas|mountain peak (n)
oeglir|range of mountain peaks (n)
oeg|sharp, pointed, piercing (adj)
oel|pool, lake (n)
oll|torrent, mountain-stream (n)
oltha-|to dream (vb)
onna-|?to beget, make born (vb)
orchall|superior, eminent (adj)
orch|goblin (n)
orod|mountain (n)
ortha-|to raise (vb)
orthannen|raised (adj)
orthel-|to roof, screen above (vb)
orthor-|to master, conquer (vb)
or|above (prep)
os-|about (pref)
osgar-|to cut round, amputate (vb)
osp|smoke (n)
ossrond|*underground city, fortress (n)
ostrad|street (n)
ost|city, town (with wall round) (n)
othlon|paved way (n)
othrond|underground city, fortress (n)
ovor|abundant (adj)
ovra-|to abound (vb)
ovras|crowd, heap (n)
o|(1) about, concerning; (2) from, of (prep)
palath (Agriculture and Vegetation)|iris (n)
palath (Spatial Relations)|surface (n)
palw|agony (n)
panas|floor (n)
panna-|to open, enlarge (vb)
pann|courtyard (n)
pant|full (adj)
parch|dry (adj)
parf|book (n)
pathred|fullness (n)
pathw|level place, sward (n)
path|smooth (adj)
paur|fist (n)
ped-|to speak (vb)
peg|dot, small spot (n)
peich|juice, syrup (n)
pelhes|*pivot (n)
pelia-|to spread (vb)
pelin|*fading (n)
pelthaes|pivot (n)
peng|bow (for shooting) (n)
penia-|to fix, set (vb)
penn (Physical World)|declivity (n)
penninar|full year (last day of year) (n)
pent|tale, story (n)
per-|half (pref)
perin|half (adj)
pessa-|to affect, concern (vb)
pesseg|pillow (n)
pethron|narrator, reciter, minstrel (n)
peth|word (n)
pichen|juicy (adj)
pigen|tiny (adj)
poen|small gull, petrel (n)
post|pause, halt, rest, cessation, respite (n)
presta-|to affect, trouble, disturb (vb)
prestannen|affected (of vowels), mutated (adj)
prestanneth|affection (of vowels), mutation (n)
puia-|to spit (vb)
puig|clean, tidy, neat (adj)
pâd|?way (n)
pân|plank, fixed board (especially in a floor) (n)
pêl|fenced field (n)
pôd|animal’s foot (n)
rada-|to make a way, find a way (vb)
ram(m)as|*great wall (n)
rant|lode, vein (n)
rath|course, river-bed (n)
rewinion|of the hunters (n)
rhaen|crooked (adj)
rhaew|fathom (n)
rhafn|wing (horn), extended point at side (n)
rhain (adj)|free (adj)
rhain (n)|border (n)
rham|wall (n)
rhanc|arm (n)
rhandir|wanderer, pilgrim (n)
rhand|cycle (n)
rhass|precipice (n)
rhas|horn [of both animals and mountains] (n)
rhaudh|hollow, cavernous (adj)
rhaug|demon (n)
rhaun|errant (adj)
rhaw (adj)|wild, untamed (adj)
rhaw (n, Animals)|lion (n)
rhaw (n, Physical World)|bank (especially of a river) (n)
rhedh-|to sow (vb)
rhein|slot, spoor, track, footprint (n)
rhem|frequent, numerous (adj)
rhenia-|(1) to fly, sail; (2) to stray, wander (vb)
rhenn|circular (adj)
rhest|cut (n)
rhien|(crowned) lady (n)
rhim (Physical World)|cold pool or lake (in mountains) (n)
rhim (Quantity and Number)|crowd, host (n)
rhinc|twitch, jerk, trick, sudden move (n)
rhing|cold (adj)
rhista-|to cut (vb)
rhitha-|to jerk, twitch, snatch (vb)
rhoeg|wrong (adj)
rhofal|pinion, great wing (of an eagle) (n)
rhomru|sound of horns (n)
rhom|horn, trumpet (n)
rhonn|roof, cave (n)
rhosc|russet, brown (adj)
rhoss (Physical Acts and Materials)|polished metal (n)
rhoss (Physical World)|rain (n)
rhufen|east (adj)
rhui(w)|hunt, hunting (n)
rhíw|winter (n)
rhîf|brink, brim (n)
rhîn|crowned (adj)
rhî|crown (n)
rhûn|east, eastern; †rising (n)
rhû|loud sound, trumpet-sound (n)
rhŷn|chaser, hound of chase (n)
rista-|to rend, rip (vb)
roch|(swift) horse (n)
rosta-|to hollow out, excavate (vb)
râd|path, track (n)
rîdh|‘sown’, sown field, acre (n)
saer|bitter (adj)
saew|poison (n)
salab|herb (n)
salff|broth (n)
sarnas|cairn (n)
sarn|stone as a material (n adj)
sautha-|to drain (vb)
saw|juice (n)
sein|new (adj)
sell|girl, maid (n)
seth|first, forth (adj)
sigil|dagger, knife (n)
silef|silver, shining white (adj)
siniath|news, tidings (n)
sinnarn|novel tale (n)
siria-|to flow (vb)
sog-|to drink (vb)
solch|root (especially as edible) (n)
sîdh|peace (n)
sîr|river (n)
sûl|goblet (n)
sûth|draught (n)
tachol|brooch, clasp, pin (n)
tadol|double (adj)
taen (adj)|long (and thin) (adj)
taen (n)|height, summit of high mountain (n)
taer|straight (adj)
taes|nail (n)
taetha-|to fasten, tie (vb)
taew|holder, socket, hasp, clasp, staple (n)
talad|incline, slope (n)
talaf|ground, floor (n)
talagand|harper (n)
talan|flet (n)
talt|slipping, falling, insecure (adj)
tamma-|to knock (vb)
tanc|firm (adj)
tangad(a)-|to make firm, confirm, establish (vb)
tang|bowstring (n)
tarag|horn; steep mountain peak (n)
tara|tough, stiff (adj)
tarias|stiffness, toughness, difficulty (n)
tarlanc|stiff-necked, obstinate (adj)
tass|labour, task (n)
tathor|willow-tree (n)
tathren|of willow (adj)
taur (adj)|vast, mighty, overwhelming, awful, huge; high, sublime (adj)
taur (n, Physical World)|forest, great wood (n)
taur (n, Social Relations)|king (of a whole tribe) (n)
taus|thatch (n)
tavor|woodpecker, knocker (n)
tawaren|wooden (adj)
tawar|wood (material), *forest (n)
taw|of wool, woollen (adj)
tegol|pen (n)
teitha-|to write, draw (vb)
teith|mark, stroke (n)
telch|stem (n)
tele|end, rear, hindmost part (n)
telien|sport, play (n)
tellen|sole of foot (n)
telu|dome, high roof (n)
terch|lair, hole (n)
tess|fine pierced hole (n)
thafn|post, wooden pillar (n)
thala|stalwart, steady, firm (adj)
thalion|hero, dauntless man (n)
thamas|great hall (n)
tham|hall (n)
thanc|cleft, split (adj n)
thang|compulsion, duress, need, oppression (n)
thann|firm, true, abiding (adj)
tharas|hassock, footstool (n)
tharn|sapless, stiff, rigid, withered (adj)
thar|across, beyond (prep pref)
thaun|pine-tree (n)
thavron|carpenter, wright, builder (n)
thaw|corrupt, rotten (adj)
thela|point (of spear) (n)
thent|short (adj)
then|this (pron)
thia-|to appear, seem (vb)
thilia-|to glisten (vb)
thilim|gleaming (adj)
thinna-|to fade, *(lit.) become grey (vb)
thinnas|shortness, shortening (n)
thinn|grey, pale (adj)
thlein|lean, thin, meagre (adj)
thling|spider, spider’s web, cobweb (n)
thlinn|fine, slender (adj)
thlê|fine thread, spider filament (n)
thora-|to fence (vb)
thoren|*fenced (adj)
thosta-|to stink (vb)
thost|smell (n)
thrib-|to scratch (vb)
thuia-|to breathe (vb)
thâr|stiff grass (n)
thîr|look, face, expression, countenance (n)
thórod|torrent (n)
thôr (adj)|swooping, leaping down (adj)
thûl|breath (n)
tilias|?mountain range (n)
tinna-|to glint (vb)
tinnu|(starry) twilight, dusk, early night (without moon) (n)
tint|spark (n)
tinw|spark, small star (n)
tirith|watch, guard (n)
tirnen|guarded (adj)
tithen|little, tiny (adj)
tiwdi|alphabet (n)
tlaud|sloping (adj)
toba-|to cover, roof over (vb)
tobas|roofing, roof (n)
tofn|lowlying, deep, low (adj)
tog-|to bring (vb)
tol-|to come (vb)
tolog|stalwart, trusty (adj)
toloth|eight (cardinal)
toltha-|to fetch (vb)
tong|taut, tight; resonant (of strings) (adj)
tonn|tall (adj)
tortha-|to wield, control (vb)
toss|bush, low-growing tree (n)
trasta-|to harass, trouble (vb)
tre-|through (pref)
trenar-|to recount, tell to the end (vb)
trenarn|account, tale (n)
trevad-|to traverse (vb)
trîw|fine, very slender (adj)
trî|through (prep)
tuia-|to sprout, spring; to swell (vb)
tuilinn|swallow, (lit.) spring-singer (n)
tui|sprout, bud (n)
tulus|poplar-tree (n)
tulu|support, prop (n)
tump|hump (n)
tum|(deep) valley (n)
tunn|hill, mound (n)
tâd|two (cardinal)
tâl|foot; (lower) end (n)
tân|builder, smith (n)
tê|line, way (n)
tîr|straight, right (adj)
tî|line, row (n)
tûg|thick, fat (adj)
tûr|mastery, victory (n)
tû|muscle, sinew; vigour, physical strength (n)
uanui|monstrous (adj)
ubed|denial (n)
ui (adv)|ever (adv)
ui (n)|envelope (n)
ui-|twi- (pref)
uial|twilight (n)
ul-|*ugly (pref)
uluithiad|unquenchable (adj)
ulun|monster, deformed and hideous creature (n)
uvan|*noone, nobody (pron)
Úrui|August, *Hot-one (n)
âr|king (n)
êg|thorn (n)
ínias|annals (n)
în|year (n)
îr|*sexual desire (n)
ôl|dream (n)
ú-|un, bad- (pref)
úan|monster (n)
ûl|odour (n)
ûn (Animals)|creature (n)
ûn|(1) howl; groan; (2) idea, thought (n)
